date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.0098377104,0.0000228252,0.0033689519,0.004364451,0.0047415768,-0.009228959,-0.011947014,-0.01263169,0.0073632613,-0.005507054
08/1963,0.0449345677,0.0377226485,0.0532160052,0.0585199835,0.0689993844,0.0748177216,0.0635669202,0.0687013861,0.0565365686,0.0566348081
09/1963,-0.030245679,-0.003367604,-0.016921924,-0.01217492,-0.000522314,-0.009113193,-0.023644211,-0.006143368,-0.01952511,-0.01106615
10/1963,-0.008193579,0.0211111902,0.0741262718,0.0487074012,0.0063262549,0.0188471866,0.012789993,0.0455946118,0.0157329636,0.0121521144
11/1963,-0.007790914,0.022061478,-0.023064844,-0.006119273,-0.011758822,-0.012726445,-0.01550452,-0.022440364,-0.008169641,-0.000065985
12/1963,0.0268851343,0.017974609,0.0322509707,0.0338194241,0.0101300949,0.014365719,0.029551243,0.0243886583,0.0129692753,-0.015076889
01/1964,0.0178533275,0.0288547589,0.0367093544,0.0352112881,0.0373284546,0.0118020408,0.006085629,0.0022032978,-0.004386783,0.0250627791
02/1964,0.0137625255,0.0081805852,0.0087847985,0.0242389986,0.0212565068,0.023532075,0.0462837419,0.04990295,0.0210124498,0.0514773946
03/1964,-0.011018867,0.0010075627,0.0243757422,0.0344010035,0.024387395,0.0298992829,0.0243177693,0.0211488007,0.0492121424,0.0269813291
04/1964,0.0091127702,0.0140988709,0.0127242157,-0.014111661,-0.006933812,-0.006414219,-0.006745086,0.0278239698,-0.007696971,0.0272062389
05/1964,0.0048942232,0.0022360264,0.0171710183,0.0206930664,0.0331734679,0.0129886874,0.0204644781,0.0507936233,0.0227410931,0.0007089632
06/1964,0.0235932325,0.0295037258,0.0077667559,0.0066172189,0.0195409499,0.0152786058,0.0113328621,0.017247368,0.0188153546,0.0198430594
07/1964,0.0584431246,0.0007593179,0.034193016,0.005641126,0.0282520009,0.0226858952,0.0222377567,0.0049399994,0.0201005522,0.0284302879
08/1964,-0.00533553,-0.012706639,-0.008634452,-0.019364342,-0.016054638,-0.011856049,-0.007239707,0.0092819108,-0.007134786,0.0089368235
09/1964,0.0200607282,0.01413906,0.0386823809,0.02804164,0.0405498498,0.0276280105,0.039084279,0.0173918647,0.0600277781,0.0344436276
10/1964,0.0051709711,0.0129828617,0.0164062802,-0.015991797,-0.00184457,0.030027759,0.0090532332,0.0175219266,0.0215270321,0.0258765572
11/1964,0.0076401542,0.0003041408,0.0113579758,-0.001316259,0.0004575764,0.0138159289,-0.003905692,0.0085923997,-0.010743694,-0.002089363
12/1964,0.0013982511,0.010781711,0.0147419617,0.003904828,-0.003621798,0.0051807781,-0.009737046,-0.022057406,-0.017194245,0.0109033339
01/1965,0.0410634402,0.0130365858,0.0289551343,0.0462267424,0.0571711805,0.0482200343,0.0529422423,0.0587531858,0.0554991164,0.0515526532
02/1965,0.0038080507,0.0052092616,-0.007807787,0.0109772978,0.0155273,0.0115521993,0.015661366,0.0398722646,0.0180832465,0.0249613233
03/1965,-0.007198996,-0.015869486,-0.01559694,-0.016380442,-0.013582105,-0.001281827,0.0071028868,-0.015607139,0.0116612179,-0.006838943
04/1965,0.0049429955,0.0238224442,0.0451314713,0.057103624,0.0298540672,0.0222098444,0.0298085714,0.0330199799,0.0637729367,0.050038423
05/1965,-0.005799084,0.0115318036,-0.008026064,-0.007607004,-0.012100938,0.0185352505,-0.000983366,-0.011298693,-0.013654987,0.0072825579
06/1965,-0.038060294,-0.041165052,-0.04913465,-0.03982497,-0.055086444,-0.057398084,-0.043576367,-0.065157861,-0.083753986,-0.07888933
07/1965,0.0150261654,0.002937243,0.0174145738,0.0078814084,0.0317853019,0.0291486169,0.0333267372,0.0130444462,0.0295055063,0.0085294207
08/1965,0.0068670683,0.0106203419,0.0338471617,0.0512301426,0.0441919293,0.0392635855,0.0324105622,0.0320247906,0.0282414328,0.0326799317
09/1965,0.0285544699,0.0271336077,0.0479199396,0.0261361099,0.0226536224,0.0245572206,0.0470353144,0.0452578737,0.0421601383,0.0384981914
10/1965,0.0042430078,0.0086880809,0.0383396555,0.0417075446,0.032670231,0.036435481,0.0424854613,0.0377888587,0.0602548369,0.0424866956
11/1965,-0.009087135,-0.018500596,-0.012040961,0.022180185,0.0228162305,0.0072075076,0.0309946209,0.0242290697,0.0096740886,0.0270301507
12/1965,0.0027513386,-0.00465956,0.0240094024,0.0147272846,-0.008310186,0.0269263261,0.0170154995,0.0372591105,0.0082403722,0.0384365699
01/1966,-0.011886671,-0.006724356,-0.002125705,0.0197499462,0.0111225124,0.0350663445,0.0543913588,0.0141292986,0.0355136432,0.0170527729
02/1966,-0.031994975,-0.017678634,-0.014500847,-0.010612533,-0.004087235,-0.005861524,0.0064600188,0.0247840873,0.0098098061,0.0181698888
03/1966,-0.019112093,-0.035066049,-0.023048226,-0.007132596,-0.001003658,-0.014474558,-0.021493962,-0.023149344,-0.02508409,-0.023403928
04/1966,0.0262564355,0.0184248382,0.0169223453,0.0243485856,0.0305658579,0.0277847352,0.0391025479,0.0349639251,0.0175956521,0.0462788276
05/1966,-0.042571844,-0.038298779,-0.057737499,-0.044191619,-0.038953508,-0.05609161,-0.072777514,-0.066185562,-0.075669144,-0.08054252
06/1966,-0.016780034,-0.021110496,-0.016195775,-0.001008256,-0.02261862,0.0272983528,0.0087980116,-0.014562601,-0.013373295,0.0231688261
07/1966,-0.014274398,-0.00351257,-0.017868051,-0.019637488,-0.013542658,0.000777472,-0.003534704,0.0077644202,0.0028887798,-0.00625368
08/1966,-0.094309654,-0.090974662,-0.074860503,-0.06630611,-0.059123055,-0.061250786,-0.074128942,-0.061466811,-0.067984661,-0.081735005
09/1966,0.0404681591,0.0145980199,-0.022821484,-0.011724594,-0.001467748,-0.01208211,-0.000762686,0.0113628099,-0.016161123,-0.006922958
10/1966,0.080684161,0.0796488596,0.0327265715,0.0455791391,0.0456413229,0.0408127633,0.0343898949,0.030607205,0.0221430731,0.0157192371
11/1966,0.0110567757,0.0004562827,-0.007786884,0.0291843468,0.0702089161,0.0434106219,0.0095852519,0.0018624103,-0.008006575,-0.009175897
12/1966,0.029193249,0.0118056501,-0.003431563,-0.00249721,-0.004345285,0.0089983559,0.0015430132,-0.012102303,-0.006320491,0.0248837954
01/1967,0.0386208778,0.068435637,0.0762853193,0.0864316727,0.0798361639,0.0725949287,0.0882157793,0.1148467979,0.136851511,0.1389948911
02/1967,0.0044320387,-0.009589863,0.001260182,0.0197275828,0.0380724308,0.0098164174,0.0057560896,-0.007772648,0.0158406311,0.0208731769
03/1967,0.0300740262,0.0337699364,0.0362558213,0.0393200494,0.0496468236,0.079764384,0.0478922258,0.0433369865,0.0705916442,0.0359928123
04/1967,0.0337224052,0.027086668,0.0591621284,0.0305839884,0.0721345044,0.0290112593,0.0360535447,0.0527167166,0.0402719416,0.0269203783
05/1967,-0.045034628,-0.031932211,-0.057957037,-0.053799157,-0.031609837,-0.033382657,-0.03866584,-0.02202345,-0.028474684,-0.00956157
06/1967,0.0009097839,-0.003825193,-0.001710443,0.0234763477,0.0531175589,0.0464210405,0.0365046133,0.0468784166,0.0483931487,0.049369449
07/1967,0.0346121459,0.0631610195,0.0293126356,0.045861273,0.0390479777,0.0683611108,0.0755510709,0.0830194103,0.0665465874,0.0853776426
08/1967,-0.014715275,-0.016739093,-0.007023964,-0.002529771,-0.012696964,-0.013671247,-0.004367329,0.0192381007,0.004189788,0.0109145387
09/1967,0.0020482136,0.0345235575,0.0371219401,0.033113088,0.0595466608,0.0146989593,0.0293779285,0.0400207142,0.0472646311,0.0565711328
10/1967,-0.045153707,-0.024003457,-0.038843192,-0.009908947,0.0197488784,-0.03832518,-0.060073297,-0.032671529,-0.026199343,-0.033295024
11/1967,0.0402034794,0.0004624501,-0.00548752,0.0032752762,0.0262551723,-0.005749792,-0.013502348,0.0221473235,0.0154321322,-0.000148075
12/1967,0.0311991956,0.0408672654,0.0127829985,0.0242146338,0.0272541159,0.0614391644,0.0518250936,0.043959976,0.0362693132,0.0530704662
01/1968,-0.030422443,-0.053482925,-0.041385436,-0.037830496,-0.054574,-0.050108442,-0.024694301,-0.015133004,-0.025054217,-0.003444356
02/1968,-0.03728891,-0.041096893,-0.027760785,-0.025519886,-0.03472882,-0.025001339,-0.04496611,-0.0386737,-0.029727824,-0.02403504
03/1968,-0.020073667,-0.005641477,-0.001560217,0.0165872495,0.0350870501,0.0011130374,-0.007852342,0.0166902182,-0.005612482,-0.002854174
04/1968,0.0649029218,0.0704553583,0.0738740746,0.0944271885,0.1026670116,0.1018954272,0.1153391012,0.1323263184,0.1377017844,0.1166421738
