date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.00639607,0.0081522938,0.0088470141,0.0006262801,0.0070030217,-0.001074438,0.0179341554,-0.010950896,-0.011803161,-0.024717489
08/1963,0.0575829667,0.0630764116,0.0421308252,0.043259997,0.0417558232,0.057638674,0.0537737862,0.0758527365,0.0771958426,0.0576908417
09/1963,-0.007646067,-0.008649094,-0.041394656,0.0034844033,-0.026010287,-0.002125706,-0.015265791,0.0048825154,-0.013274152,-0.025844404
10/1963,0.0393825506,0.0864476463,0.0086103407,0.0202541693,0.0228446286,-0.004466193,0.0090709593,0.0476102404,0.0270886439,0.004505687
11/1963,0.0023230959,-0.040413474,-0.003223793,0.0147685061,-0.001995086,0.0005640103,-0.018459088,-0.020554173,-0.001755476,0.0004332458
12/1963,0.0284069167,0.0161452369,0.027733385,0.0124096132,0.0428271706,0.0304065379,0.0226927809,0.00716473,0.0198043677,0.0041589587
01/1964,0.0338441912,0.0123911512,0.0280596371,0.0273609083,0.0433084363,0.0145052184,0.0180378755,0.0246847009,0.0408564286,0.0181894859
02/1964,0.0208782351,0.0141745547,0.0147227251,0.0027591227,0.0157060898,0.0152684445,0.0320354323,0.0484158516,0.0304417377,0.0613710252
03/1964,0.0124482506,0.0088651088,0.017369717,-0.001860196,0.0305818856,0.0383987601,0.0397622855,0.0463050626,0.0597580078,0.0187071123
04/1964,-0.017849733,0.0226393266,0.0176428794,0.0186012096,0.0038082465,-0.005576338,0.0260173302,-0.003585804,-0.017975065,0.0073688159
05/1964,0.0235249892,0.0237623239,0.0059452198,0.0001576986,0.0118218397,-0.001893401,0.0319028189,0.0234044615,0.0380635063,0.0075250221
06/1964,0.0054747588,0.0166408828,0.016489982,0.0401064361,0.0120454788,0.0201395657,-0.001123206,0.012231361,0.0168495754,0.0252281662
07/1964,0.0076163434,0.0519630304,0.0375578222,0.0033477396,0.0170710014,0.0504623867,0.0153192009,0.0238430299,0.0174537749,0.0069923311
08/1964,-0.021639204,0.0012835117,-0.00378971,-0.019281242,-0.005346352,0.0042855806,-0.017315855,-0.001316428,0.0014206325,-0.012832461
09/1964,0.0309405144,0.0349087215,0.0234323226,0.0136152131,0.0276377464,0.0499972975,0.0381464079,0.0407175539,0.0464099516,0.070303745
10/1964,-0.006296403,0.007655105,0.025168532,0.0135311992,0.0109742359,0.0095853919,0.0136545799,0.0056789679,0.003756838,0.0269709156
11/1964,0.0126294867,-0.000436048,0.0210565138,-0.004151395,0.0091764249,0.0138544208,-0.002718315,-0.003595542,-0.028982346,-0.032819874
12/1964,0.0148016051,0.0097895569,-0.006961533,0.0170241378,0.0153846643,-0.021700891,-0.003391051,-0.01768017,-0.029217989,-0.026068046
01/1965,0.066978601,0.0387148047,0.0185401165,0.004881641,0.0335124599,0.0387588534,0.0391479688,0.0411037213,0.064521544,0.0602971644
02/1965,0.0129625099,0.0003569084,-0.002686058,0.0015293821,0.0097898915,0.0103682937,0.0031489336,0.0128593538,0.0233067919,0.0093007153
03/1965,-0.019602946,0.0017758239,-0.010104302,-0.016910114,-0.02288811,-0.013091487,-0.005612861,-0.001428883,-0.001886721,0.0100998865
04/1965,0.0503112347,0.0494765729,0.0142684081,0.0228771961,0.0221882077,0.0382137111,0.0294927167,0.0310878126,0.0457397142,0.0700841395
05/1965,0.001722181,-0.021563392,-0.011845084,0.0139672525,0.0032838916,0.0013639492,-0.004104094,0.0070574357,-0.023978604,-0.027087762
06/1965,-0.046031668,-0.058061052,-0.035999144,-0.034351023,-0.057406055,-0.067792229,-0.051819009,-0.047225998,-0.068018048,-0.076631494
07/1965,0.0215878179,0.0041052279,0.0096921091,0.0091439678,0.0046106815,0.0165163581,0.0310891156,0.0474746429,0.0274203406,0.0428809515
08/1965,0.036382974,0.027934362,0.0205009496,0.0184867283,0.0223622331,0.048925785,0.0307984666,0.0083004534,0.0369873543,0.0238886249
09/1965,0.0399746413,0.0421853464,0.0285116833,0.0334405697,0.0222553035,0.0188834734,0.0254267271,0.0457918159,0.0217760286,0.0549083958
10/1965,0.0386740048,0.0181664716,0.0183748548,0.0197420226,0.0038320446,0.0395159928,0.0390400764,0.041834438,0.061988282,0.0736397073
11/1965,-0.000498107,-0.001954033,0.00593312,0.0012210374,-0.01373158,0.010491747,0.0164537307,0.0228468625,-0.004517062,0.0015259626
12/1965,0.0084919794,0.0174275992,0.000081139,0.0029827756,-0.000462702,0.0168207796,0.0274453966,0.0220236831,0.0553838737,0.0240248673
01/1966,-0.001318087,-0.003715882,0.0036159706,-0.000134865,-0.000878603,0.024963769,0.0415122183,0.0273536624,0.0406913778,0.0532880001
02/1966,-0.008827607,-0.011345346,-0.030356201,-0.028909917,-0.001521986,-0.009800269,-0.011584122,0.0113251704,-0.001132387,-0.007049893
03/1966,-0.009237184,-0.018646322,-0.019603559,-0.02800734,-0.039326808,-0.002908891,-0.015874427,-0.024111881,-0.029442441,-0.03637937
04/1966,0.023682832,0.0238400583,0.0241830556,0.0313537404,0.0157748093,0.0288184543,0.0146191902,0.0435152439,0.0192956472,0.0156026393
05/1966,-0.04397672,-0.047282907,-0.037395348,-0.049041844,-0.046623002,-0.072363321,-0.052469829,-0.070802587,-0.081350678,-0.070454713
06/1966,-0.01534639,-0.021270224,-0.01655273,-0.029998372,0.0031028844,0.0104317051,-0.011841709,0.0290824404,-0.000583581,-0.014021096
07/1966,-0.01983207,-0.009348736,-0.014113711,-0.016375034,-0.004679298,-0.000244658,-0.015750314,0.0154002395,-0.015686622,-0.019798154
08/1966,-0.075771296,-0.071065149,-0.088376582,-0.077940295,-0.080772895,-0.079199861,-0.042716583,-0.075845245,-0.072661288,-0.074161485
09/1966,-0.028662959,0.0034922774,0.0009378355,0.0231571883,-0.006632287,-0.009128093,0.0005532643,0.0285252665,-0.034116521,-0.024507627
10/1966,0.0273582896,0.0136805081,0.0593921385,0.0394271987,0.074238298,0.0482910667,0.0779607872,0.056784368,0.0447917998,0.0342587222
11/1966,0.0843133599,-0.005523064,0.0126107632,0.0082220004,-0.006741916,-0.00601607,-0.018022594,-0.001313561,-0.005168389,-0.023391322
12/1966,-0.010192697,-0.009868564,0.0128734744,0.0079793658,0.0074721235,0.0181079119,0.0180891354,-0.003157231,0.0081728123,-0.001817926
01/1967,0.0785181089,0.094108908,0.0694871392,0.0776007357,0.0398776035,0.097818449,0.0705871492,0.0891741955,0.1132834263,0.176410219
02/1967,0.0418867559,0.0000272079,0.0126671462,-0.000481001,-0.007237982,-0.007763773,0.0051862046,-0.016187487,0.001768496,-0.00149503
03/1967,0.0470137177,0.0446355698,0.0439143375,0.0273500006,0.041294267,0.0319487841,0.0430347572,0.0490758227,0.0480023553,0.0594117122
04/1967,0.0708400415,0.08161107,0.0270678998,0.0298063545,0.0188989632,0.0206235217,0.012930994,0.0418245963,0.0233328195,0.036106336
05/1967,-0.054139679,-0.056630858,-0.02976525,-0.039074975,-0.03439305,-0.042599412,-0.039831434,-0.035877223,-0.025406417,-0.028175974
06/1967,0.0324994263,0.002705825,0.001172013,0.0149377565,0.011125742,0.0268665503,0.030406319,0.043733712,0.0487876323,0.0316813981
07/1967,0.0445257863,0.0489361922,0.0556356751,0.0499111546,0.0598190106,0.0036824939,0.066930729,0.0649053307,0.0886357969,0.0800720257
08/1967,-0.01034217,-0.001779328,-0.008129078,-0.01937305,0.0056308343,-0.013985503,-0.016738694,-0.004932387,0.0161041072,0.0210342615
09/1967,0.0522526526,0.0298657135,0.0352508737,0.0063005489,0.024929348,0.0392742498,0.0125951416,0.0314493754,0.0303130126,0.0303931589
10/1967,0.0163344804,-0.041010608,-0.036463699,-0.042313943,-0.054410309,-0.018334589,-0.054909888,-0.043773724,-0.048084593,-0.049414991
11/1967,0.0162291921,0.0089880593,0.003386913,0.0163940442,0.007213045,0.0010633324,-0.003760243,-0.01305992,-0.009396144,0.0089573051
12/1967,0.0149701299,0.0366105904,0.0306308418,0.030402142,0.0429709261,0.0241248908,0.0457281054,0.0606712933,0.0523005079,0.0385677059
