date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,-0.005843561,0.0126046737,0.0012021833,-0.002361135,0.0125860821,0.0060955331,-0.003917842,-0.001882152,-0.01236688,-0.020016128
08/1963,0.0588589811,0.0530067514,0.0538895594,0.0391468656,0.0540545926,0.0628851532,0.0717135814,0.0451913221,0.0714932698,0.0605511265
09/1963,-0.007373732,-0.021099894,-0.028846528,-0.003999298,-0.005037691,-0.008328929,-0.02056322,-0.01509472,0.0005083171,-0.024665274
10/1963,0.042260457,0.0680342525,0.0119094943,0.0253057369,0.0162174566,0.0081729331,0.0137062752,0.0226748408,0.0120071302,0.0144567888
11/1963,-0.016184085,-0.006267933,-0.006135579,0.0173958864,-0.012708697,-0.019022718,-0.009178263,-0.000288823,-0.020127892,0.0096309684
12/1963,0.0209269409,0.0341346836,0.0295875131,0.0248684018,0.0160640019,0.0141218274,0.0166501409,0.0265361616,0.0240158042,0.0019084883
01/1964,0.030688604,0.0172629719,0.0215517192,0.035734136,0.0238129176,0.0285165915,0.0008577563,0.0237473656,0.0405072938,0.0177935577
02/1964,0.0214678648,0.0137754893,0.0223845258,0.0039665196,0.0200885203,0.0203499624,0.0381770734,0.0257470495,0.0427494977,0.0428435872
03/1964,0.0082872139,0.0151434799,0.0351557697,0.003365179,0.0218147012,0.0540811713,0.0309028614,0.035610659,0.0364650134,0.0365560909
04/1964,-0.017564955,0.0183133128,0.0290418113,0.0057559139,0.0197334132,0.0119242148,0.0089465268,-0.01763102,0.0344993856,0.0030976715
05/1964,0.0230266283,0.0216921803,0.0119323762,0.0054911632,0.0083480927,0.0031928402,0.0218307882,0.0259206052,0.0096059628,0.0289064228
06/1964,0.0056937281,0.0193598129,0.0105149828,0.0334716618,0.0131533948,0.0153537931,0.0221493959,0.0174098782,0.0201550219,0.039551185
07/1964,0.0228508846,0.0272584705,0.0383105742,0.0017413807,0.023657924,0.0343797901,0.0159646157,0.0297221207,0.0365449303,0.0059965308
08/1964,-0.011515125,-0.021307988,0.0007492039,-0.018595709,-0.008116577,0.0083471901,-0.012745095,0.0037946817,-0.010612849,-0.016996735
09/1964,0.0324720219,0.0298758847,0.031566161,0.0109071586,0.0270858688,0.0445343908,0.0383683114,0.0409362428,0.0501542425,0.070962599
10/1964,-0.002836256,0.0145462243,0.0147652921,0.009978091,0.0198455656,0.014140347,0.0116553322,0.0032287103,0.0118918506,0.0298892805
11/1964,0.0041378742,0.0245215952,0.014513538,0.0092434223,-0.009682432,0.0156381487,0.0031677158,-0.007052641,-0.040910165,-0.037881812
12/1964,0.0161132297,-0.007972085,-0.001377044,0.0032215669,0.02288756,-0.010654354,-0.007195265,-0.022322657,-0.019357038,-0.019254474
01/1965,0.0565697795,0.0281514296,0.0340393579,0.0058603886,0.0282639294,0.0437542305,0.035262131,0.0469515829,0.0560443579,0.0615595923
