date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,33144381,50911932,74111416,44269493,11301053,20266493,38579900,20593532,17975594,13515133
08/1963,33485975,50668027,75001781,44173247,11108896,20285960,38506860,20435657,17703256,13200638
09/1963,34805387,52685085,77611342,46429396,11823999,21566121,41087252,21788319,18721625,13908622
10/1963,33767593,53020086,75633353,45935130,11624168,21224662,40951514,21540939,18780552,13510116
11/1963,33522079,54384165,76748204,47626183,11700416,22053227,44667970,22869821,19206284,13666685
12/1963,33103304,55697455,74627496,46978082,11617937,21728649,41997539,22517302,19048029,13650358
01/1964,34283033,56426959,77830367,49793666,11561842,20740090,42393455,23173328,19247923,13544781
02/1964,34776472,58126304,81405546,51407653,11742861,22634358,42835010,23702265,19763809,13528884
03/1964,35088454,59035238,82429568,52954681,11954463,22813883,43547186,23707615,20199935,13820708
04/1964,34741138,58818268,84815974,54643181,12398608,23395543,43741376,24306499,20538314,14193409
05/1964,35008399,59376978,86891714,53681249,12346009,22859087,44905310,23616873,20365516,14193273
06/1964,35109877,58842361,88353894,55273693,12195208,22741906,45517121,23637179,20798376,14546931
07/1964,38550891,62407855,89304788,57379281,12367190,23384036,28867700,50456118,14026267,15118110
08/1964,40387346,62097426,90504410,58163576,12536187,23955818,29144002,52814653,14306328,15446830
09/1964,39989725,61285074,87674236,56562794,12325948,23536299,29022405,53112817,14160223,15484028
10/1964,40842303,61341172,89824906,59502719,12854119,23992221,30161978,55292477,14525875,16022284
11/1964,41270557,61230805,90455001,60210777,13065569,24275337,30432777,55381775,14467310,16422702
12/1964,41330992,60052844,90861345,58372128,12780627,24419525,30459741,54829448,14514019,16558074
01/1965,41905585,62369616,91043851,58826674,12648191,24269623,30825547,56422291,14689941,17026437
02/1965,43472307,63392289,93055316,62094122,13237447,26002057,31724709,58575927,15409107,17644569
03/1965,43434156,63851577,91373918,61919983,13576441,26785769,32298544,58345817,15944466,17848188
04/1965,43086379,62938292,89142480,60589196,13549235,26340999,31843191,58459038,15922695,17866807
05/1965,43513669,64533358,91455457,62539790,14027180,27436934,33823256,62158727,16373927,18719269
06/1965,42898182,65280464,91022719,62709026,13891811,27091022,33231658,60328916,16452014,18577046
07/1965,43957882,66295113,69878844,65685993,28331217,19955873,37019978,52416070,19414276,17931510
08/1965,44700019,66948178,70658014,67489430,28525295,20053754,37097982,53695732,19984175,18219953
09/1965,44999485,67750303,71068475,70575442,29172991,20929058,38010660,55347653,20993730,18781141
10/1965,45671643,68719820,74028554,72347437,30453394,21553912,38528534,59597231,21597420,19247766
11/1965,46266524,68615313,75620125,75820173,31543765,22612991,39155855,62315809,22636606,19688353
12/1965,45877795,66104698,74815306,75349182,32242555,23222370,39887540,60292665,23388333,20304267
01/1966,45533814,66791561,76320374,77521582,33034055,24047604,41041669,61559839,24283908,20268633
02/1966,44830483,66749571,77577646,78119026,33660196,24456192,40289580,61926184,25450952,21071308
03/1966,42865488,66078302,75571737,77783266,33087070,24266647,39869352,60848701,25617621,20869241
04/1966,42308004,63349606,73927137,77625533,32106624,23777656,39168099,58630369,25188808,20636759
05/1966,42878943,63959970,76439634,80773189,32912358,24561075,39599139,58817971,25623888,21342121
06/1966,41311061,61091952,71498689,77327411,31067042,23209167,38045268,53893494,23831244,19910169
07/1966,38583805,61143687,61157858,90961693,34025140,29427565,35171843,48382133,23560118,19142909
08/1966,38314549,60596781,60264681,90273479,34122870,28767133,33422643,48204500,23241895,18712585
09/1966,34531566,56317644,54680217,83050513,31807604,26768442,30701497,44387876,22046324,17277102
10/1966,36101769,56207541,55323009,82096532,30540444,25994879,30159306,44450767,21293705,16703484
11/1966,39761676,60558020,58268703,86391520,30443872,26483360,31537764,44601727,21637071,16629493
12/1966,39316461,59147077,59355305,88407851,31379227,26350431,33030979,43270769,22492909,17393451
01/1967,40690412,61310526,60111752,89103023,31524035,26401245,32360251,43672775,22465371,17448183
02/1967,41614102,65187623,65447989,94898804,34681697,29203268,34791353,49153655,24331348,19542229
03/1967,40860287,64955410,65319582,96325006,35190698,29378561,35327586,48763326,25101750,19939553
04/1967,41532849,67033330,68417044,101038669,36467111,30709431,37168224,51368954,26306368,20784294
05/1967,42313517,67423109,70922360,104473143,38054891,32624570,39900450,56046880,27746965,21821262
