date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,79413420,18415012,53094502,36372055,38440633,41650233,18145314,16817503,12879449,12568345
08/1963,78869727,18430600,52954607,36598776,38988785,41835229,18201760,16542857,12598139,12681494
09/1963,83252049,19335016,55335933,37827203,40047548,44176500,19060713,17535823,13761811,13352714
10/1963,82547463,18974776,55587335,36620436,38963010,44009863,18522664,17082937,13933755,12957947
11/1963,85675745,19367041,57757861,36384033,39774641,47535814,18523574,17043111,14270457,13235058
12/1963,84229922,19022061,58745371,35982970,39378825,44627483,18189247,16746668,13967637,13172807
01/1964,85370280,19504807,59731773,37296508,40943147,45262945,18617174,17703251,14074323,13675422
02/1964,89700795,19856162,61467817,37875891,42664658,46161879,19055458,17929857,14468445,14019603
03/1964,91397019,20279631,62062212,38433744,42851611,46615607,19626341,18195404,14786771,14707749
04/1964,92466197,20297964,62199344,38902684,43471168,47737742,20429833,18685587,15672821,15071067
05/1964,90928390,20130086,62618154,39498185,44553448,48977568,20635945,18710282,15229680,15383638
06/1964,92719939,20303708,62045422,39799942,44758995,49542653,20848363,19046510,15677330,15743058
07/1964,79677147,37225474,67035068,87363649,26718988,22204056,19693963,22124183,17228675,12770233
08/1964,79959571,38461647,67126030,90644595,27092418,22771768,20186074,22662056,17594296,13002745
09/1964,78055922,37862469,65776661,89608794,27340531,22233768,19627315,22715291,17504747,12697334
10/1964,80253059,39055167,66143401,92317733,28251173,22873494,20162934,23685632,18439950,13407958
11/1964,79531042,39213423,66235110,94755982,28594165,22773953,20391190,23933509,18443277,13719942
12/1964,79900539,37468811,65008064,94339025,28511713,22930660,20749509,24232401,17800783,13635684
01/1965,81582882,38003385,67177376,95859247,28671852,23269343,20613498,24533016,17518042,13471695
02/1965,87156931,40073305,68266938,97094384,29945104,23997560,21206407,25214936,18336674,14114421
03/1965,88292104,39924711,68766280,95470875,30395066,24234444,21078299,25008050,18609830,14289793
04/1965,87084821,39360180,67571670,94042724,30225910,24233455,20478069,24604747,18494234,14316121
05/1965,91885449,40012479,69405877,97754076,30838128,24932888,21070241,25269038,19309147,14881226
06/1965,91249964,40236146,69997744,95602978,30179196,24615794,21165934,25264291,19065281,14849401
07/1965,74320802,60981975,90011522,71376380,39117529,25459586,18216890,12679945,14862147,16273062
08/1965,75941621,62140804,90552142,71182469,39530715,25978593,19055149,13061106,15522133,16791406
09/1965,79102174,63788247,91216212,72546486,40500472,26883622,19720378,13378065,15676377,17232283
10/1965,81392339,66028842,95793478,73941137,40900137,27373186,20440892,13979183,16477908,17899862
11/1965,83441292,67671079,98944259,74548302,41740192,27835008,21409750,14675739,17347949,19055127
12/1965,85309965,67476423,95634628,71974193,41484098,28268834,21593961,15050712,17958335,19071209
01/1966,88238372,67795197,96273463,72547522,41982475,29023471,22210469,15717033,18388011,20728797
02/1966,88310189,67882696,96569611,71502502,42182716,29651108,23471791,16825957,19103373,21196285
03/1966,87464914,67560552,93360515,70792552,40965960,28490373,23156630,16996775,19317096,21275583
04/1966,87812868,66505938,89644894,67959584,40222087,27822507,22375174,16833363,19218268,20775803
05/1966,90904477,68357961,90570778,68642752,41144563,28142672,23047055,16909847,20137771,21431596
06/1966,86760154,65412867,84669394,65766838,38847560,26481272,21632567,15712599,18417444,19815492
07/1966,88628488,64639347,32079802,54944418,52729015,54737109,35086421,20618756,20003705,19620741
08/1966,86920074,63218847,31451835,54426499,52117479,54483694,35022825,20345716,19915228,19513722
09/1966,80742960,58566315,28579434,49399086,47710774,50796254,32512085,18770236,17994928,17871623
10/1966,78977443,57320410,29092803,50418675,46867533,50251912,33233213,18416263,18217439,17426804
11/1966,80636289,59418560,31090820,52191135,49754476,54382586,34732968,18850559,18854036,17961091
12/1966,86267724,62066168,30950530,50563127,48359170,52676081,34895108,19068902,19140661,17737036
01/1967,85690956,62448128,31782921,50500612,49812559,54687922,34725477,19856531,19203440,18112055
02/1967,92005894,67309026,33907128,55517820,52667213,58125339,37247784,22006498,21343333,20529274
03/1967,95113748,68932952,34084533,54530696,52106784,57954858,37067681,21859577,21039837,20380359
04/1967,99653299,71475421,35172335,56618570,54740388,60344378,38196425,23118680,21760133,21700340
05/1967,105981506,76479364,36381379,59615400,56039215,60411653,39478154,24093777,22534253,22412295
06/1967,99820072,73191505,34511072,56320507,53740050,56843277,37954783,23278739,21779078,21502742
07/1967,121679333,53858519,53545099,47499530,105723783,36853894,20244759,23482378,21347910,18701599
08/1967,125768147,57274910,55434729,49516381,108580837,39385927,21214326,25430226,22993840,20128018
09/1967,124217275,56977112,55420675,48821009,106149269,38638284,20975299,24614621,23515754,20042814
10/1967,129762960,58851423,57049624,51006564,110084983,39354998,21329079,24762129,23956123,20601843
11/1967,131770930,56671033,54118094,49769451,107356685,37208109,20131621,23424747,23200566,19395679
12/1967,134869964,56481039,54234195,49325207,106360614,37144679,19826451,23242347,23157067,19183444
01/1968,140143540,59484821,57674506,52716768,109981226,38732795,21210096,25100484,25224646,20444162
02/1968,129093272,56355151,55387572,50247827,108570937,37319313,20713639,24562506,24437201,20466780
03/1968,124493878,54224014,53316364,48480855,104682621,35953935,19997194,23598583,23408100,19653378
04/1968,129475495,54405060,52998920,46885615,104647405,35822326,19556565,23318524,23764018,19584579
05/1968,144288677,60719967,57905027,50235740,109515992,38447171,21303739,25453100,26280335,21943282
06/1968,150302134,61374035,57576057,51523928,108010968,38960618,21750535,26165214,27087323,22976764
07/1968,90456095,94360167,47576014,46899014,68690767,37648152,45682293,55109972,61127554,29572949
08/1968,85112650,89030579,45261758,45491193,67989262,36546870,44776987,57460459,62070415,29784408
09/1968,86478553,89128810,46303104,46071402,68512211,36911703,45773712,58555299,62599553,29923947
10/1968,88550558,92232694,47709472,48505196,72297222,38749089,47775444,59660080,65285728,32422635
11/1968,87681199,88657319,48631816,48966258,74373450,39212260,48456349,61292634,66854889,33129850
12/1968,93870734,94788576,50781616,51950985,75316130,40761443,51133731,63806437,71234252,35292998
01/1969,92757864,92075832,50470595,52239868,73397145,40458851,51262463,62126968,68537178,36911095
02/1969,91566701,89148888,49656738,51816592,73057834,40764238,51243752,61727596,68194274,36730746
03/1969,85549001,86266647,46676589,48309288,69888017,38115631,48391283,58500847,64300418,33914031
04/1969,88039141,91199890,48435309,48464167,72910612,38673875,49449955,60918968,66008680,33137259
05/1969,91256626,95027770,49578082,48883945,72838805,39580046,49920691,60173900,68900499,32936119
06/1969,91823955,93838176,48614988,48080950,72486694,39121815,48963944,61857043,69350988,33911967
07/1969,62124845,106378842,37822943,43452372,38274978,36311479,62728575,56129929,96448467,43049275
08/1969,58888846,100881653,35810586,40951248,35269843,33554184,57923799,52539727,89982901,39577961
09/1969,64006099,107513316,38007999,43098883,36411805,34684833,59362597,53951790,92126726,40272414
10/1969,64323848,106676632,37994834,42037731,34947284,33764900,57522743,51773216,87436635,37988145
11/1969,69265927,113198066,41346158,44706657,36407809,36383632,59799313,54292050,88773971,39719221
12/1969,68003042,110651331,40222967,43228949,34976415,34885211,57072675,50930697,85326305,37415523
01/1970,68947882,115370653,39876318,43454566,34641385,34814041,56172346,49574797,81980958,36209168
