date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,5453781,8280307,19824949,27137806,37970296,20080144,20987375,18950366,81806345,28019243
08/1963,5354331,8381711,19646539,26866611,38214605,20178969,20917409,18919352,82090293,28058710
09/1963,5947626,8517893,20695968,28794671,39782002,21622733,21899634,19755699,85423437,29672426
10/1963,6037237,8247064,20452483,28831470,38599212,20992386,22052059,19380218,84918355,29413563
11/1963,6339708,8248190,20698785,29368806,39640971,21277225,22298394,19662589,87563923,32842550
12/1963,6163347,7936060,20320565,28946923,39207056,21096199,22084975,19458984,88166987,30257543
01/1964,6191799,7906452,20792749,28335024,40870503,22106862,22900056,19990757,90853790,30280618
02/1964,6222398,8233174,21171271,30999548,42298248,22463663,23368805,20416828,94311143,30691351
03/1964,6549823,8132312,21634465,31668272,42505548,22721350,23921902,20403146,96431882,30925138
04/1964,6678439,8246121,22212514,32421183,43689844,23164241,24417630,20590315,97113911,31046124
05/1964,6496658,8658809,22384160,32372126,43849156,22972075,24556421,20451642,97703192,32250034
06/1964,6686327,8485026,22319450,32973596,44306271,23175276,24987514,20387795,98244524,33010602
07/1964,10742504,5576808,26731986,22007644,19147220,62580300,35843854,45129364,47250633,45844456
08/1964,10918576,5804081,27182924,22796886,19378928,61801946,36852818,45842247,49805463,46417954
09/1964,10742756,5575897,26702093,22992431,18974122,60642383,36663141,44607023,50159393,44869720
10/1964,11509779,5830126,27759200,24147826,19618372,60701081,37680224,45470192,51921232,45638629
11/1964,11239457,6061269,28129130,24082325,19788492,60771254,37929436,46338160,51844256,46243793
12/1964,10521865,6073900,28768905,24601298,19971057,59817222,38338114,46448061,50577056,46488712
01/1965,10442885,6253636,28253411,25037886,20436976,62707294,38754330,46683490,51750018,46023246
02/1965,11082752,6648028,29534550,26206082,20960927,63372621,40391011,47329534,53739837,47911405
03/1965,11247206,6751777,30065456,26570051,21174295,62942370,40711494,46321608,53381856,47252755
04/1965,11296282,6717049,29549265,26353305,20938725,61701850,40650407,44986167,53640077,46683976
05/1965,11463847,7105998,30593573,27806645,21568439,62749597,42310736,46128981,57238574,48297894
06/1965,10951246,7011833,30941015,27412901,21418628,63990216,41591598,45462233,54760209,48154124
07/1965,13257551,5551057,33477113,56553431,38963471,37505515,40831583,71955408,40454829,63929644
08/1965,13883931,5885590,33972073,56531693,39395721,38501630,41257350,71719308,41202208,65822965
09/1965,14354815,6135499,34812141,57558505,40075441,39953846,41705669,72639579,41901443,68265800
10/1965,14664636,6417804,35712244,58474145,42252918,40890908,42281269,74576447,43430493,71730355
11/1965,15464095,6858821,37431662,58307624,42597915,42216430,42807474,75846271,44125623,75683834
12/1965,15409849,7028270,36858156,56755296,41958137,41863295,42402329,76853357,44271506,74173008
01/1966,16237692,7222120,38044619,57490749,42733213,43467187,42642143,77727245,45155394,74311019
02/1966,16877644,7776576,38966067,57639799,42620700,43519223,41930221,76547954,45596068,75837297
03/1966,17038132,7654905,38467937,57413490,41027394,42356910,40411182,74157323,44109516,76907775
04/1966,16303805,7541065,37888869,54755055,39636444,41938421,39931308,73182375,43316265,75114477
05/1966,16523388,7796107,38320610,55739727,39872766,43686049,40269960,75137646,44396279,76166007
06/1966,15268863,7181047,36083685,52647466,37542550,41789935,38620416,72524806,42082684,71253645
07/1966,21865231,16694471,32230056,22008124,42029308,58276864,77133462,60120442,40128627,46231530
08/1966,21748384,16250443,31332140,21480263,41228836,56868821,77703056,59598842,39901207,45259151
09/1966,20063977,14889969,28686992,19666164,39233205,51722137,71702370,55834358,36664027,40988340
10/1966,19264639,14825551,28388577,19366825,39778681,52040205,72292829,55192530,35905648,40486506
11/1966,19611078,15195644,29018095,20391737,41822868,56756252,75317225,58834886,37439799,41527712
12/1966,19427587,15365845,29682136,20367329,42167365,55689588,72873639,57283711,38431043,46101104
01/1967,19444240,15808823,30310538,20937288,41812680,55075769,73175919,59378755,39572474,46091337
02/1967,21471434,17446373,33498664,22919189,44138534,56510063,79636942,63323389,42685818,50509373
03/1967,21180748,17356117,33799640,22633091,44256485,55303824,78815251,63553755,43640669,52888251
04/1967,21819535,18008945,35589620,23495596,45411993,56778875,82455502,66200776,45248106,55568651
05/1967,22986844,18439562,37168402,23936002,47861676,58642324,86712078,66956804,47329411,59687229
06/1967,21988248,17833382,35775448,22901105,45576530,55460124,81931812,63261068,44726967,56813534
07/1967,21191728,27144347,30365735,82654557,36553468,59358040,53290463,75034311,56325193,29155816
08/1967,22175843,29466545,32209497,82607330,38475293,63127840,56129297,78710418,58432438,30172814
09/1967,22444549,29347049,31501468,81288296,38059998,62402189,55189431,77792326,57512490,30018705
10/1967,23860951,29754335,32338702,83318415,38645513,65182753,55520441,80525158,60745636,30873061
11/1967,22264106,28354424,31458970,80594959,37248926,62507232,54357449,77327693,61924065,30960029
12/1967,21570288,27676422,30645688,80631262,37695176,62343932,54981891,77871238,63058033,31247477
01/1968,22832596,28394691,32496040,82338764,39731848,63893182,57983059,83281792,65599843,33937129
02/1968,21983690,27604246,30412157,82863567,38169773,61295683,56460594,78321192,61886261,31146738
03/1968,21062557,27023246,29285517,80670881,37348611,59619790,54840518,75027974,59784288,29142341
04/1968,21259012,27119218,29240917,80004709,36886288,58759798,55826246,75352275,61625327,29735142
05/1968,23516243,29910388,31647919,83730008,39014251,63386698,60825034,82319225,68015798,33828508
06/1968,23387803,30789907,32156753,81900981,39243651,63765450,61843707,83422557,70587685,35539507
07/1968,53436603,30770641,39767297,58080344,121298254,75074673,56599946,32247625,39600236,33671027
08/1968,52033297,30254235,39354480,59187712,119804062,73682189,54223364,31139048,37244109,31664312
09/1968,52530096,30599925,39687719,58991838,119990254,74905242,55628453,32282812,37500501,32673702
10/1968,55860533,31760285,41393777,60101886,122665043,78134113,57553471,34029794,39165305,34223607
11/1968,57191156,31960971,42700825,60299740,121899525,78805176,58283297,34820738,39515212,34008660
12/1968,56640235,33077486,44683715,64180996,129438794,81671313,61525571,37196743,42072289,36518756
01/1969,55304445,33088176,44026181,62692952,123590293,80082550,60569107,38593036,41657628,36047490
02/1969,54534081,33056287,43697958,63045633,121091537,79683087,59641970,38510359,40508200,36034971
03/1969,52247602,30893595,41781985,59313929,116355803,76219394,56824093,35802527,38382350,32957996
04/1969,53765077,31371807,43850422,60891915,121332679,79262689,56796351,36976872,38887666,33976644
05/1969,53769751,31472518,43702039,61131523,126361276,80708655,58395929,37252964,40661928,34251053
