date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,43675110,32044589,67172125,16166319,23285530,30734681,31590885,8916285,5876332,10531045
08/1963,43157398,32301354,67345337,16242661,23266098,30998441,31786732,8940860,5781609,10263750
09/1963,45840126,33606774,70041709,17184285,24637990,32254311,33577300,9406689,6146903,10932142
10/1963,45803572,32818220,70051761,16657711,23943379,31408725,33445933,9193165,6024190,11064278
11/1963,48628574,32740814,71865753,16716813,24170701,31873175,36914467,9254436,6197163,11093308
12/1963,47948655,32429166,72256168,16695191,23764839,31596176,34308376,9116471,6106230,10931534
01/1964,47679053,34278523,73972299,17221250,24496051,33033167,34650518,9144608,6230385,11037213
02/1964,51394549,35140772,76782744,17561566,24526459,34212967,34921221,9413273,6335927,11427881
03/1964,52444131,35791296,77650087,17841558,24924292,34631775,35174352,9585029,6632165,11788971
04/1964,53557231,35973838,77883804,18142437,25491388,35184612,35679197,9970711,6939390,12372351
05/1964,52359901,36651943,78286857,18105460,26090727,35703901,36906592,9933486,6880346,12346568
06/1964,53323745,37204376,77781639,18372444,26298081,36321928,37708425,9984497,6738926,12394600
07/1964,39917399,52519152,78592560,33843923,54341179,40010936,43363760,11757837,16273073,13217543
08/1964,39664389,53093228,78896713,34927879,56011436,41112960,45371278,11982818,16555501,13601190
09/1964,38543881,52148841,77502791,34289818,55021331,40156516,45633331,11887214,16583448,13509670
10/1964,39555374,53586570,78416339,35300701,57366890,41175465,46996835,12080452,17103604,14392539
11/1964,39171324,53597861,78292636,36604332,58254697,42187929,46980121,12297468,16975489,14198565
12/1964,38659332,54437824,77886774,37024459,57224855,41991816,45652248,12373994,16695000,13841104
01/1965,39281036,55644088,80984793,37327389,57616168,41971711,46400901,12170995,16286436,13812595
02/1965,42236070,57851949,83128711,38214855,59508234,42443478,48257280,12681254,17011594,14221401
03/1965,43294613,58792108,83685487,37866084,58397325,41556038,47925478,13002006,17279339,14048763
04/1965,42940540,57280975,82803212,37184542,57134377,40495230,48346046,12844074,17302621,14090142
05/1965,45405654,60705094,84599909,37989403,58185112,41186514,51055248,13252477,17894779,14597683
06/1965,45504293,60009174,85624609,37620721,58610008,40673858,48967616,13038952,17600932,14213342
07/1965,56292924,40307470,56371269,77338632,36983537,49306109,20996451,45178092,16797764,11340513
08/1965,57986776,40810964,57641774,77960834,37459729,48978444,21509270,46039378,17148121,11437050
09/1965,60644343,42815141,59237292,78407244,38502131,48801731,21793923,46757820,17830079,11643593
10/1965,62266079,44196047,61856821,80383866,39551564,50666442,22158884,48645927,17857863,12042523
11/1965,64325165,46164958,62486575,80124391,40874651,51681920,22550119,51493176,18771924,12430587
12/1965,66151325,46771915,62187276,78175022,41157689,51176969,22660740,48512085,18316833,12081757
01/1966,67112793,49065633,63280669,78879418,41241165,51747083,23029108,49399553,18745407,12485565
02/1966,67825818,49999954,63435699,78034661,41317288,52407658,23263994,49484681,19361724,12694947
03/1966,69745847,49586193,61618010,76418034,39885023,50527304,22800359,48142251,18822858,12384215
04/1966,69549928,50287677,59997561,73553883,39610645,48569974,22015299,45920528,18046913,12146856
05/1966,72495898,52035098,62932260,74720205,39829701,49119060,22214683,44929013,18125873,12040846
06/1966,68318846,50051447,59054414,71873515,38084568,46114298,21032484,41762949,16863135,11511002
07/1966,54325140,62177054,42661766,35464332,40146202,47492674,52651234,40094216,39829622,15671943
08/1966,53150260,60656289,41267342,35678098,39604459,47499092,51987079,40077223,39811486,15376271
09/1966,48635156,56345489,37438163,33130326,36322976,43968271,48325945,37198934,36350226,14289359
10/1966,46850020,54534624,37215609,32871272,37247057,44723724,48609442,36802881,36770902,14130530
11/1966,46994553,54837439,39648106,34924779,40329931,47676347,52593350,39653250,37216676,14477506
12/1966,53866616,56914437,40486539,35087378,39241173,47449090,51172206,37650202,34755383,13910788
01/1967,54254527,57708871,40853639,35645722,39970377,47140341,52918333,37647993,34701299,14263737
02/1967,59444674,62916889,43306461,37970886,42227685,49396073,56224513,40192720,39135629,16243908
03/1967,62358697,64717115,43718918,38424491,41864475,48453768,55788679,39150190,37954659,16198874
04/1967,66307960,67601771,45278198,39767148,43000623,49555150,58102291,41035185,39540531,16963454
05/1967,71263872,71590739,48051070,41204981,43374944,51633955,58319160,41583557,42727790,17258723
06/1967,67666050,67666804,45457221,39367319,42195030,48731307,55402700,39996550,39759875,16627163
07/1967,75072239,56996920,54525050,49707322,59986229,57982784,31853448,35802337,19209748,40128252
08/1967,78337739,58928649,56350684,54052347,63921684,56858186,32456523,37493673,20681894,43373839
09/1967,77662059,58192274,55738447,53885626,61880968,56064979,32184953,36947244,20749494,42937679
10/1967,81637857,60160938,56258543,55249775,64314862,57104086,34102508,38182356,20638292,44425535
11/1967,84774745,58771686,53591717,52876384,62524631,54957169,31608214,36962180,19976899,41918761
12/1967,86410486,60054142,54635174,52692936,62502358,54776806,30578626,36395867,19467600,40948113
01/1968,91726987,63899808,57395400,54752124,65277005,55976459,32771645,37614476,20609443,42142031
