date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,54064858,47917680,59519109,15676769,13651388,9245946,11250317,8306582,7446730,2146565
08/1963,53690205,48438737,59689865,15383128,13895867,9159190,11128427,8205767,7420076,2111155
09/1963,56755904,50999916,61605840,16487337,14470883,9817281,11939014,8799642,7835901,2231895
10/1963,56505367,49950170,61583511,16170314,14333568,9782014,11924432,8706970,7612723,2188151
11/1963,58983636,54221004,63636012,16403507,14084033,10052603,12172092,8895295,7569715,2218443
12/1963,58146250,51536532,64540673,16257701,13701451,10052934,11765892,8864415,7553300,2160209
01/1964,58503629,52686916,66284218,16889861,14060676,10109187,12294552,8957242,7833238,2199141
02/1964,62571257,53856604,69326519,17049628,14436521,10082955,12378105,9361301,7955793,2258166
03/1964,63569376,54386910,70267519,17446083,14699572,10342227,12950997,9577783,8261299,2359233
04/1964,64737562,55108484,70576124,17891792,15327310,10869315,13308986,10239371,8383394,2481380
05/1964,63441448,56851988,72207236,17566392,15376270,11086423,13486473,9777853,8649792,2481092
06/1964,64555500,57622483,71971980,17476856,15521968,11219406,13904378,9999485,8736066,2527199
07/1964,86905075,62665074,66023871,39422705,17460692,20081968,14788682,15636542,7154083,4609085
08/1964,87267134,65456085,65907065,39979475,17761127,21069923,14874826,16003663,7217679,4664441
09/1964,85176734,65006961,64517616,39015603,17663111,20721162,14711960,15842061,7213207,4546997
10/1964,87824229,67219363,64915774,40118378,18222024,21632070,15278828,16538716,7672228,4751045
11/1964,87186681,68783608,64817539,40755311,18476323,21846417,15395906,16591498,7834623,4871254
12/1964,85627227,68531219,63925912,40493868,18833331,21939725,15494805,16198041,7564253,4705169
01/1965,87455579,69241973,66617158,41189057,19059175,21343981,15710726,15765600,7445269,4554946
02/1965,93162379,71154223,67314411,41444080,19528448,22345170,16141427,16471912,7877966,4901131
03/1965,94201717,70421742,67614128,40617947,19998741,22360455,16082363,16496366,7853361,5030500
04/1965,92245268,70164212,66793062,39246411,19706777,21995749,16082040,16419516,7973679,4970525
05/1965,97093244,73781339,68329402,40284438,20119396,22874965,16629509,16765833,8572020,5234729
06/1965,96999685,71605510,69217244,39971186,19926951,22832019,16680317,16586244,8267433,5156211
07/1965,122958040,41018833,32443229,75641907,23451389,23466025,15149424,9710762,7760159,7518449
08/1965,125672790,41088041,33062565,75605366,23863353,24013165,15812370,9936546,8041807,7815346
09/1965,129774289,42230775,34387338,75742229,24998467,24637754,16065004,10043408,8358201,7882458
10/1965,135064748,44241414,35300288,78110971,25633039,25016891,16581908,10519088,8475096,8332489
11/1965,140186122,45426917,36096438,78267348,26425131,25930549,17333993,10999810,9019966,8931337
12/1965,139185060,45008346,36178945,76336013,26938446,26155454,17414835,10956299,8967150,8790771
01/1966,141429137,46169768,36893989,77283726,27188488,27357918,17845176,11589215,9708945,9339268
02/1966,141221084,46381417,37561311,77544433,27264883,28589467,18395885,12122474,10050384,9751738
03/1966,139523249,46214445,36557635,76174165,27013776,28179229,18302534,11986254,9987844,9712978
04/1966,137863958,45107045,35418255,72980994,26527866,27843649,17843502,11588887,9733261,9271146
05/1966,141002697,46298266,36647487,74435199,27047165,28168321,18640479,11992691,9840015,9301008
06/1966,134004989,43577333,34753118,70367030,25262102,26543189,17145639,11050891,9028580,8650844
07/1966,99313188,56423329,47895099,28446107,36631826,58434034,22125484,16605751,10897737,9214710
08/1966,97144704,55714940,47165042,28118505,36349054,57648100,22276795,16558329,10693193,9038575
09/1966,89740009,50880212,43336533,25753378,33306016,54721364,20445203,15270843,9888653,8226086
10/1966,86979909,50693153,42963993,25791832,32517146,54994007,20375425,15456164,9561447,8065732
11/1966,89292441,50613079,45196757,25950664,34676673,59236268,21489628,16104840,10016613,8271799
12/1966,96516789,50297614,45370670,26594515,33609288,57563971,21421041,15879454,9762097,8051038
01/1967,96016241,50187846,46440231,26818339,34001968,59401997,22009764,15576181,9853497,8168189
02/1967,103538448,55818866,49849413,29567472,35585097,63587110,23635760,17302777,11343740,9519129
03/1967,107728060,55592488,50223069,29690953,35590176,63183746,23198323,17037789,11180410,9505034
04/1967,112622622,58174416,52689833,30941588,37042012,65306194,24621481,17686987,11853864,10041085
05/1967,120656764,63711065,53797346,32206086,37017199,66354234,25267326,18466001,12131795,10404631
06/1967,113737938,59417403,51971792,31019125,35867914,62650368,24291915,17901833,11580864,10035500
07/1967,100338942,63711338,69908212,34245097,44975557,61200977,23074769,11181384,14157776,12617832
08/1967,103333430,68454304,74069445,36316314,48050499,60406956,24650385,11950220,15445383,13491337
09/1967,101655260,68271748,73279801,35807557,47471612,58970349,24010603,11763964,15721785,13535309
10/1967,107034970,70532058,76188912,36747265,49268376,60887726,23763825,12256248,16103451,13822097
11/1967,109560567,68236192,73083752,35313600,48450459,58450020,22744526,11656055,15299946,13020041
12/1967,112136738,67411370,72360590,34841558,48255175,58213050,22424510,11535931,15020979,12960380
01/1968,117450938,70042556,76138120,36788326,50909925,59718942,24947343,12429283,15860985,13645010
02/1968,106910556,65970751,72647383,34755355,49890299,59774478,23957477,12340423,15500113,13501870
03/1968,102925863,64140593,69353007,33230059,48592816,57475447,23027729,11846939,14823378,13087105
04/1968,107285205,65147870,68929251,33750506,48790996,56837077,22750920,11619263,15018222,12853160
05/1968,120296539,72864901,74757780,37329036,51526007,59256527,24465119,12911382,16729897,14370660
06/1968,125903793,72681998,75574210,37670187,51329053,58906402,24571421,13174967,17401603,14901168
07/1968,126789553,35993947,61529003,56538725,42305538,38612394,41724038,64093380,17031980,20596200
08/1968,119639582,33804025,58892821,55602619,41603285,37822319,43293281,64589892,17510864,20102570
09/1968,120994486,34337853,59668787,55490342,41908813,38842006,43853916,65585968,18269033,20386802
10/1968,122625272,35865838,62839121,59397474,43486882,40865711,45669528,68198575,19697777,22194332
11/1968,118717732,35709011,63895819,60429139,44701624,41488747,46710730,70575313,19559591,22849005
12/1968,127434101,38101826,66984006,60958116,46299770,43729073,49041272,73323422,21329205,23110799
01/1969,123999062,39290968,64660807,60524850,45794968,43593521,48592672,71576248,20749312,23197552
02/1969,120460669,38525925,64053129,59749966,45205231,43692468,48602047,71026037,20379547,23255637
03/1969,114935797,36228185,60688055,57022479,43305281,40771970,45602402,67301755,18914730,21570353
04/1969,119172400,37718474,63382471,58565636,44803301,42469353,47477145,68532400,20477884,22121260
05/1969,123900030,38610156,65449629,58595827,44895789,43043519,47248422,70925557,21058551,21751698
06/1969,122864195,38484734,64764666,58449314,45045684,42567149,47876303,71858598,21411295,21459417
07/1969,105849214,50638118,41824184,46380252,46291569,43813300,36354000,48555649,67993345,21374639
08/1969,100652161,48358888,39424799,43113805,42764494,39843818,33116773,44904196,63485742,19991141
09/1969,108319020,51732236,41024968,45204779,43619623,41780506,34455916,47220017,64747493,20176461
10/1969,107421586,51156736,41642202,43981724,43057611,39542121,33273510,44614939,61545284,19354349
11/1969,113929207,54902055,43370931,46843604,44658566,41642078,34158713,44845299,63952742,20297690
12/1969,112550675,53006418,41558440,44740706,42948830,40367640,32744319,42282213,62201033,18961057
01/1970,116904052,54840143,40936769,43931025,42489260,39819879,31969638,41143055,59217199,18341158
02/1970,105127324,51073427,37791562,41233687,39055095,35745349,28904378,37397836,55865216,17530443
03/1970,107741464,53858517,39230203,43055752,42019853,38207560,31047498,39390534,59398182,18965424
04/1970,104717775,51841308,39787119,42736207,43160895,37923439,31198915,40121466,59887871,19331319
05/1970,91927329,46198250,35558619,38920585,39150347,34470960,27932618,37174423,54576196,17763929
06/1970,84943981,41130831,32420449,36604234,36519634,32480086,26315873,36827447,52155817,16599360
07/1970,100556316,42206442,32025247,42679265,25188347,17271570,42531861,51537230,12498013,15682253
08/1970,102623284,46287798,34648073,45754054,27088652,18812934,47114181,56448006,13609545,16559154
09/1970,107153254,47704649,36075537,48700481,28121063,19648098,49662054,58155437,14435202,17509317
10/1970,116435245,50488650,38530170,49268690,28719241,20373112,50397783,58556195,15107633,18522902
11/1970,116154389,49664829,37482315,48410239,27767870,19384883,51039790,56852208,14489110,17606671
12/1970,120911823,52576632,39019907,51116547,28280374,20130471,52623203,59942107,14984429,18253962
01/1971,128936761,55760555,43483512,54257330,30831789,22246397,55910275,63485865,16321222,19814502
02/1971,134168151,58604215,46241762,56756706,33104685,23786972,56291971,67702215,17284441,21502452
03/1971,136787007,59404203,47609187,57112605,33718293,24212245,58444423,66192319,17557920,21686885
04/1971,145828215,62510709,49797452,58972178,35056713,25467338,60124441,66440004,18130521,22232329
05/1971,150400910,65313946,52633656,62230686,36592444,26590984,62633777,68104424,19105714,23814763
06/1971,145426171,63095198,51547268,59123015,35252378,25004365,59495041,63946461,18252658,22480090
07/1971,146524779,87332520,65707674,45123127,44203551,52917135,58468838,19196641,17584922,17492826
08/1971,138754855,84191119,64063072,42490740,43306661,50192081,55891449,18136461,16699113,16176666
09/1971,144978896,89015209,67705349,45384531,42694668,50113775,56538815,19136188,18219721,18050136
10/1971,146649825,88449823,67859325,44875152,42651307,48723864,55861465,18853173,17788968,17333451
11/1971,143166527,83692584,64426654,41383742,40233565,46241995,53464069,17813358,16906422,16375138
12/1971,144816952,84195310,63865287,40945298,39440063,46229497,52544492,17421574,16594878,15893921
01/1972,162640079,93721067,69295270,46550075,43303800,51148257,56924878,19485508,18789576,17859638
02/1972,170196049,94661676,70694289,47620965,44138788,50934477,57873637,20255797,20057861,19388105
03/1972,177854704,100539775,72209708,49305033,44951027,51710460,57687908,20989909,19984714,20151784
04/1972,182593268,100697678,75054606,48910175,43542616,49859901,56765394,20744701,20231121,20258233
05/1972,185207376,102492323,73484839,49383179,43388232,50223571,56875491,20994885,20429828,20358806
06/1972,192156086,105504210,72880075,48117465,44055506,51137904,57002819,20811947,20021772,19907621
07/1972,200325824,99840742,59804089,52735561,33641719,54678405,36384294,62292701,15155764,16868314
08/1972,204856412,99712797,58810532,51239222,32495008,54160121,35662315,61493777,14843900,16485285
09/1972,204927614,100240216,60347816,53256953,34042766,57587920,38527243,65633597,15849361,17128099
10/1972,205386881,100564823,57200867,52303520,33388289,56206139,38519031,66594879,15141270,16475067
11/1972,206490340,101203070,57349924,50983956,33453420,57493628,38539158,67822341,15083576,16259996
12/1972,207581135,104613937,60797534,54716425,35746802,61266687,41155061,72811024,16565186,18242448
01/1973,220327038,109277388,62802614,55442922,35720517,61698599,40976816,74426840,16186207,17954364
02/1973,218621815,105348849,59984363,52691054,33622215,61519309,41588617,74177723,15584902,17142034
03/1973,213895574,101199034,56963470,49592945,31356791,57751776,38691824,69146200,14850278,16255684
04/1973,212635168,98662595,56231490,48405962,30818041,59107521,39574857,69724078,14843847,16573267
05/1973,198883335,92448420,53325789,46318648,29443395,58352173,38257028,69538998,14290312,15804188
06/1973,197956714,91864248,51551173,43765053,28505430,56916926,36015691,66933364,13420503,14606360
07/1973,216736186,92610475,32631023,51733930,60431889,37045690,58510014,25266102,11987053,12763724
08/1973,226985503,101204863,35913777,54713771,61446280,37885672,59576020,26821731,12955099,13545766
09/1973,217653805,97172916,34612880,52415440,59291155,35868114,57112703,26277815,12582281,13461996
10/1973,214109633,102682422,38260648,56173384,64014097,39431466,62689317,29030463,13871195,14861581
11/1973,215659022,102541056,38223707,55430394,64891778,39569512,61909355,28528677,14034915,15597349
12/1973,192129757,89700047,30774606,47632822,57029116,33496631,57157414,24642978,11650655,13750942
01/1974,186412193,88758995,31432114,46923418,60110318,36040797,61081436,25975899,12338300,14924196
02/1974,182235919,88795867,32357167,47864000,58334900,36070218,60245837,27174246,13290509,15678734
