date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,44460,,,,,,,,,
08/1963,43680,,,,,,,,,
09/1963,50180,,,,,,,,,
10/1963,49920,,,,,,,,,
11/1963,52780,,,,,,,,,
12/1963,53300,,,,,,,,,
01/1964,48880,,,,,,,,,
02/1964,58240,,,,,,,,,
03/1964,55120,,,,,,,,,
04/1964,57720,,,,,,,,,
05/1964,59410,,,,,,,,,
06/1964,62270,,,,,,,,,
07/1964,654707,422970,1492192,932299,989192,1570162,3392820,596483,200966,7404270
08/1964,659810,444823,1518370,940823,975210,1579089,3378662,605652,209844,7716323
09/1964,665442,437349,1518189,919962,947184,1495787,3360721,575013,218267,7774025
10/1964,684190,453040,1694169,928760,963267,1569196,3634149,612115,219482,8290262
11/1964,678771,475525,1740837,956711,937539,1612419,3699676,682411,216411,8119092
12/1964,674967,493646,1627458,1013199,879361,1529681,3518604,704024,221092,8577570
01/1965,636922,512691,1544706,1009189,886144,1466116,3526257,700779,257882,8667584
02/1965,689699,547135,1588072,1058610,987189,1512045,3640874,726164,284182,9232238
03/1965,741360,560345,1551796,1172427,951780,1494190,3553997,766373,265071,9280617
04/1965,733410,544006,1557702,1150437,885570,1485609,3652002,763313,266818,9244528
05/1965,751647,552572,1639328,1209280,925774,1535460,3927161,791194,289006,9687282
06/1965,708632,549800,1586678,1237860,853295,1484529,3600224,826246,287888,9598588
07/1965,1199118,30946768,1195560,4333050,958523,10516152,2257014,1077978,2408981,2495352
08/1965,1160385,31624882,1244883,4350662,987632,10892028,2428382,1121991,2520198,2418835
09/1965,1262707,32184122,1293436,4433481,999859,11327036,2521408,1142754,2583784,2446820
10/1965,1354412,33867761,1291287,4430398,1003537,12513553,2669397,1167721,2588518,2363134
11/1965,1452922,36275853,1315313,4463479,1048698,12587358,2831681,1189049,2692242,2499373
12/1965,1647240,33555037,1317197,4369539,1032317,12200914,3018569,1172168,2661478,2465711
01/1966,1781995,34057980,1314836,4384643,1070842,12752517,3062181,1250733,2658376,2545764
02/1966,1856623,33996080,1406872,4527830,1114328,12420247,3345482,1328931,2984568,2334000
03/1966,2031735,33006568,1393075,4456206,1094700,11872752,3317022,1329418,2793101,2242995
04/1966,2108970,31494213,1361310,4203965,1040420,11794716,3313887,1265385,2698732,2277774
05/1966,2299236,30499372,1413836,4380151,1061124,12332616,3329638,1274379,2717696,2417083
06/1966,2039622,28043412,1325822,4168403,1008132,11216473,3063768,1164987,2620831,2303625
07/1966,20990531,3179033,3945366,28234362,12845652,2599695,4894414,1379514,1045759,4706084
08/1966,20530528,3150239,3887909,28155648,11921434,2573796,4715108,1372188,1039904,4418363
09/1966,19198604,2793664,3485105,25333425,10761543,2310382,4294514,1273574,939421,4003753
10/1966,19021236,2747756,3291730,25720002,10734978,2321921,4153739,1294116,950035,3507084
11/1966,19829625,2683386,3387795,25398292,11792961,2501993,4304173,1216968,962128,3528686
12/1966,22201284,3098044,3425357,23817639,11963951,2678768,4284522,1324415,996091,3960671
01/1967,22007488,3193286,3504113,23779439,11070813,2755015,4406789,1333280,1040968,4091470
02/1967,23717759,3399706,4065284,26765160,11361386,3006957,5157852,1573976,1177636,4700924
03/1967,25390580,3469722,3931198,26032058,11162602,3083597,5169322,1638509,1213828,4753663
04/1967,26598908,3640868,4082172,27655977,11117621,3254636,5447499,1755954,1281412,4983580
05/1967,29233277,3726018,4235998,30768327,12043889,3351275,5560411,2074715,1380762,5044093
06/1967,28109600,3490933,4077147,28170475,11160206,3346707,5331060,2137741,1367974,4837391
07/1967,30776480,34209025,2722244,2568406,4834857,2669968,6953476,4885844,4897695,2647411
08/1967,31642039,38777133,2825062,2667709,5014685,2836984,7159384,5165828,5159608,2921018
09/1967,31182439,38592390,2739402,2603704,4996551,2753777,7053973,5204855,5106459,2996811
10/1967,33995436,40202882,2800182,2513056,4865492,2892535,7188206,5239576,5299617,3024279
11/1967,36254917,38115804,2704671,2407094,4712911,2673487,6773783,4904229,5352797,3001373
12/1967,37154544,37326636,2502416,2369824,4583605,2621408,6970135,4867407,5261799,2993253
01/1968,38371459,36872397,2677915,2586199,4887265,2788537,7765932,5323721,5621940,3426716
02/1968,36052036,34467412,2472329,2486099,4899940,2750476,7201365,5179056,5258210,3208350
03/1968,35134655,33432046,2377654,2445145,4733149,2614009,6605234,4944957,5045173,2984001
04/1968,36954992,33441845,2362764,2382056,4692251,2581136,6630389,4974217,4949923,3030013
05/1968,40993706,36806486,2619160,2478356,5011348,2744810,7167767,5286540,5364442,3536343
06/1968,43185801,35679305,2641605,2568503,5149925,2803851,7539082,5738413,5350585,3879483
07/1968,5241707,7582465,6539188,3701153,62614156,46750457,5132666,3881446,4568591,3732505
08/1968,5077067,7227775,6320267,3501921,62207444,44862691,4419053,3718872,4526026,3436619
09/1968,5018061,7428697,6363328,3628965,62300734,44390802,4353194,3792739,4667231,3474168
10/1968,5617948,8039541,6906340,3991442,64970102,44883686,4468102,4048638,5233351,3744501
11/1968,5645075,8387688,6788338,4065538,68234264,41573859,4691566,3994000,5144805,3695516
12/1968,5996940,9206771,7346368,4318798,68794628,44836815,5047729,4204956,5387955,4226003
01/1969,5948341,9631684,7190653,4288363,65446691,43010220,5577537,4195939,5840789,5042803
02/1969,6259731,9601932,7148875,4183456,65940349,40697085,5555157,4107382,5743474,4839625
03/1969,5670388,8704275,6692440,3881132,63526930,39940474,5079235,3957988,5292991,4201074
04/1969,5710587,9334796,6640420,3804672,64991892,42215688,5323507,4122396,5340624,4255657
05/1969,5755430,9044164,6949853,3805159,67975199,43818827,5664690,4410394,5414188,4377948
06/1969,5803841,8944288,7007816,3711549,67539573,42841267,5581383,4726109,5454269,4261246
07/1969,4428758,4111066,37337956,5446830,28332165,5038180,6810693,7176834,6691448,42479009
08/1969,3837614,3505824,35609056,5041153,26249252,4589967,6141306,6734238,6347197,40503707
09/1969,3990245,3736404,35996125,5510763,26536910,4955451,6590483,6926257,6919669,42991495
10/1969,3935240,3761171,34214182,5238092,26636373,4861405,6250916,6609451,6803280,43046822
11/1969,4413531,4029918,35239166,5873763,27323551,5327524,6684615,6910547,6892623,45182851
12/1969,4095432,3798854,34974582,5558276,26002667,5035844,6474702,6493125,6496082,44625647
01/1970,3821212,3860516,33008776,4983835,25337891,4898629,6477144,6262283,6560907,45683016
02/1970,3259303,3461284,32089528,4453367,23672037,4508177,5660554,5915566,5414193,41886587
03/1970,3541629,3786914,34514974,4882933,25668165,4783708,6244805,6426352,5337385,42729913
04/1970,3337482,3686254,35369152,4824229,26934262,4871936,6242718,6382341,5139375,42497936
05/1970,2804716,3238878,31893854,4249581,25110932,4330596,5722049,5911399,4028113,37112222
06/1970,2598666,3003272,30304247,3952143,23289563,3820768,5133455,5437770,3758816,34453340
07/1970,33221350,5519367,5284901,21364004,26913134,5824021,12276159,6830423,2727997,3149679
08/1970,33784456,5832405,5743734,23324944,30057321,6539690,13270336,7488787,3155074,3377664
09/1970,35774328,6055972,6133783,25205587,30402304,6932522,14116320,7811440,3367987,3526694
10/1970,39100684,6300974,6703456,25073363,30202318,6965842,14425722,8148524,3837076,3999828
11/1970,39077470,5970099,6350673,24357411,28920487,6713809,14617888,8117425,3705845,3685153
12/1970,40851077,5974753,6242662,26375957,30359005,7306767,15279553,8531544,3847292,3817218
01/1971,42579452,6745692,6836541,28009448,32429262,7765566,16079676,9329906,4453648,4470264
02/1971,44161619,6977825,7593239,29207050,35338097,8129850,16393473,9698194,4718024,4987987
03/1971,45665874,7073973,7806511,28609262,32956807,8025913,16979362,10058426,4884450,5054431
04/1971,48544127,7108999,8078487,29313632,33059078,8632980,17363611,10484660,5244764,5532109
05/1971,49056125,7535960,8582257,31718908,33574046,8712155,18080027,10962292,5507534,6019273
06/1971,45286664,7227565,8185701,29723654,31292720,8371331,17039217,10404820,5118788,5603159
07/1971,92462955,41724122,49803045,54232478,35512051,101885619,32870309,37032636,36583941,28166799
08/1971,86856247,39996465,48300582,52299924,33754433,99542132,31162003,35421433,34157801,26787500
09/1971,91526016,42598811,51080980,53755862,35238047,99034625,32367997,37731491,35772538,27393903
10/1971,91228016,41833290,51559041,53497163,34539329,98727282,32237453,36926983,35827523,27132426
11/1971,87448321,39635375,49522194,50854914,32399404,95165588,30657168,34952782,33976938,25148386
12/1971,87666216,39082382,50173916,50957650,31514367,94231817,30668804,34377934,33892801,24828458
01/1972,97306799,43002618,55242901,57302321,35537634,102801564,35124758,38608219,37363951,29518683
02/1972,103399048,44323712,56889836,58345710,35921645,104007521,36372623,39946013,38267729,30990509
03/1972,105952722,45778857,60121501,60622547,36998147,104480931,37673664,41330701,40502131,32053669
04/1972,108845364,45342868,61770444,61448366,36496011,102766529,37547484,41534072,40153439,31790532
05/1972,109042350,45528547,62930408,62454064,36314366,102224804,38211574,42207604,41035462,32059659
06/1972,109318057,45860402,63790872,64430613,36175190,103910074,39003210,42951871,41128411,32794242
07/1972,33598738,53891541,73096838,79958291,66133808,116373885,43017807,55312600,47417350,57104324
08/1972,32794039,53514445,73073395,81030297,65340690,116469955,42941875,54494342,47765520,56526642
09/1972,33480568,56724319,75264656,82218513,67641933,119755395,43075858,56571605,48756850,58268147
10/1972,32389310,56167182,76459449,82708903,65716721,119351071,42456525,55498721,47639333,57188011
11/1972,32995582,56760535,77471526,84620244,66620922,117804992,43021924,55760331,48427822,55786848
12/1972,34234058,60213526,80463561,87826366,70062119,122517194,45240798,57977839,50235384,58697538
01/1973,35378056,60846538,82735451,90193756,71686807,127883323,46427578,59874355,52404195,61115023
02/1973,33580480,59816511,81487713,88926254,68116950,129382706,44232765,58966755,50509829,58396119
03/1973,32360088,55777143,78168060,85475838,65713508,124682431,41401556,55300404,48796154,55113542
04/1973,31799470,55870102,78041897,86684778,66537460,122197628,41335174,54851382,48645659,53960430
05/1973,30088602,53566065,76655932,84037930,62556930,115382433,38484817,52062542,46026005,51224897
06/1973,28761547,51981601,76266137,82284720,61078749,110637811,37995788,50441639,45382644,48335752
07/1973,40342554,43563323,71672845,53575342,42484108,60789007,44037421,76074411,99439526,34384868
08/1973,43253067,45967738,73995388,57349939,44642542,63193598,46815385,80354508,102698225,38266577
09/1973,41339246,44718300,71218053,55650837,42996406,59599679,45713899,77665538,98915235,36194667
10/1973,43705756,46808154,78180576,60317229,46564200,63357524,47372450,80585770,96357426,38376912
11/1973,42547383,46977642,76292986,60837849,46374608,62598533,47412814,80006462,99878049,38466081
12/1973,35255839,40379331,69188411,51695867,40553000,54011997,41825034,69629774,89539943,32891916
01/1974,34951246,41656000,72161919,54206184,42037586,55146558,41489418,68967212,88217706,32385870
02/1974,37062716,40645845,71588073,55148924,42465515,56992716,40874109,67297135,86517970,32652555
03/1974,37055247,40273119,73711440,56070322,42124056,55937690,40567393,66014696,85654304,32319378
04/1974,36137382,39114179,71188049,54779339,40664787,54124024,40269905,65809618,84945007,31692018
05/1974,34992611,37218310,67645010,53834831,39422016,52728220,38238916,63480790,81866476,30717905
06/1974,34085416,35972068,65800407,51046835,37836884,50596636,37651185,62595974,78504705,29366703
07/1974,25349587,54875868,73476384,47301097,96414950,41767949,63741125,29718055,47650703,29136781
08/1974,22641491,49640531,66506192,43236790,88059991,36432935,58181506,28158268,44833719,27916071
09/1974,20776410,44197441,60819214,39578185,81603756,32591309,51864501,25556513,41168842,25368807
10/1974,18197539,37624226,55674711,34124154,69831781,29014198,45212256,23114495,35751811,23062521
11/1974,21295746,43306659,65627530,40244774,79605870,33622463,52484591,26578860,42537668,27493594
12/1974,20578612,40196190,62663460,39298088,75632464,31614310,49803711,25613606,39316401,26996018
01/1975,19948416,37680091,63084338,37722653,73522427,31413974,48331033,25209242,37754880,26190262
02/1975,23067584,44130376,68057187,42148032,83062024,36100315,54199917,28787675,43290477,29175876
03/1975,23673723,46210563,71946042,45383807,90105646,38038549,60218171,29780216,45450612,30926576
