date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,7710240,10607742,16471848,13171488,61548826,36904005,33448023,29315936,40482678,74351442
08/1963,7512689,10361857,16130744,12904739,62004790,36929986,33551228,29492656,40473597,74557287
09/1963,7880503,11076957,17293377,13708554,65076048,38110471,35394213,30969502,42083164,78162819
10/1963,7595251,11129868,17174884,13366872,63810402,37412720,35229683,30144884,41415179,78040903
11/1963,7798421,11330461,17610897,13775545,68572249,37288002,35900290,30399145,42152322,80939218
12/1963,7954094,11088589,17582535,13558767,65829313,36483161,35321105,29785112,41176781,81524177
01/1964,7884227,10964564,17895119,13807048,68291961,37881970,36611126,29350476,42146251,83550017
02/1964,8035548,10940268,18558806,13859355,70165562,39022806,37201224,31678794,43183163,86633143
03/1964,8274782,11330341,19073382,14138390,70590239,39173304,37631330,32060762,44102322,88522155
04/1964,8589161,11846334,19767570,14704086,72115443,39910499,38301345,33071220,43939510,88699914
05/1964,8417316,11648727,19415632,14350163,73335079,40613674,39191406,33345715,43622916,88678557
06/1964,8471494,12050376,19817112,14248420,74178365,40377521,40010716,33591632,44094436,89542682
07/1964,8449094,12887588,16530945,18115844,51384204,73050505,34206412,36143200,48921622,91634019
08/1964,8651722,13182624,16720760,18236298,53908525,74329624,34644237,37282127,50095344,91740793
09/1964,8639470,13223653,16690017,18050252,53930470,72798842,34195272,36793494,49320855,88984212
10/1964,9044147,13689367,17660167,18917762,56227443,74980582,35411816,37554024,50978059,89369654
11/1964,9144441,13867012,17887623,18847763,56862176,77186444,35504852,37416728,51731207,88256391
12/1964,9179251,13605597,17459138,18411314,55470360,78956928,36308837,37573038,50064328,86671772
01/1965,9075310,13896351,17348800,18514095,57109090,79772726,36174238,37398495,50795198,89477890
02/1965,9436568,14323875,18246239,19286791,59276906,80462316,37598140,38427194,54049959,93015884
03/1965,9715414,14455738,18467607,19554028,58784875,79486181,38284597,38526210,54089244,93543276
04/1965,9782056,14169718,18505900,19602680,59322711,77248089,37500061,37947967,52886578,92301045
05/1965,10418007,15003914,19528795,20232195,62474839,78922209,39059220,39023427,54166557,95272648
06/1965,10537419,14554689,19012430,20103440,60692050,78639034,38733804,38515759,54459636,95781950
07/1965,10187402,18165047,16433351,49806107,36932541,62817761,42228678,38999867,51622267,93135417
08/1965,10887776,18414219,16931738,50691908,38403851,62906774,42566114,39157710,52172567,94660456
09/1965,11271555,19192353,17393238,52085232,39805030,63084728,43380413,40110375,53320758,97387337
10/1965,11917685,19989070,17909251,54719020,41594939,65801350,44165228,40695774,55386066,98966127
11/1965,12553140,20832870,18653068,57776957,42570993,67270417,45380807,41789779,56944148,99869002
12/1965,13436950,20499725,19138796,55641548,42863761,66795324,45643905,41745915,56859492,98222177
01/1966,13657099,21479817,19832067,56933823,44229136,68039558,46408429,41609747,58425415,99123803
02/1966,14643766,22481736,20696916,57369283,44554896,69400293,45819715,40986769,58427358,99078561
03/1966,14667910,22545387,20686411,56195745,43704901,67325960,45238875,40155079,56298948,99362862
04/1966,14167942,21553140,20200782,53804370,43794303,64888204,44355284,39794046,55959589,97569682
05/1966,14724140,21437181,20670787,53946683,45300343,67168214,44901749,40475437,57812022,99847691
06/1966,13297725,19880023,19059932,49437583,42357645,63202426,43194925,38388641,55642720,96144666
07/1966,11508003,22941665,17581723,49573016,50717537,55608789,34057139,46604753,55476561,96914743
08/1966,11035240,22627312,17034929,48819978,50761790,54518037,33654671,45834924,55741476,95344852
09/1966,9944601,21046893,15925100,44750473,46583827,49723373,31182859,42785327,51006481,88107746
10/1966,9574998,20341218,15058103,44919817,46190331,49824713,31073328,42831625,50203100,88355692
11/1966,9563197,20428760,15231115,45347841,49159382,53330567,32083237,44514198,52942321,93162847
12/1966,10348226,20102550,14950459,43928945,48509710,53838795,32418511,44826603,53491667,97209171
01/1967,10714745,20716088,15403031,43530856,48910425,53511290,33294712,44776617,54621181,99069902
02/1967,11935958,23588564,17666030,48944329,51424095,57472167,36040411,48197846,57914749,105057096
