date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,6709943,50768187,65513979,38318220,30034234,25612636,21078733,12661530,9496818,7822277
08/1963,6581766,51017488,65356000,38622098,30007383,25944705,20946630,12536071,9416183,7691520
09/1963,7060098,53557738,68394638,40047258,31704043,27302919,21961556,13147613,10218252,8302235
10/1963,6818239,53237010,68858808,38942466,30846323,26600631,21965736,12789975,10256171,8155257
11/1963,7090574,58566175,71072846,39006077,31247194,26947206,21839185,12985623,10480427,8323791
12/1963,6996899,55691955,72103667,38691799,30899147,26407295,21251361,12911216,10421441,8086419
01/1964,7187049,57312912,73733349,38569017,32007814,27245895,21992890,13147269,10467692,8319915
02/1964,7139450,59200110,77076618,41279681,32433849,28058243,22110051,13416116,10677064,8593035
03/1964,7295500,60132460,78166862,42022636,32797543,28479455,22411717,13700154,10944071,8735111
04/1964,7486499,61139491,78202123,42351196,32959455,29251354,23125601,14387244,11560221,9102720
05/1964,7587360,61788221,79118000,43196070,32917381,29378029,23700829,14143825,10986511,8813826
06/1964,7504849,63413946,79537587,43320641,32845002,29852720,23808554,14189728,11033697,8936933
07/1964,24223067,40815503,27697426,49128603,109218795,43198800,32832314,19512840,11889712,25568799
08/1964,24202234,40865491,28017469,50838931,111134867,44140755,33314032,20428242,12121907,26375198
09/1964,24351487,39419768,27513829,49974618,109614114,43013172,33153439,20453976,12016698,25982240
10/1964,25745039,40186055,28450409,51615221,111556616,44122473,34449500,20928763,12182809,27130889
11/1964,25516879,40381528,28399723,53117343,111532574,44773532,34641159,21085738,12445722,27077245
12/1964,25515392,40413656,28493961,54581976,109478415,44712750,34461835,20904339,12483271,25106205
01/1965,26558938,40871199,28716581,54882758,113368732,45057902,33934177,20603119,12385812,25269297
02/1965,27653354,43702063,30074540,55912090,116244844,45775397,35363635,21554824,13062612,26522219
03/1965,28466390,44120375,30509954,55291648,116028018,44888390,35675697,21975463,13220403,26316239
04/1965,27812387,43657837,30556517,54208764,114678344,43957270,35139194,21888344,13212290,25837717
05/1965,30164785,45700577,31543808,55746378,119754543,44347960,35955974,22187163,13674785,26460027
06/1965,30073693,45382149,31528360,55555295,118407575,43741661,35768277,21847843,13546462,26742697
