date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,5666102,7808886,14672087,53709395,55331080,33308299,18385256,27351017,11217718,5792037
08/1963,5634343,7675195,14710934,54239614,55305350,32936976,18553576,27155913,11133796,5799526
09/1963,6007551,8144564,15764613,57042647,57529815,34365199,19725059,28503777,11945076,6253491
10/1963,5797534,7802332,15500867,56259647,57473168,34417045,19348156,28561754,11811523,6021097
11/1963,6205170,8049111,15578348,60637571,58693498,36007440,20162771,29092630,11916444,6140583
12/1963,6155716,8000749,15275069,57651322,60056910,35580547,19853241,28346894,11724047,6172923
01/1964,6328853,8190354,15510345,59757571,61480076,36878093,18960890,29035020,11920648,6375616
02/1964,6489453,8215976,15809640,61750393,63620352,38347762,20801747,30144761,11970479,6634031
03/1964,6760985,8342068,16400333,62256836,64801341,39716302,20932483,29923214,12248978,6840081
04/1964,7169913,8595075,16566505,63538953,64985381,40897272,21502091,30045908,12760133,7286959
05/1964,7186038,8674761,16680761,65328080,65882703,40254886,21147910,30260917,12724542,7061843
06/1964,7166341,8738442,17071160,66626600,65200308,41182442,20987991,30569621,13056584,7204444
07/1964,12257341,10603572,36578429,49693255,33453259,83681993,52686370,32682283,16625737,7989870
08/1964,12565573,10913918,37173651,50518378,34011436,85305748,53016823,33196866,16755663,8177479
09/1964,12768063,10780427,36104992,49950037,33146433,84530068,51634402,32215803,16545333,8042444
10/1964,13257561,11184713,37674418,52330081,34647050,85195964,52849078,32998604,17216924,8247083
11/1964,13305477,11199337,37738347,53211559,34933996,85447844,52754573,33870895,17090812,8361672
12/1964,13280963,11063210,35688116,52991692,35577819,83063215,53583388,33873380,17185026,8403099
01/1965,13762508,11145526,36000821,53122551,35196068,86299194,54099909,34298310,17295144,8437528
02/1965,14356261,11861564,38342574,53765142,37169110,87963701,56972585,34453393,18101746,8859124
03/1965,14547343,12060848,38765869,53698967,37009517,87323506,57706668,33581801,18414452,9067691
04/1965,14340643,11922321,37659400,52820731,36135494,87235558,56738658,32800804,18526572,8888697
05/1965,15339744,12467458,39108741,55059153,37779498,90949170,58629663,33476949,19176589,9240653
06/1965,15049168,12542026,39651820,54036008,37873343,90237120,58625661,32940062,18802543,9197054
07/1965,12587878,30325239,28097037,56299578,73323881,65008435,31109916,19849298,29140912,11792739
08/1965,12595032,30587583,28676828,57355257,74969830,65415955,31687457,20189220,29527921,12318637
09/1965,13215202,31605292,29551976,58403855,76282971,66778557,32693699,20935553,30010419,13052878
10/1965,13781892,31668563,30515733,61461918,79612605,68159361,33949901,21808358,31002611,13607257
11/1965,14281074,32139570,31843007,64794730,82154198,68625468,34562234,22711964,31522786,14257239
12/1965,14230045,32954234,31683833,62093976,81854492,66750213,35130206,23346890,31394030,14715175
01/1966,15208784,34459467,32776306,63809379,82151147,68298647,36065184,23758082,31751437,14822505
02/1966,15748009,34225906,33245549,64307606,82634050,68266432,36429360,24695592,32227657,15472066
03/1966,15765412,34370973,32884697,63342074,81037115,67892399,35538251,24271050,31553424,15410524
04/1966,15334867,34147048,32232932,60966795,79575669,66035905,34502724,23619487,30579436,15297357
05/1966,15620410,34727852,33059271,60863811,82371466,67726568,35780093,24441819,30662535,16082488
06/1966,14387557,33030441,31107757,56506762,77899709,64958432,33144720,23329444,29184511,14746345
07/1966,19890064,26030046,39037601,60565223,38023248,53150524,63270857,49170591,26857128,11907422
08/1966,18803444,25245302,38499580,61192223,36607172,52885985,62365132,49007075,26409969,11667677
09/1966,17052156,23422831,35776606,55904170,33713488,48602428,58092377,45794955,24407902,10659447
10/1966,16443635,23011872,35227949,55107228,32648648,49169687,56766586,46472426,24111593,10362298
11/1966,17450760,23136364,36720601,56267267,32525166,52100585,60126603,49419788,24534465,10616774
12/1966,17978563,24459050,40014861,54349628,34159622,52406624,59325220,47645697,25624032,11136123
01/1967,17415747,24479276,40238361,55186197,34124076,52982787,60793011,47778759,26238513,11300903
02/1967,18559878,27460610,43307790,60688562,38032577,56790879,65701014,50819009,28062826,12517786
03/1967,18495379,27341667,45202626,60546686,39095901,57057860,65863766,50130051,28406169,12768239
04/1967,19218239,28977851,47519245,63488031,41371393,58919338,68338675,52470987,29722606,13425126
05/1967,20505456,30448420,51494868,67241468,44653006,59807883,69768775,53922640,30874821,14191757
06/1967,19242947,29527486,49100558,63343429,42261456,56940948,65527827,52035925,29456382,13558458
07/1967,21197657,21623307,40722343,48836997,70736719,65470916,91231750,42164250,24610118,10987093
08/1967,22339933,22895324,42666070,52138544,73042394,70427264,91849336,45648016,25831275,11709834
09/1967,21992052,22643166,42522276,51983845,72353407,68421374,90547208,45137327,25653264,11691940
10/1967,22568499,22609422,44948834,53516994,76708955,69828809,92720919,47058215,26542874,12312201
11/1967,22594312,21723669,42962855,52314648,78266014,67528408,91004625,44722960,24786266,11859839
12/1967,23094231,21640734,41935823,52869687,78988417,67175303,91441668,43947479,24272162,11724553
01/1968,25506916,23129314,43958179,55056315,82114628,71051057,94574096,45291621,25489455,13157542
02/1968,23330662,21538095,42066717,50985291,76859169,69507081,92386327,42914541,24998150,11866983
03/1968,21758833,20315992,40803555,49737424,74183362,66843969,89783494,41059639,24075329,11135852
04/1968,22034011,20791008,39932821,50939883,76354467,68003443,89968790,41352269,23457934,11283911
05/1968,24797778,23276299,43849590,56129233,84727498,72156874,96749276,45374565,25473813,12789387
06/1968,25401882,23557623,44169661,56855336,87585414,72581373,97309281,45523815,26126389,13216302
07/1968,19806240,23539251,49005566,75071130,87379292,79434169,81254974,52187053,23074378,14501760
08/1968,18491728,22415690,47689035,74733183,85812136,78061389,78837342,50251037,22375883,14316900
09/1968,18818225,22796033,48577729,75830813,86757410,78616863,79563506,50736875,23066313,14728776
10/1968,20215370,23872943,50487343,77831713,90235197,81231593,81982279,54299769,24280083,15676305
11/1968,19991257,24396163,50721559,78547986,92455334,82602197,79015591,56052989,24676872,15677134
12/1968,21378420,25856521,53066778,82637572,96382063,86657416,84684466,56432827,25588163,16974282
01/1969,21785063,26371896,52595452,78884279,94086594,85565240,83573227,55021916,25354338,17272101
02/1969,21278816,25551972,51919730,78999496,92731428,85290324,81426954,54440627,24695878,17144977
03/1969,19574544,23847260,48895870,75419878,88652006,80546727,78155439,52046366,22983330,15640887
04/1969,19835463,23617587,50750926,77831664,92673949,82281155,82121867,53504139,23780093,16233787
