date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,3871335,7584287,68995263,73116486,32616923,22612682,33081955,33466871,67344040,42954871
08/1963,3710233,6167681,36169952,58195852,65133191,43207406,19973521,40853214,4557155,106717520
09/1963,3829510,6476312,7078578,91228195,33133384,36732565,27218748,50523566,36353500,111101792
10/1963,3957869,7061966,4496602,29266130,62301935,82117038,21818868,99508434,35797750,51701096
11/1963,3379012,6922678,9965878,55050099,97150389,69082307,55396286,45030591,20021101,46507064
12/1963,2067498,5073819,9617886,27543575,110220505,51894744,59927349,25082556,59610670,50886064
01/1964,3266703,8384176,9205274,5644974,55240447,107225700,44366934,62978453,93342140,22286913
02/1964,3183798,6689574,7757122,49572593,19208186,105636790,78447889,43095818,42439106,68981157
03/1964,2689877,8950649,49622218,8920137,25080493,105733727,44659644,73613057,88786849,23962461
04/1964,2014827,9973634,47056806,22162875,26620160,69998841,147103232,45704400,34030933,34409060
05/1964,3999603,6606057,20022989,88390359,10430239,32661790,105501497,34573620,122233862,18109081
06/1964,5959866,14659420,52971136,12844030,67075621,36823289,51937270,88285148,81064488,36591454
07/1964,4805004,13725049,11749023,44075411,115091032,60053470,58172547,80045048,48395691,18333926
08/1964,5213262,17050240,57564988,44492321,64921431,85519032,95808580,7331190,79487836,6674643
09/1964,10372527,11343255,87941741,56990783,48691132,31885573,52064650,80325667,30335252,46562579
10/1964,32249232,19146756,69952741,51241992,41264121,42266543,8479073,130282574,68171153,6874351
11/1964,27399726,75121550,31572477,10503832,67759285,16379958,151647015,42070567,44471967,6381671
12/1964,25504288,75480864,50329007,19136652,13983705,52515666,87303422,110685000,30133810,4699278
01/1965,24164029,81763097,28898475,42001384,6561915,11067590,161381161,49233943,62894036,7188272
02/1965,77193840,33969314,36746189,97242211,103355391,30537256,33401944,52934477,24938414,2838655
03/1965,59667058,173286272,73499348,10126655,26944999,32293120,62585797,29849498,20419781,6157626
04/1965,100485403,117973613,34420791,104448688,30956088,32279307,35204552,8024418,21619430,5126169
05/1965,84609249,74222320,77347674,67832972,52191020,73971811,32430439,32366705,8195564,4095717
06/1965,83295166,57275938,42552697,134181863,27182750,77469427,50817312,9742936,16116872,5136226
07/1965,76739378,50158493,109161039,59563841,64906022,40843379,7405711,31954405,30713877,5529467
08/1965,11975531,105588166,99618638,24500086,45165178,100898362,26603727,27914780,27898364,14491045
09/1965,5812557,87649312,95189740,139001803,30928514,26019006,39394794,26596407,33922937,12675011
10/1965,5460742,76479849,44098621,45038274,101048139,42928705,95111027,30585563,55008959,16332362
11/1965,35431256,61485436,89687219,80383687,31631929,104380313,30042314,30229187,45849811,17739492
12/1965,77603655,79777228,88647325,113533313,33194249,22234107,30233272,36875674,22986722,19889241
