date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,20127946,19123109,32846864,55921653,29952418,35905373,35630179,55651788,23327270,21172640
09/1963,23170078,51028129,31035133,38459243,34550501,21730255,34757305,57309466,26842414,15860009
10/1963,9774099,25573047,20628286,29243048,70107389,25998856,49719503,43579545,41370376,15491398
11/1963,18741754,36306512,35404674,74028495,31252295,44235216,42194683,30036214,12886114,16094988
12/1963,10074116,16720355,47543212,26221693,34474789,45530038,27294773,62414422,21833657,39581486
01/1964,20361353,37783897,37990974,40776781,24469549,43025503,68994417,31383905,24380233,11847190
02/1964,14091019,23021817,55990566,25068896,35896912,48330716,82815329,22339481,29509213,20486593
03/1964,17405483,23703907,25001569,39705383,59243285,27262123,29596056,79115798,42193526,22849725
04/1964,16277111,19374430,30753288,30238914,30957534,64697061,74138002,52645014,37155522,13696079
05/1964,12179962,50962708,28204061,21236772,55682754,32726146,27497362,60015821,60878958,26366267
06/1964,19463903,55990492,25205902,51052585,27933986,62007075,26243677,67114750,24726983,20792170
07/1964,15308146,27925412,66914192,29064834,19548787,36907998,37863613,95959025,39219029,16727906
08/1964,23967569,36048470,66816296,32293895,39732399,17859055,79286466,46864357,32761151,16943409
09/1964,17051613,27329591,43919217,62656851,31336714,26939188,43347154,35939363,72024689,24173077
10/1964,37012502,31480443,77393164,32540834,38193411,36009567,21896772,42013910,56838784,17481953
11/1964,22615020,37331171,84475311,30255754,27644939,43859122,30636271,62782805,32598437,24987181
12/1964,27847991,29756295,29272027,63023981,51204042,34928309,34964478,84687538,23774018,15483607
01/1965,50465901,40816808,17767695,50301053,58145343,37502615,60072272,34589793,30164973,17905218
02/1965,27851343,61582215,66005475,29728659,56973958,24754437,52901034,48221543,26082979,17471448
03/1965,35055038,24759096,77761420,68532139,43161715,36660436,31306957,25149623,36363954,33635425
04/1965,37045111,32697803,22417099,120199388,52138637,26476469,36188933,33804851,31255500,20534153
05/1965,51221400,46654223,82484501,66447141,25274453,61391426,30155266,27308811,16467397,15189381
06/1965,47740838,39913610,43644108,67045451,61423286,45429355,20849144,59466473,19071517,17106675
07/1965,56855937,20435948,52159583,104891917,34254561,27789027,30964039,22844965,36711937,16256876
08/1965,36739396,23028624,28490726,71731705,41163128,28414333,106002134,30653340,18763098,19417021
09/1965,29036564,35330273,27171442,25627080,67843711,88864049,40453510,55474253,22950500,17933576
10/1965,21975597,30332519,28784130,32025268,97993695,71324442,28676245,57118168,32957511,17844953
11/1965,28419754,27285217,34994155,103443412,26417318,37048568,91428175,20975005,49246193,24460695
12/1965,33370464,34125411,30062355,25856367,92502375,59883549,51828079,38981051,28617705,37807073
01/1966,19864797,38402978,67201525,59342597,59995723,99369413,28716893,25490021,19391780,20999039
02/1966,14162453,27471774,24134884,55364511,72423811,86505661,60774233,37001091,47058150,18382232
03/1966,18942169,29543529,70209172,59817797,56683701,73186759,27882919,34690829,43440344,20832646
04/1966,28464103,40870205,47662323,85834455,54721294,52556012,46260810,26300404,18702544,16466254
05/1966,35439934,43119822,75605548,70086867,65301578,39922935,15560962,29589700,29523346,20523462
06/1966,48773455,43040701,78418567,19077571,39489796,21439947,70369922,34612562,16743309,31629394
07/1966,24834744,25360441,47702097,54401403,67847333,28518923,38693272,32855520,48119828,31860890
08/1966,18167794,27295151,61941408,20733605,28035794,59258736,36232265,65828692,49986577,26311020
