date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,14773043,34852927,24995521,39498706,87576085,61354022,56556122,26848349,21955914,17234023
08/1963,16895269,34249446,29901595,59597615,83193818,60978075,37979805,26926111,23186138,11777856
09/1963,23339579,34193878,34940572,49832524,94049561,75639266,36208360,28165178,18096368,9210866
10/1963,16709092,32388135,27471116,83948860,84512509,64911305,33852686,23809179,18977951,11446855
11/1963,19756412,68480325,60836771,77388450,44692343,44741218,35505749,22864936,18815082,15424120
12/1963,16517742,33333394,50100182,76583081,46201809,54128263,58926991,32381769,23178267,10573167
01/1964,28626130,38725956,71364202,110625940,35505268,42814385,31623042,23648564,18907757,10100470
02/1964,17062692,21650836,57911527,105653873,58551910,57008810,30305199,31496748,27127233,18243206
03/1964,19190577,25664126,31798726,62898267,63239162,90335639,63558539,39994265,22247203,13092606
04/1964,15589188,31002894,38474031,33829330,74412756,94441231,69468928,44815028,22136184,14905200
05/1964,24282121,24778722,43688203,62602105,79916547,92613441,39617348,32617690,24149531,18263388
06/1964,21973390,40003192,45735254,56715920,133665826,44285152,38134166,27551421,28448318,11699083
07/1964,22365484,30053122,37799109,77172927,56212180,91681899,62914192,40754271,19901759,15591257
08/1964,13204547,24402787,35636199,89198685,46120652,107139656,65204005,38589996,24623927,19943070
09/1964,21297128,18880901,35190385,44969044,78369947,124171460,53305060,42498048,22862038,14969147
10/1964,17110047,38860311,49470470,51932597,90948744,113265188,30730313,32309702,29695996,15605169
11/1964,17199191,51236435,29142933,43224783,89459751,93420761,50441265,43845320,29949750,25387859
12/1964,16704562,40344344,57314698,68645321,67032105,83465786,65557374,29975853,21210080,19521568
01/1965,25741157,43488898,102917831,78775962,53534675,51885506,35697993,39059509,32707346,11345026
02/1965,15174771,33985360,44353616,53477542,98243122,49654242,85504490,53107500,39370643,20286405
03/1965,25410358,38002431,33927632,36975314,42556988,116716574,78478074,50979836,55072126,16710819
04/1965,14474914,20345266,46675956,48235782,47229328,134319830,74361359,49581663,33395516,21918844
05/1965,22826730,39834614,47088834,97304778,116028534,61013574,38069156,38210359,31361726,15525166
06/1965,28732707,36983168,53822046,79761667,101278627,70421055,53835408,40526864,21627265,16782382
07/1965,29806341,55509896,84358505,89700720,89659737,35884503,35959434,24904722,16156782,15034972
08/1965,20953356,31373799,46070043,51422660,89357220,95742093,27102149,35188063,65177862,22266632
09/1965,22665793,48126635,44914548,41598920,94755815,76301430,53805827,67876788,24283155,22861169
10/1965,25377652,45341230,60287667,85332123,119546396,39211550,59307964,35262801,25655999,16768860
11/1965,22210303,33601980,50989953,43363835,124680725,82350661,58550351,52272585,31403964,27436289
12/1965,22543046,38408423,41682345,43699567,62620865,75717969,120067734,61757140,40718467,17759230
01/1966,20858626,25807208,38202439,66821548,86650034,134161345,64102815,45499900,27766796,26445296
02/1966,18167413,25158082,27154928,52924197,50363574,97429050,136772194,63060921,43931042,27061481
03/1966,22422187,33325056,33416834,51619218,107331422,94186246,63408143,61983290,42646190,24605494
04/1966,34845561,43182574,60315788,70793529,102619779,98647783,33580210,36604485,24355667,17618708
05/1966,27902026,58150335,31636386,84921022,63536604,106690361,63279668,29940726,40816857,27742183
06/1966,45479050,60531811,59346079,92192807,75525132,76530656,36486296,25485576,20337078,13099617
07/1966,36327283,32816162,32557531,39939952,89796375,97652302,77666197,40284152,28314543,23730006
08/1966,24344781,42425656,39132051,54368489,51401934,120805230,41704364,43693385,44239994,30575536
09/1966,46934773,36402712,46603089,84111215,64784215,76807039,41202790,21334081,17086188,18264074
