date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,21764041,25211147,40637948,29652617,65246573,56288331,38879169,16140562,17123461,18715393
09/1963,28429270,26351652,29123897,71471433,56791866,50888729,29801961,17621316,15005810,9256598
10/1963,17530764,18214248,21178636,40256627,76347024,67969117,39762337,19008508,19050735,12167548
11/1963,45689876,41558176,75042369,30721953,37418880,36427997,19722706,24987444,17683422,11928122
12/1963,15754312,22621252,45283661,62687626,33986877,45621864,39311170,32742532,19224370,14454879
01/1964,26593517,41775174,45644919,103052395,21590912,32410003,23033327,14529309,20462034,11922211
02/1964,16587858,43456792,36867721,104764203,29426007,45492244,22759093,19336358,23240225,15620041
03/1964,21255416,23033250,44685058,34689663,63122954,62999514,55031931,31154553,18262970,11841547
04/1964,20473333,30661755,20443084,33540607,57009540,87916531,50554401,39648248,17869318,11816139
05/1964,26531719,18071084,55279785,26894624,66036628,35614858,68506784,34740363,23616718,20458246
06/1964,25920303,34246746,29932437,78222672,93559549,31210346,21623199,25114997,23918670,16782604
07/1964,19705933,26221064,66335113,32534201,48707419,71950870,42874646,37426420,25226444,14456830
08/1964,13125029,25489681,48684455,61529689,25123754,90680354,62043485,25907718,22833589,17155312
09/1964,13224620,19208373,23839486,34803945,64083811,110614395,41373251,28942285,30557598,18069695
10/1964,25957171,36145625,43619728,53040977,47375253,102266287,19422108,23007792,24168931,15857469
11/1964,37928143,22694692,31473096,22532716,83067433,46731208,59969046,43547869,25013320,24228488
12/1964,17640030,36018927,40410217,51298060,30003214,74790171,77060959,25345324,23157963,19217420
01/1965,22430002,55457482,66284727,70002149,45064776,24042559,35788863,31055856,25167667,22437591
02/1965,25592229,33326857,43337357,67083658,58785076,28416169,67471017,41616210,31863897,14080622
03/1965,23877565,25528623,32119997,20701147,31908195,111015865,63608111,37476742,47477783,18671773
04/1965,15497179,29920299,37776606,36161086,55061463,89248323,54104615,49411741,23413899,22162733
05/1965,29898831,36964117,89973608,71378182,61114432,38263936,24589043,29436514,23710666,17264672
06/1965,23643294,39591902,32621249,60349024,78347877,74624939,39036070,31262575,25004815,17208711
07/1965,20083346,22938553,76445921,56811278,54132084,75155570,25118961,37382953,24280541,10815583
08/1965,20317842,30643517,43705155,29133687,76095696,75132925,29666221,28376074,46677799,24654590
09/1965,38170926,27202587,30300368,34434572,78835584,60252089,47116994,46344684,25253120,22774032
10/1965,22655448,53287642,41881320,87307675,72352910,29038257,45302288,32852516,19285483,15068990
11/1965,29373405,44308130,30869957,84606187,88217543,38142888,36549139,46136423,21466628,24048193
12/1965,29197598,30415669,35701029,32730354,48921992,94076769,63402489,38907846,39385464,20295218
01/1966,28585423,22304961,50466150,43014187,101797233,76057712,44115375,32598613,17298941,22536169
02/1966,11644262,20633679,32038870,35943639,36386924,116528270,68789997,62848380,25095971,33368806
03/1966,23379576,23154490,34491661,77457402,45678405,73376252,53205317,43319575,35707080,25460108
04/1966,29993920,31568296,54752536,45152010,79320632,73981016,33266320,22885274,33160385,13758014
05/1966,27798028,46490344,61508599,51443881,53543859,74011263,44356212,14272548,20210530,31038891
06/1966,35423074,35481886,44626030,45134048,60338099,58280833,43770863,48009599,17114441,15416354
07/1966,29370085,16828576,23229281,57839264,46981580,74290084,61100217,44771517,20506828,25277020
08/1966,27693760,27075827,28346520,41613312,22437885,121054573,26842869,41838574,32411302,24476420
09/1966,36158777,23912930,21003638,31454062,69420169,52589667,63385444,26457563,14464075,13536087
10/1966,23806779,32674029,29546675,44735250,44122983,45519087,31067403,37335019,33539290,17806009
11/1966,28013372,39153015,38170292,89402965,24738103,71217987,26983583,19860251,12058817,11650849
12/1966,29958606,37974908,51582393,57468283,28129011,59588219,21033092,40422214,17422876,17657550
01/1967,18028596,32415200,23622138,27851209,61811653,86658290,45958568,21723606,30544803,22342248
02/1967,16029541,33502471,20743205,19427887,39086720,56437926,97689822,44658345,52463029,31995480
03/1967,22329521,34642685,46869271,51623338,59921595,82921268,53144949,31955753,23849231,21676552
04/1967,33039439,33708460,45415516,69606031,83231069,34622532,38779335,46639963,28629086,30270491
05/1967,40948680,77704819,42562824,39498871,54180353,85833067,42721499,37636055,21598674,17461147
06/1967,19584279,25304889,26567204,22608389,40650640,101870731,44690345,76498153,47113765,32994276
07/1967,25830770,30018399,32814708,62611442,60732921,49958610,67822430,58112452,39904216,23768719
08/1967,36109355,37760543,48421593,66429061,62302451,70922605,54042671,41677749,33366241,14803527
09/1967,21431606,35275144,36776738,25302364,68396644,84978287,70407992,45377050,35776021,20379266
10/1967,28062091,63565257,39692303,93915680,63108752,35207997,27210150,43463381,39654504,30436353
11/1967,35635529,26679749,46506191,74784618,65586396,57585138,45937667,36853076,35820755,27221170
12/1967,28373271,45480902,54983786,41474918,88331986,81469304,32613197,36365829,22354408,17759952
01/1968,30371886,31151918,39146607,78187845,70494375,95208762,45813959,25253235,17647159,32373383
02/1968,13292680,21340173,13348807,23279504,63993291,69980826,102053808,67541521,46404561,32756645
03/1968,25170950,29687971,46755599,54488583,110913436,65759855,23741318,32018888,29741591,21660938
04/1968,31012526,26039831,66921743,71885327,100638736,27772794,38935926,25140818,35813789,16912481
05/1968,29550677,30231094,37644143,46179029,116776114,66623480,69275422,34594120,23951086,13451739
06/1968,14745782,22591316,54567768,47972505,113490312,48571769,62385585,36036491,49848603,37270466
07/1968,24411891,32575620,39343955,39165392,92083553,110889189,46712734,32102082,45688864,30220503
08/1968,38594688,29764950,20789801,58808364,101228109,83761383,53244703,42166742,34238762,25084501
09/1968,16380307,32005066,56048831,36147817,135098916,60695208,56016478,37152703,38528857,24443360
10/1968,26859924,39554488,34622576,56313952,110754325,90369465,35121053,39377499,54089599,20694816
11/1968,22409517,45865300,27911810,41707937,86455200,64443126,43847244,106669815,47328142,26385360
12/1968,26133966,38941517,49691503,63844518,103695439,85109760,37807012,78016552,36386912,23844153
01/1969,23562223,24385296,33401827,41183138,46243234,132474047,74994514,49179982,66341170,30646132
02/1969,36699399,44198728,71835122,90010444,56667821,99092989,39460891,41773803,28525318,16855394
03/1969,38202463,32971850,89556643,93188905,75525843,41428280,32675646,42628752,35383661,18440538
04/1969,35077053,51345338,59640121,61098919,111814943,54895820,47176785,33523409,26852162,23025430
05/1969,36906342,58406353,90217287,101238200,65078880,38400527,50355718,26530528,24684407,25542041
06/1969,29585660,45442353,41866214,71119618,118334752,32770085,42814908,52969850,50147311,35005874
07/1969,37813608,47955682,105656141,62642103,55602445,72820351,35753993,37514316,23328200,16935856
08/1969,28344858,34761550,43776199,77229442,71159962,97652116,27861956,44275370,24529799,18705002
09/1969,30429368,39762559,37522228,41314617,146802558,61607309,42507150,32833303,25477375,25264446
10/1969,28541379,42483279,53335157,55567531,47794943,110494533,44450277,41724201,36476050,19445911
11/1969,23818700,47797381,43915696,50513679,89338305,97337235,66062617,49198954,18443548,25370378
12/1969,31248993,29156517,38539549,70959705,57196827,105997893,56537103,54250307,26756702,25342580
01/1970,45121356,55816041,63931764,64091775,87451742,75456093,38048146,23553924,22447696,17743253
02/1970,15879544,25021861,26399491,23656567,23428465,88646510,102101609,54498013,60217020,37431410
03/1970,41422158,39068379,90212168,42865898,106015393,50590575,23506417,25641887,29782151,21486083
04/1970,23020121,37279271,46733686,72554858,103801983,34464600,58495294,40997671,26511611,24745836
05/1970,24918344,25064494,31347486,57646646,136105887,40698644,32233946,35519186,21065104,20433465
06/1970,29830609,43812123,47770598,37774011,91382705,59060153,23847788,33888939,23890111,16257663
07/1970,24621759,29661418,39729385,36413963,36701776,68277234,72820856,29871028,37911939,15510543
08/1970,22774556,34228204,30120961,100345158,76862820,38716200,55166661,25389031,23159621,17092032
09/1970,22041298,18749591,45288498,40161934,104777629,47199255,86300782,31576023,22178272,22693780
10/1970,19781073,24367505,38785451,33647671,48563107,112035518,45276224,78419869,32706484,26922737
11/1970,18694969,27935022,49021142,54585395,54235290,141489128,35694847,28173068,21850091,27796690
12/1970,31523593,32797555,54925300,84465594,113654784,65427648,31791749,34391125,24443471,13232459
01/1971,21924944,29683981,43347155,52997753,72821414,87741593,93759925,51155232,30242714,42557264
02/1971,31709799,37479026,37050289,31467380,34908303,94371278,105559493,72050641,54568862,49779846
03/1971,26696308,45336333,60596408,44629875,54786912,104019083,80315572,60208516,50403737,22166347
04/1971,29952802,39459956,82744844,43137213,153637879,56685720,69952557,35149186,28048879,27577511
05/1971,33821367,50546697,48530239,66242924,58178033,152718586,53104028,55718082,39114786,27332538
06/1971,27209029,37112254,43501115,80875170,76755074,99682979,82620969,46785806,34847425,23582311
07/1971,33697669,64678292,47934021,49917535,91781319,93673389,73225176,44956239,25665920,30395437
08/1971,21610357,52260652,45824057,36512439,80338291,114775112,57577706,42969850,45675368,40309084
09/1971,52751157,41564011,62198177,46684994,95760761,74604201,51497501,51992987,56248687,26218870
10/1971,25081521,51953636,65958553,73536152,108044832,55795751,45929718,52069446,60921862,21276038
11/1971,27253763,45785799,45452304,65187320,173935174,42764735,40233285,28447212,37249766,30265599
12/1971,30905097,47406535,41297560,97841312,111222584,80760905,30818907,43584487,32929533,16588904
01/1972,29334422,33495476,62591898,54333014,138071760,98322700,60315537,48779787,41271076,21131778
02/1972,26119231,34596107,46436362,62544274,75217490,97883870,112708936,61946025,43303530,39120535
03/1972,32865401,60662412,65519616,40165936,123941728,118124816,62778048,67673077,32770005,21641812
04/1972,46858525,49904441,76047367,130964403,38319303,92435774,84915749,42485459,39850506,30588825
05/1972,47127275,44417241,77793801,48543224,149474361,76685807,59834636,65533927,39010443,25384880
06/1972,39467933,90913380,86997776,60781511,145777837,76050146,38733351,41484213,29915881,27313558
07/1972,37487067,59488205,57814592,65845303,128059188,113932143,52092093,30281002,47003799,31056301
08/1972,49153725,56890726,58748372,100596229,120847184,57609255,55351066,39719778,44221961,33455875
09/1972,39591013,48197847,64664507,116586908,109875129,56078991,61409634,86506774,27612488,18481610
10/1972,30522385,88881379,67151690,83086691,149624095,59778656,42456517,51991822,31270939,21116894
11/1972,54329884,56131740,54454884,100479863,104531628,104588550,90314413,30720038,27614257,24567074
12/1972,43948406,39612204,63679641,51563590,103392005,141089892,78094980,85028078,50867078,27239753
01/1973,57367257,85191887,104312333,104183832,143733568,107652400,97249158,59037567,47581173,25928313
02/1973,59328605,88571111,109742841,141361581,103027269,84899681,61926515,74426425,44563411,51620565
03/1973,72466447,62256421,119745986,121876914,74479548,99559864,77661994,60657478,48878779,39448834
04/1973,61682716,51347566,120243029,72635569,157241273,72617044,55281142,59230149,30591928,41123892
05/1973,32616901,37339839,67897488,150280542,47124418,124047988,76717873,59650484,55934595,32187080
06/1973,96111532,101256645,97729211,165040567,50025949,42946234,39406502,33600361,42690495,14578932
07/1973,45423987,66772399,61103109,133083360,108050400,87013271,60923495,43244421,34222429,28074688
