date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,9623763,9444294,37640527,82950572,26540471,27764325,10288499,19010982,7694982,4925565
08/1963,9515574,9367601,38542270,83191640,26270367,27526928,10120359,18831287,7625340,4743627
09/1963,10161458,9851564,39790588,86789797,28004497,29160177,10868327,19950405,8198757,5263469
10/1963,9686090,9637795,38535961,87100687,27880884,29274817,10602402,19461006,8178168,5356833
11/1963,9619861,9649943,39593200,93176152,28425081,29413919,10742766,20723776,8365604,5597254
12/1963,9532364,9617125,39051850,91673252,28159173,28894172,10574113,20370547,8281515,5428168
01/1964,10199402,9870426,40744941,92046750,28944826,29672232,10843290,20928344,8416112,5444550
02/1964,10146519,9947589,43128870,96879098,29115733,30528381,11037019,21710025,8674368,5478642
03/1964,10412061,10329488,43183765,98738080,30103374,30967394,11220881,21519710,8850163,5825663
04/1964,10534363,10580684,44094796,99139389,30679926,31720691,11604021,22683040,9326527,6043364
05/1964,10863640,10983813,44616056,100882529,30421833,32163665,11417428,21796385,9050248,6082244
06/1964,11137174,11067033,44877722,101739540,30580086,32814158,11391515,21699355,9324104,6248841
07/1964,16059165,20296249,45641883,70672979,89092139,29311374,24305475,22716828,12911034,9590761
08/1964,16151565,20966632,46785280,70333201,90709350,29647807,24859141,23408164,13208705,9930894
09/1964,16123431,20438430,45631527,68873388,89165168,29559395,24471473,22659726,13138896,10002069
10/1964,17130715,21272154,47558781,69454830,91476076,30279627,25377169,23435225,13925345,10218255
11/1964,16955229,21645862,48805141,69710189,91947491,30278968,25385666,23664565,13839025,10214234
12/1964,16681979,21773434,47843722,68915587,90225632,30479421,25792611,23749276,13507105,10319740
01/1965,17490365,21437560,48734570,71489098,91311030,30673339,26048499,23803007,13147353,10231917
02/1965,18524171,23088611,49761396,72317165,94480051,31664307,27407263,24899972,13847783,10813214
03/1965,18840129,23015581,49573328,72502368,92949299,32608300,27900409,24851581,14109790,10982724
04/1965,18455802,22559427,48202287,71089424,92353617,32111254,27607827,24649164,14098837,10986784
05/1965,19638772,23477813,49650093,72580484,97688488,33945172,28330381,25165174,14415913,11575248
06/1965,19782914,23589409,49766129,73934408,95073349,33291955,28129087,25224435,14006466,11258183
07/1965,36318928,30405949,69916070,73263757,55250040,37460826,18193078,19224253,14988804,7091930
08/1965,37522549,30778308,71326803,74127980,55978966,37004303,18423301,19964774,15238435,7584781
09/1965,39389750,32028594,72256719,75272803,57781217,36934611,18835503,21010301,15980976,7947849
10/1965,40493948,33372555,75695772,77440737,59053943,38584628,19765180,21522339,16358720,8352658
11/1965,42294807,34544211,78620494,77844963,60760906,39271557,20337586,22628417,17022212,8966954
12/1965,42735583,35581366,75695021,75084968,61175369,39578052,20479927,23216673,16716436,9682060
01/1966,43358546,36531009,77214176,76780501,63361120,39947893,20914467,24148190,17202865,9670572
02/1966,44197655,36935317,77465271,76684395,63078678,40530113,21607333,25064985,17451631,10525705
03/1966,45348868,36982168,75569335,75272104,61393687,39408239,21228341,25349625,17360555,10547262
04/1966,44947631,36550183,72884987,72445005,60994253,38206404,20596641,25117225,16889425,10143690
05/1966,47433756,37603844,73194178,73703125,62835118,39328106,20941609,25543474,17056415,10608183
06/1966,45139976,35801328,68368850,69528011,60107832,36834968,19709240,23526863,16104316,9627359
07/1966,34220086,36085751,35084550,72467981,54485647,57129463,58153406,20213621,15247082,10001536
08/1966,32685403,35640044,34465268,71665207,54310254,56647058,57717026,19914990,14829367,9914715
09/1966,28678089,32686518,33078554,65883268,49813879,52665518,53859234,18563446,13688806,8995645
10/1966,27926032,31819655,32575233,64964350,48926172,52755170,53643843,18519660,13581694,8907848
11/1966,28901777,32816257,33382298,65943096,50932038,56216177,56657687,19446262,13738432,9147870
12/1966,31868267,35774996,34031024,64288481,51669956,55289913,55538144,19462907,14378398,9330240
01/1967,31494280,36535975,33865388,65149163,52459974,56993050,54569476,19746872,14949355,9476539
02/1967,34434944,39561924,37514059,71490669,56770269,60700534,57592368,22094829,16499477,10649288
03/1967,35218168,41321279,37717876,70720992,58244315,60809867,57193396,21953976,16755572,10512677
04/1967,37109930,43796162,39667119,73656214,61042858,62868403,59399838,23135430,17410761,11096954
05/1967,39141873,47249602,42011075,78525986,62464472,64210637,61643191,23944049,17799243,11603735
06/1967,36970382,45248770,39803456,73629621,59718503,60238209,58759013,23001156,17842940,11401269
07/1967,55512533,45249650,40440546,58716315,33649132,44194318,108096767,30779136,17197707,10268027
08/1967,57440505,47374545,42582525,62592788,35794144,46808339,111035729,32364726,18468540,11168755
09/1967,56348304,46938487,42453746,62573071,35317333,46224134,108275899,32571033,18313010,10932703
10/1967,60035489,48872788,44161217,64425399,37105627,46730716,112187107,32852043,18747049,11231791
11/1967,62480734,48706090,41430683,61908386,35380804,45906063,108013306,32038733,18479984,10825309
12/1967,63849984,47948904,41235041,62510390,35513036,45349314,107098148,31876850,18377937,10830742
01/1968,68533432,50255132,43675151,64813288,37968562,48179802,109483031,33296558,20043814,11544793
02/1968,63344427,46225374,41745801,60078440,35734755,44953889,108897308,32928509,19216571,11644028
03/1968,61108713,43968026,39685613,58096474,34257940,43268728,105387859,32137419,18458564,11106739
04/1968,63075645,44350845,39708586,59199719,34542872,43240482,105629977,32435598,18578144,11040821
05/1968,70930033,48894180,44472855,65544222,38546774,46287202,110889866,35900828,20571868,12175309
06/1968,74454455,50119669,44186429,66050268,39897413,47367968,109517295,36475516,21327230,12850965
07/1968,54509141,43869331,82337332,30405726,67289677,93097954,59864413,46501671,25527487,12867624
08/1968,51215152,41572430,80944837,28768957,66667700,93888470,59217685,43967452,24901549,12186079
09/1968,52202570,42959786,80972608,29108447,67963925,94780580,59707440,44587569,25442501,12500028
10/1968,54228308,44656161,83259166,30820968,71012265,97118205,62764681,47706617,27003401,13314830
11/1968,53568516,44984216,80771862,31032347,71999118,100624645,64754907,47303351,27405438,13338781
12/1968,57024523,48341003,85971509,32980772,75407383,105157381,65537477,49201695,28664811,14153728
01/1969,57304347,48080856,83894474,32803707,75259192,100642235,64852806,47827030,29243764,14540377
02/1969,55971774,47597424,80840348,32832131,73711379,101184650,63664638,47703523,28910931,14696705
03/1969,51860336,45046743,78194854,30195916,69165278,96972787,60770209,45509995,26613871,13344198
04/1969,52410748,46005419,82320878,31232401,72613964,99336171,62571545,47462734,27104596,13882609
05/1969,54090716,47238131,84348772,31087906,72504798,103254443,62984308,48608859,27584014,14350428
06/1969,52662508,47318943,83556405,31012053,73653883,103772879,63773666,48068966,27156775,14045457
07/1969,24212697,28986756,36196956,61534208,57335155,112840113,105358714,37270944,34268879,20676487
08/1969,21820079,26980669,33577193,57953272,54008940,105127414,98725029,35362683,31949774,18877172
09/1969,23130107,29336541,35358103,60663081,56079270,108011994,103913251,37893264,33312611,19887284
10/1969,22526889,28645852,34830164,58918512,54803450,102835577,102775778,36355802,33102794,19910485
11/1969,24330797,30742472,36194526,62070798,58683489,105768118,106772082,38194073,34513039,21439420
12/1969,23046519,29782675,34927174,60007990,56508931,102505588,103581060,36620667,33247500,20781112
01/1970,23915107,29076717,35463934,60311951,56416620,99617790,104087075,36701333,32805367,20602888
02/1970,21274107,26021127,32367646,54236018,52775907,92146420,95474653,34068393,30892051,19211864
03/1970,22143112,28127048,32821601,58687535,55258888,96019283,99971703,36473230,32594164,19908423
04/1970,21682669,26903479,32741939,57769754,53915878,97326384,100303950,36127595,33066578,19620555
05/1970,18136311,23350526,29336305,51063996,49030225,89568379,90373029,32787464,30263236,17152694
06/1970,15781311,21342857,27074133,48381870,44627216,86237156,84658162,30933302,27469357,15802647
07/1970,29301759,33187172,52938902,25620117,97615540,44428759,26702589,43408041,24348286,10723214
08/1970,30957257,34728783,54694077,27149527,105559012,48102217,28020672,48135370,26657226,11400207
09/1970,33005152,36198877,58293667,28412782,108638999,49770320,29452240,50653181,27571818,11783037
10/1970,35948422,39433982,62627777,29750160,109205948,51766029,30819796,52274665,29113270,12558654
11/1970,34793892,38399268,61856800,28772237,107394364,51148971,30095498,52369301,28759428,12219917
12/1970,35837299,40000916,64319701,30730670,111954048,53035945,30906935,54739238,30480601,12575239
01/1971,38823908,44155873,68451448,33008605,120684422,56405116,33483926,57526776,32334118,13371382
02/1971,42084031,46889844,70492372,35276409,125472657,59523137,35633539,58083779,34329145,14725183
03/1971,42227813,47792510,72625770,35826756,123726612,61114575,36626916,60512265,34483856,14805822
04/1971,44830572,50451838,77494444,37413771,126275119,63185260,37679390,62416024,36262792,15863922
05/1971,46736403,53317452,78789914,38933398,131971707,66748396,39565966,64897028,37705759,16251055
06/1971,44765243,51659164,74600020,37125865,126862732,64213124,37726959,61778727,36288028,15531847
07/1971,52903768,79663882,96549802,90958182,80869453,59746680,39210032,22093693,16220865,23618358
08/1971,49718108,75093724,93347193,86821504,78888777,57564069,37669845,21032438,15065163,21377425
09/1971,52402692,78177358,96296828,90644524,79685092,59522414,40039373,22145721,16121662,23606698
10/1971,52179684,78097198,97020585,89391385,79160686,58872249,40016891,21848486,15634384,23404712
11/1971,49665500,75718260,93619344,84275086,75789763,55804975,37777726,20400101,14690774,21988965
12/1971,49971324,76407048,93020684,84207170,75088128,55057430,37345657,19895979,14428509,22173213
01/1972,58837573,86597290,101620792,90420033,82628266,61672848,41782927,22251562,16479252,24301390
02/1972,61523149,91983687,103240988,91698307,83507389,63321319,42038828,22669370,17641933,25257694
03/1972,64398021,94436110,106365000,94642567,86127894,64591025,44659717,23764170,18243925,25669143
