date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,19948752,,,,,,,,,
08/1963,20232720,,,,,,,,,
09/1963,21439584,,,,,,,,,
10/1963,21475080,,,,,,,,,
11/1963,24918192,,,,,,,,,
12/1963,22397976,,,,,,,,,
01/1964,22380764,,,,,,,,,
02/1964,22772160,,,,,,,,,
03/1964,22772160,,,,,,,,,
04/1964,22807742,,,,,,,,,
05/1964,24053094,,,,,,,,,
06/1964,24657980,,,,,,,,,
07/1964,24978213,,,,,18730578,,,,
08/1964,26899614,,,,,19053519,,,,
09/1964,27291011,,,,,18299990,,,,
10/1964,28251711,,,,,18569108,,,,
11/1964,28394037,,,,,19214990,,,,
12/1964,27006359,,,,,19268813,,,,
01/1965,27912384,,,,,19440143,,,,
02/1965,28910528,,,,,18846962,,,,
03/1965,28233216,,,,,17660601,,,,
04/1965,28732288,,,,,16932607,,,,
05/1965,31085056,,,,,17013495,,,,
06/1965,29267008,,,,,16797793,,,,
07/1965,27270720,,,35196161,,,16878682,,,
08/1965,27805440,,,34869666,,,16447278,,,
09/1965,28268864,,,34934965,,,15934985,,,
10/1965,29944320,,,35261460,,,16932607,,,
11/1965,32047552,,,34412573,,,17364011,,,
12/1965,29373952,,,32127108,,,17229197,,,
01/1966,29557220,,,32188023,,,17314865,,,
02/1966,29343037,,,31591949,,,17368721,,,
03/1966,28414912,,,31658179,,,16507017,,,
04/1966,26808541,,,29803725,,,15887668,,,
05/1966,25773324,,,30002417,,,16668587,,,
06/1966,23560103,,,28876498,,,15537600,,,
07/1966,22988949,,2722092,,,29141420,,14810538,,
08/1966,23060343,,2707094,,,28744037,,14918251,,
09/1966,20811424,,2564615,,,27286966,,13787264,,
10/1966,21382578,,2504624,,,27154505,,13652623,,
11/1966,20954212,,2519622,,,29869956,,15052892,,
12/1966,18990871,,2369645,,,28412885,,13841121,,
01/1967,18819104,,2439014,,,29668045,,13626833,,
02/1967,21461635,,2890389,,,31218875,,13519111,,
03/1967,20676018,,2890389,,,31286302,,13034362,,
04/1967,21783024,,3246739,,,32365140,,13788416,,
05/1967,24711234,,3452630,,,31960576,,13599903,,
06/1967,22497221,,3183388,,,29668045,,13169015,,
07/1967,3238820,,21961573,,,13142084,,30746883,,
08/1967,3286333,,24211295,,,13869208,,28117215,,
09/1967,3215063,,23854197,,,13411389,,27375514,,
10/1967,3365522,,25068332,,,14434748,,27982361,,
11/1967,3183388,,23568518,,,14650192,,27308087,,
12/1967,3325928,,22854320,,,14327026,,27105805,,
01/1968,3486649,,23427646,,,14525460,,27262346,,
02/1968,3307428,,22356260,,,14902046,,28209425,,
03/1968,3250404,,21570577,,,14579258,,27127049,,
04/1968,3160794,,21356299,,,15036541,,26788806,,
05/1968,3747333,,23213369,,,15413127,,26991752,,
06/1968,3682162,,22784814,,,14498561,,26112321,,
07/1968,14633056,,3421478,,,27262346,,22927666,,
08/1968,16838774,,3356307,,,27600588,,22463398,,
09/1968,16973269,,3340014,,,27803534,,22391973,,
10/1968,16731178,,3714747,,,28615316,,23713349,,
11/1968,17430552,,3893967,,,29562395,,25070438,,
12/1968,18237522,,3584405,,,30983013,,23570498,,
01/1969,16910115,,3582164,,,29110939,,22613450,,
02/1969,17178956,,3413194,,,29660202,,22542002,,
03/1969,16748810,,3370952,,,28493018,,22184759,,
04/1969,17662870,,3446988,,,28355702,,23399384,,
05/1969,17420913,,3514576,,,30964702,,23327935,,
06/1969,18012364,,3379400,,,31033360,,23220763,,
07/1969,16695042,,29797518,,,22256208,,3193533,,
08/1969,15001342,,28767650,,,20684341,,2914733,,
09/1969,15673445,,28904965,,,20720065,,3193533,,
10/1969,14813153,,27669124,,,20970135,,2914733,,
11/1969,14356123,,28355702,,,21434550,,2990769,,
