date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,21898086,14751530,55127173,30079056,26721505,41168467,53793685,10852328,13577432,13610861
08/1963,21873307,14556595,55103746,30256673,26903173,41344001,53556498,10714893,13424154,13444760
09/1963,22884868,15470460,58082270,31814326,27834956,43225268,55998755,11285731,14331780,14400889
10/1963,22815610,15124823,57516264,30806923,27251177,42225209,56968199,11095318,14179658,14184144
11/1963,24224484,15662593,61979364,31453486,27736726,43117674,58724123,11277040,14371671,14387751
12/1963,24160182,15617931,58096455,31131214,27203432,42838232,59794721,11160030,14044470,14112689
01/1964,24966062,15976186,59505632,30942233,28207014,44726044,60627891,11499256,14366285,14192165
02/1964,25924334,15841921,61186848,33325514,28603316,46784442,62682904,11540255,14818511,14633502
03/1964,26942932,16249866,61691140,34176515,28701557,47345977,63622175,12010796,15062472,14953131
04/1964,27892326,16613889,62816879,34439433,29093013,48673421,63679650,12429829,15767927,15745794
05/1964,27353608,16558353,63578725,34880484,29425395,48832220,64434803,12455196,15519221,15582260
06/1964,28539527,16811419,64402656,35206817,29624384,49167546,64660864,12562890,15450075,15788546
07/1964,30688583,26470807,24160623,58151022,48299003,24988467,86149731,12459653,14539879,17206810
08/1964,30090057,27278184,24741411,60678796,49250307,25273484,86253281,12605088,14780459,17624585
09/1964,29144740,27014936,24102950,60568835,48921106,24779336,83932758,12281563,14491525,17163561
10/1964,30064025,28197100,24779950,62629285,51545496,25625719,84342455,12540471,15021386,17822548
11/1964,29371139,28109315,25226090,64564675,51248027,26032564,85278052,12585470,15127146,17631352
12/1964,28798582,26064626,25462390,64087554,52249501,25643915,84635401,12661039,15247992,16955814
01/1965,29338276,26687786,25427992,64995815,53156172,25581591,87505255,12358115,15161578,16907339
02/1965,31759533,28300905,26948524,66989379,54938934,26777556,87779861,12866426,15799457,17443290
03/1965,32964890,28244037,26902204,66073401,55552745,27342396,86218391,13323332,16201313,17349642
04/1965,32686807,27563599,26354158,65406706,55054432,26762736,84571737,13278331,16190936,17134963
05/1965,34846523,28359508,27327393,69010333,58406396,27519421,86043065,13671194,16810546,17376207
06/1965,34982305,29038605,27481025,67123658,56917488,27340735,86865312,13664969,16721673,16835543
