date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1963,8033717,7298320,9074343,14072335,16685648,30617259,29019118,31358248,50104478,188272335
09/1963,8541627,10242083,9880446,15573133,24774096,19762512,31894952,44319337,49084369,189266913
10/1963,9418306,8998921,10611934,15157493,22446287,19952517,31666994,36181448,64996424,178232740
11/1963,11379426,8908807,11839388,15514874,19775447,27572345,25195957,45966958,98786398,143084420
12/1963,13219972,8405119,11489656,16562916,20613090,23420186,36888439,59650483,76084261,135267261
01/1964,12238139,9136210,13144760,14375442,22110792,26169200,52929848,42969057,103453406,114223101
02/1964,12047311,10505086,8847363,18385742,17748974,29960602,45377370,69799142,60713851,149197990
03/1964,11298597,10826074,10324473,13243662,20336787,25801030,30521857,68035534,94716399,144242382
04/1964,10477246,11816557,11025813,15810494,20099617,24995086,28681722,63975941,72586884,178082345
05/1964,9437797,10172859,12635404,13750791,20873917,26455160,26648114,47152838,60742543,212074878
06/1964,9824887,11688611,11811555,14257391,20230128,26574574,32163568,37542282,84809525,196306822
07/1964,9735938,12886374,12185716,14268976,20019418,21589423,41924515,40812584,69955044,208011787
08/1964,9839633,12192024,10551611,17446627,21556895,26220095,36208561,61171134,53849095,213652698
09/1964,8865772,12303537,10286257,17041363,23335259,26230536,31746727,49619286,52434432,224107988
10/1964,9041532,13423664,12235555,21872944,22529383,23742750,40446823,40999615,69505196,215168612
11/1964,9211095,11241894,13498601,16759807,25509002,28284682,33461547,56101640,62383589,216091360
12/1964,8213117,11955008,11880993,16327145,26555598,26076600,37771306,69530480,72678464,187874908
01/1965,11048592,11174305,10388050,22795699,22122188,24782013,37999663,49907383,85509942,199318562
02/1965,10221217,10816008,13243991,19636726,27800774,34873821,32800713,47462247,93240375,202795898
03/1965,10382838,9954366,15413481,20513472,26346639,26184351,40314977,51468218,65581086,228258266
04/1965,10245767,9360023,17706126,15578287,25053039,28194482,35829847,55372889,88696916,202752982
05/1965,10743044,10003522,15548786,23729996,24782318,28329889,46304795,45607055,79459836,221167311
06/1965,10610563,10161334,14587771,19139159,27651874,30377504,39629628,80508439,82840347,186065879
07/1965,9638619,9595590,12276718,20191972,22467543,26532537,30595045,78270096,83247435,182910198
08/1965,9928633,10724744,11550222,21510727,26949618,26577767,31508743,56068979,94172940,194364847
09/1965,10094018,12557578,13988351,21723331,28536477,34761813,35060301,47667091,71432259,220952739
