date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,77711183,64123905,70019239,29266201,21885104,20404751,15319546,15490201,11629407,5803066
08/1963,77239277,64790452,69810526,29700512,21929513,20353408,15277199,15394328,11295412,5752407
09/1963,81412493,68090675,72509997,30970116,22814354,21370625,16136545,16310610,11943789,6101341
10/1963,80857255,66568874,72454974,30593915,22405511,20677852,15704447,16063661,11931145,5784237
11/1963,84064061,70560540,74596648,30890702,22529894,20564203,15706740,16354257,12133576,6104867
12/1963,82472183,67184024,75589121,30252659,22224128,20461809,15546459,16192196,11813956,6078848
01/1964,83569756,68791756,77719424,31120566,22588841,21240913,16157463,16579690,12001433,6220963
02/1964,87893131,70380882,80571002,32015944,22822938,21395606,16488175,16795617,12055777,6484906
03/1964,89396713,70971025,81925770,32402426,23243156,21685741,16568886,16940890,12754193,6844778
04/1964,90583709,71846400,82413988,33167937,23793540,22099360,17057267,17596522,12916226,7207378
05/1964,88948975,74314100,83298918,33372047,23821218,22245323,16831642,17497532,13004335,7124559
06/1964,90750217,75061126,83227175,33409527,23878051,22508272,17072341,18118177,12971884,7279611
07/1964,94037881,73492433,92892868,28522763,29707919,26343998,18327939,14334277,13131611,5738091
08/1964,94588040,76743946,93191677,29552113,30767621,27065374,18587382,14513330,13279991,5792066
09/1964,92305232,76033291,91128421,29156593,30791297,26843771,18404205,14535088,13047581,5628240
10/1964,95101844,78587276,92145508,30080111,31540055,27929344,19036003,15119384,13808637,5802928
11/1964,94415091,80006082,93204676,29910268,32232936,28042340,19322500,14880908,14192677,5907463
12/1964,92946236,79535472,92243138,30128091,32372927,28387862,19149648,14522612,13910816,5816025
01/1965,94925992,80471483,94736125,29702142,33093686,28871447,19256772,14379199,13945814,5668912
02/1965,101288278,82485796,95330864,30765455,34612872,29722892,20048900,14895504,14724383,5984328
03/1965,102574620,81454827,94388397,31029611,35159350,29222123,20573565,15120818,14921505,6101246
04/1965,100487769,81088297,92324680,30487951,34782820,29154757,20573677,15087741,14823458,6123817
05/1965,105542220,84534903,94286817,31108944,35762203,29801044,21383728,15553977,15718291,6283448
06/1965,105244488,82186458,94836895,31355053,35394770,29662864,21197850,15304969,15411037,6220606
07/1965,144585734,60386824,40055048,65399144,36765596,22941373,18919100,15220472,15878890,7438517
08/1965,147296763,60505646,40446789,65473827,37651776,23468762,19482951,15644592,16475380,7632900
09/1965,151532014,61995946,41664611,66420817,38117633,23916940,20000036,16103535,16812093,8051494
10/1965,157313023,64769156,42613325,67787978,39262504,24196130,20441924,16634531,17442019,8208910
11/1965,162503846,66527012,43595529,67479356,40236408,24905392,21313381,17409311,18536006,8574735
12/1965,160707415,66794149,43441221,64920334,40979280,25272177,21567770,17408960,18247373,9050885
01/1966,163165843,67902557,44294623,65512511,41481137,25154278,22605221,18409267,19724103,9264568
02/1966,163082552,68538125,44195304,65588160,41521175,25959452,23111524,19166933,20251045,9847579
03/1966,160355601,67802009,42726506,65006942,40157606,25461924,22814684,19267274,20241659,10062303
04/1966,157921435,66000980,42125350,62408947,39219206,25187133,22324320,19003167,19597148,9672376
05/1966,161151625,68112644,43290533,63042450,39438847,26023149,22564502,19897074,20131560,9976266
06/1966,153416825,63955055,40784976,60283199,37776062,24072396,21252965,18406215,18655308,9064542
07/1966,141211567,49979649,56465591,31094215,70541482,26782499,27411776,16750130,15074351,13547651
08/1966,138535990,49331220,55943269,30694841,70205301,26225096,27564247,16386082,14853055,13244376
09/1966,127957844,45172983,51277012,28626124,65314772,24130720,24922243,14901703,13576298,12103553
10/1966,125626827,44981401,50725120,29368365,66171189,24045387,24520053,14654396,13193429,11815113
11/1966,127771036,47068012,53420668,30743513,71672280,24899631,25612030,15613045,13947418,12524315
12/1966,133384739,47613696,52538293,30876072,69726127,25119255,25991420,16018298,13639196,12401397
01/1967,131833384,48129976,53049924,31849531,71776523,25981368,26938601,16582688,13888147,12694567
02/1967,142900614,52134504,56443089,33834581,76296738,28101307,29000847,18226237,15675588,14659855
03/1967,146222796,52722397,56158383,33792507,75667463,28173031,28644296,17967663,15558037,14674661
04/1967,153165447,54687037,58121058,35021981,78558826,29909212,29559498,18502158,16266377,15611489
05/1967,165637563,56044814,59835136,36365397,79504556,31028889,30116537,18789619,16684210,15989721
06/1967,155473625,53719194,57995938,35132095,74387181,29977313,28881461,18211013,15976547,15476134
07/1967,127175526,86596204,57263025,60330506,68846972,28497073,28677846,19005903,14621692,16301324
08/1967,131253686,93913766,60818720,63261778,68001759,29331038,30187823,20407276,15778099,17713270
09/1967,129582764,93352936,59560386,62527368,66285484,28562962,29910753,20903354,15835689,17801569
10/1967,135960121,97583691,61620152,63692259,67419134,29052276,30352775,21419097,16367253,18334296
11/1967,136410672,94297927,60335169,61423783,64878035,28218087,28450822,20621736,15588934,17556440
12/1967,138407844,92397668,61182017,62321720,64052615,28349988,28194219,20614397,15165521,17662041
01/1968,143950921,95260013,65537464,64987273,67425433,31328311,29883415,21859172,16296291,18891516
02/1968,132892218,90893513,62010725,64240567,66685722,29067480,29073804,21645735,16649904,19070339
03/1968,128350165,87756016,59705782,61937870,64125800,27937460,27921306,20879287,15854522,18431996
04/1968,132363290,87587857,60773331,61833208,63200305,27151839,27534516,20891364,15756334,18448093
05/1968,147400632,96709588,65626808,65508948,66380789,29204274,29203333,23153671,17501390,20992299
06/1968,152722452,97114857,66810175,64808889,66505360,29563474,30117301,23873104,18154728,21893322
07/1968,136475762,79997848,67386522,51754782,62478105,43644768,62654841,27112257,28892524,23213722
08/1968,129058454,77052939,64702941,50837176,64319448,42332750,63233766,26603074,28733296,23227122
09/1968,130405596,77767677,65171402,51778938,65340620,42692706,64083310,26953985,28962199,23891382
10/1968,132257944,82161672,69123181,53760141,66606024,44985350,67353641,28204742,30420351,25410926
11/1968,128287657,83318549,70253884,54780418,68837068,45056971,68196876,28818360,30977364,26033745
12/1968,137833016,84934388,73241849,57100336,72188089,48169287,72420373,31193004,32378118,27137580
01/1969,133749893,83220518,72069808,57802084,71023660,47354608,71406662,31354222,32195776,27441638
02/1969,130319461,81967777,71530354,57117456,70733260,47628609,71047079,31162582,32230046,27537387
03/1969,124789450,78380214,67689499,53359780,67034194,44049853,66721606,29018084,30184086,25442242
04/1969,129977400,81422352,70271305,55659555,69772333,44523616,68169610,28189733,30147775,26256052
05/1969,134670540,83246693,71825180,56076823,69965214,44818890,71330943,28052494,30213652,26319765
06/1969,134758352,82283831,70154046,55533033,71566905,44755734,72214990,28009037,29950707,25985408
07/1969,127812556,53706510,76167471,53149867,48038304,73697086,63031153,29194315,32923449,33410085
08/1969,122723554,50867221,70601584,48109282,44233703,68070149,60065483,26715352,30762702,31011918
09/1969,131200768,54084310,73689949,50246604,46189820,71158312,60634641,27363556,31001405,32468422
10/1969,131309436,53297550,73412101,47682565,44941372,67228797,57890949,26127172,29790533,30980640
11/1969,139507916,57592617,77201983,49603511,46556053,68845435,60683789,28039478,31819351,33138728
12/1969,137531171,55826235,73929751,47664963,44987027,65369443,58898306,26337479,29800915,30764921
01/1970,142652888,55826706,74111414,46073247,44440369,64473412,56381004,25839758,29672864,29831032
02/1970,130631416,52880930,67795386,41864346,39826947,58274167,53764032,23591556,27757047,28174578
03/1970,134822409,55198358,71778855,43605525,42997855,60881322,57539993,25251226,30044958,31129561
04/1970,130452001,53836454,73379254,43043705,43239512,61266326,58578658,25297998,30275010,31287790
05/1970,115865172,48631142,65620290,38453025,38756806,55922456,52676669,22090134,27600167,28541738
06/1970,105943982,45811350,59690471,35761415,35966084,55081130,49644841,20460823,25883496,26704932
07/1970,112649084,46236236,58744050,37018567,55676149,48012615,26194763,20321884,25251037,19449245
08/1970,115230921,50720223,63185993,40099923,61256958,52814381,28609507,22282377,26639127,20852967
09/1970,119917194,52802803,66264575,41786421,64277047,54067919,30205540,23630519,28101359,21920040
10/1970,129397774,56200378,68305680,42892461,65668903,54915038,30768486,24391900,29109676,22721128
11/1970,129077033,55090913,66576555,42226188,65597776,53198640,30170454,23347542,28028363,21114655
12/1970,134648973,57575067,69673354,43675934,68097691,55954258,32083218,24857354,29367816,22015766
01/1971,143037543,61717624,74809673,47282887,73229267,59582540,35354877,27360474,32246901,24386624
02/1971,148216614,64992386,78443289,49549612,74804430,64201210,37261124,28859175,33787166,25942713
03/1971,151001320,66727421,79299294,51049530,76443979,62199144,37393137,28902497,33936414,26069669
04/1971,160877910,69506968,82481713,53029429,78924955,62785633,38716501,29948241,34778971,27930097
05/1971,165448371,72232949,87439184,55980656,81807989,64057049,38681286,30137034,35926224,28642164
06/1971,160316388,70408036,83729529,52923313,78165243,60330163,36897071,28860464,34252191,26825971
07/1971,175442398,111483288,52623726,72130375,55987895,62030713,39474831,27041958,26257330,23826412
08/1971,167323859,107526024,50901642,69322243,52797130,59650083,37776222,25733657,24725664,22804961
09/1971,174998673,114611736,51587895,69723601,54906361,59513256,38883139,26398315,26710222,24382763
10/1971,176523453,114713631,50957009,68652642,53970108,59035914,38043560,25894757,25893891,24205037
11/1971,171357700,109174069,48045038,64862504,51025642,57068448,36735080,24903465,24670638,23903337
12/1971,172859238,108937719,47645005,63964672,50358293,56386224,35874575,24450436,24377326,23815005
01/1972,192826628,118677189,53482243,70903206,55776947,61809102,40620575,27943578,27720199,26264445
02/1972,200136676,120409600,54594647,71320390,56781061,62738678,41409465,28943295,29300762,27071452
03/1972,210543677,125056392,56239419,73208372,57581326,62378363,41239041,28796155,29702181,27426405
04/1972,215594837,128109983,56054751,71428917,55465301,61499290,41212406,28499542,29938828,28773399
05/1972,218402982,127489744,56390699,71956929,55881750,61097316,40981108,28284261,30077275,29499123
06/1972,226671492,128218462,57367296,72682883,55877648,60767723,40310066,27930763,29384304,28891037
07/1972,229443894,99223623,81792719,67082717,62311011,41797945,59315984,34816469,24784471,30051704
08/1972,234089032,98050456,79798377,65989057,60683912,40852805,59020600,34129365,24447634,30452620
09/1972,233877231,98875147,82751515,70238398,65579858,43201407,61953454,35672680,25175954,32584986
10/1972,234754766,97611523,80427879,69501209,64411040,42187715,62743287,34837041,24585501,32254096
11/1972,236191599,97347640,79448212,71180926,65044016,42578596,64554712,35555825,24866822,32458308
12/1972,237914039,101331381,84673174,74905437,70665629,45969423,68496901,38328591,26983484,33265818
01/1973,250583461,105035017,86969139,75205597,71760804,48075707,69844750,38274770,27232471,33836284
02/1973,248539208,101076976,82991112,75414634,70366441,44750290,68186640,35741074,26084441,32275996
03/1973,242716265,95931915,79138162,70565612,64946865,42265702,64778074,33936538,24709450,30326543
04/1973,241759353,92696663,78648227,70908265,65258452,41063936,65248571,33556755,24652220,30390973
05/1973,227103959,86332064,74722569,70069894,63501950,38553910,64788248,32122820,23754592,28654898
06/1973,226162836,84435648,71622202,67017495,61202871,37252989,63210217,30879439,22375751,27581826
07/1973,248636829,102941170,65665080,85715666,42697120,65363941,36870223,29350918,26548400,45545783
08/1973,261776451,112768431,69573769,87236724,45478789,66914865,38327484,29926142,27922093,48841997
09/1973,251301790,108790892,66902391,83156973,44282392,64161906,37533843,28763867,27092257,48131129
10/1973,248632627,116224642,71927202,90015746,49618002,70168505,40941649,31288656,29402123,51341771
11/1973,249550951,116652511,71060029,90167233,49870871,67776267,40520397,30471077,29278325,51775826
12/1973,221142914,100757818,59691621,78388378,43405175,60937767,34969944,26400972,25302895,45711602
01/1974,214845227,101511358,59735605,83908426,45227782,64914112,36746572,27578737,26204883,46789891
02/1974,209843982,102020380,60313459,81540549,45395460,65918602,37726139,29072142,27646388,47637330
03/1974,205620438,101773956,60115788,80636290,45278048,67223964,38151014,29362313,28010792,47771944
04/1974,203163235,99737199,58897308,78553311,43420001,64751850,36604903,28381728,27039930,46156067
05/1974,197263472,97124812,55922317,75002695,40127354,61246971,34230348,26058335,24969208,43474873
06/1974,195670627,94419419,53314159,70499475,37328797,58501681,32046139,24179439,22882481,38763373
07/1974,229623768,115086629,67146073,40445596,50501323,29974104,28317475,21088473,21592662,24619537
08/1974,203113763,107352821,63863787,38379209,46774728,29177082,27074814,20256312,20708267,23359607
09/1974,182228761,95643305,58222191,35062621,44985030,26688484,25043092,18445292,18448431,20609199
10/1974,151471712,84921359,52794365,31791032,42440069,24966174,23568350,17300255,16792795,19333342
11/1974,184502215,101410031,58368300,36186549,47402563,27789234,25388294,19305539,19751640,22551071
12/1974,175001559,96583915,55806372,35121052,45232622,26929385,24430263,19365412,19432756,21690545
01/1975,167785176,94874172,54469232,35078696,45613371,26651933,24474233,18579379,18468440,20518967
02/1975,183625932,105763237,63475499,40150953,52093766,31705587,29299574,22679384,22581985,25980158
03/1975,205206690,110887697,64788763,42013594,53949915,32261690,29483919,22894029,22601196,25422594
04/1975,211993917,116198032,67058432,43849628,54653829,33984296,31034056,23979967,23720542,26081674
