date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,24493962,24570185,24926152,69674505,22307698,33230328,36006577,25774673,41336039,21594480
08/1963,24728701,24509476,24832199,70245254,22147289,32655132,36199028,25587414,41434883,21482310
09/1963,25669494,25757242,25941945,72522408,23476651,34179169,38252403,26925285,44044763,22876831
10/1963,24921073,25271383,25411811,71820081,23174289,33946041,37898193,26449887,43926753,22394955
11/1963,24790049,25358937,25349191,73242906,23635684,34820073,42107548,27631882,46085694,22644745
12/1963,24613941,25120680,24883377,74226073,22992746,33676614,39519467,27316518,45669474,22188950
01/1964,25356504,25825168,25477676,76751012,23541578,35187156,39781399,27122887,46823106,22427440
02/1964,25781069,26338478,26285063,80012654,23872902,35932188,40732668,28763795,48896888,22577657
03/1964,25965900,26554408,26579548,81077348,24723281,36933513,41158664,29008296,49924533,22884851
04/1964,25948124,27047844,27232887,81262582,25645181,38067676,42189203,29492757,51150305,22807781
05/1964,26077360,26726151,27824720,83367675,25445456,37954078,42992439,28835078,50583398,22721036
06/1964,26238994,26828037,27921144,83544556,25847913,38220069,43517003,28900200,52161301,23104040
07/1964,24103648,27349454,28609151,96631433,26174345,22107323,21383653,65729535,54196265,24995665
08/1964,24701141,28518534,29376108,97396141,26489917,22357999,21905811,68401695,54059815,25546975
09/1964,24422728,28741138,28938788,94776651,26230919,22059230,21706429,68107490,52517205,25087386
10/1964,25448245,29169008,29796213,95949484,27310120,23533614,22390459,70987817,53857588,25348991
11/1964,25455939,29650452,29967310,97492249,28190002,23569430,22146373,71080429,53438681,25672468
12/1964,25569975,29675712,29923764,96515804,28185783,23732366,22365860,68407229,53379262,25895423
01/1965,25898781,30059655,29886476,98589768,28178408,23695054,22376992,69858110,54621784,26353103
02/1965,26966805,31211235,31087141,98524083,29377782,24458912,22821627,73482871,57967691,28183122
03/1965,27230569,31362947,31439653,96393290,29413084,24789242,23178776,73177529,59112854,28752384
04/1965,27181658,30953274,31077169,93862318,29219139,24464116,23076864,72590030,58490203,28296331
05/1965,27728902,31413700,31957499,95814068,29999288,25450574,23816160,76723756,62108216,29020465
06/1965,27173853,31192452,31842118,96323649,30078362,24897742,23686699,75338183,61418132,29008508
07/1965,30084150,31915988,75010283,44395370,36379450,19609872,49359427,57412709,31554232,44542977
08/1965,30776562,32273016,76165690,45063348,36719873,19662084,50070962,58258034,32371641,45357656
09/1965,31021911,32788205,76641879,44949788,38111672,20670207,51661512,60165149,33829860,47073144
10/1965,31433568,33459023,78511199,46388450,39669187,21469483,54639205,63138025,34491929,47823592
11/1965,31976018,34154530,78672934,47806745,41252020,22253416,57635765,65231926,35664848,48876869
12/1965,31693418,33773182,76003964,48106921,40942265,22633580,55425738,65824997,37189828,49010418
01/1966,31640027,33922122,77408263,48900855,42204489,23651822,56172855,68296445,38171439,49170740
02/1966,31862175,33394626,78346583,49311540,42876229,24228721,57105558,67744136,39033240,49380342
03/1966,30858083,32203077,76949174,47947748,41936360,24477772,56484106,66622141,39318545,49216039
04/1966,30276208,31711558,73398524,46924887,41331678,23661565,54315557,65713341,39324050,49234086
05/1966,30402687,32371410,74783548,48225940,42371519,24373992,54497295,68019897,40116915,50917258
06/1966,28850774,31216851,70434148,45462625,39967322,22106124,50274075,64332254,38566348,49214884
07/1966,27826646,31764618,68689234,50270084,41299857,24724195,45828430,64852301,34408958,51318315
08/1966,27625365,31640413,67456207,49815622,41157521,24287397,45806075,62457925,34460940,50664322
09/1966,24938966,28719311,62662108,46176496,37764140,22130600,41502834,58294998,31609995,47256015
10/1966,25398113,29995650,62371451,46173245,37267414,21918118,41509653,55419501,31430256,46888176
11/1966,27803971,32051491,68081961,49025075,38258582,22497229,41137259,56609247,31673140,48624269
12/1966,27609025,32105437,66317417,48156753,37730026,22583805,40378729,58039095,33983566,52719592
01/1967,28453326,33160866,68260121,48894951,37835160,23266000,40815264,57224244,33988553,52649327
02/1967,30067836,34186438,73301163,51720150,41881502,25928403,45545823,61901873,37603625,56103192
03/1967,29577828,33773158,72869528,51210285,41452954,26043517,45472698,62637688,38658920,58890213
04/1967,30199835,34502182,75609579,53917388,43739154,26988883,47384241,64870318,40792862,62191574
05/1967,30696939,35517793,76044676,55169119,45818901,27820536,51561080,68980836,42376560,66721178
06/1967,29502558,33679333,72322339,53096332,43658955,26692376,47961797,64290297,41209267,63982556
07/1967,33710936,35669133,80327719,52001082,45088962,48963436,41192860,47103326,67515823,44352017
08/1967,33898276,37014095,81338983,55155735,48551121,52934911,44825608,48594722,69843439,46147972
09/1967,33293707,36562711,80192299,54701443,47383885,51869545,44642720,47990496,69229418,45927309
10/1967,33804705,36747564,81891545,56727660,48402658,54139501,46969813,49847042,73452527,47048205
11/1967,32226957,34602901,79573551,55418146,45804971,52040641,44657641,48828785,75546247,46709254
12/1967,33012442,35043233,79119269,55116217,45511136,50943901,43477422,49840318,76439450,47516696
01/1968,34276044,37618904,83553249,57965024,48058731,54560152,45014207,50957652,79982607,50156426
02/1968,33753090,37020269,81813849,56202763,46636927,51777115,41790505,48193412,75171504,46238677
03/1968,32993419,35602617,78978538,53646164,44437960,49466646,40343441,46631414,72563815,44985439
04/1968,31717822,34734354,77890867,54782030,44667301,49201498,40122774,48194696,74851288,46233179
05/1968,33083156,36858744,81601511,58702163,48823522,53926695,45133614,53726794,83854458,51611681
06/1968,33304613,37198849,82272174,58669375,49337920,54145049,44349023,55611987,88002607,53575585
07/1968,37117803,44861397,69180179,65838791,53160585,51894684,50589129,55455050,40859045,97957181
08/1968,36414807,43913214,69877174,66709324,53394676,50186829,48296702,52661313,39143069,93114660
09/1968,36111116,44041988,70338328,67750050,54658646,50935806,48477442,54002379,39913388,93806248
10/1968,37265507,45221776,73995091,70420138,57909333,53654238,51125690,56538513,41114893,94837608
11/1968,37314986,45667641,76076263,71406335,59178890,55386759,51603570,55948873,41822512,91570879
12/1968,40301496,48249127,80238781,75060704,63466118,55103187,54004787,57626362,44224611,98620439
01/1969,40342529,47321821,78820421,75233779,62739837,54747447,53250777,56017728,43767331,95430090
02/1969,40758739,48028546,78885519,73935510,62147810,53920248,52440710,55562694,42934721,92656675
03/1969,37870044,44880175,74814746,69095504,57320471,51604576,49405598,52970730,40855896,89618110
04/1969,37837235,45059311,76430461,69794955,61098237,53847625,50408030,54683285,42482049,93701446
05/1969,38184634,45202577,79314178,69110424,61993523,53689284,51730114,57076284,43694235,96921838
06/1969,38240180,44439477,79992673,70307746,62460710,53020226,50239702,56192685,44806350,96622531
07/1969,34391444,38237366,81842765,65082282,54313189,57605192,44225079,54357302,44197418,96482086
08/1969,32421704,36052972,75836037,59495067,50526407,53078909,41816063,51087551,42159718,91987143
09/1969,32504178,36072149,77675984,62904656,53103474,54523630,43334062,53788690,45430058,98269253
10/1969,30923679,34605437,73759054,59045864,50526855,53247185,43017773,53445933,45654853,98624286
