date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
12/1971,,,,,,,,,,128496
01/1972,,,,,41355,,,,,381280
02/1972,177542,1125404,707222,365783,626500,935426,1214056,1647205,415781,1897420
03/1972,909793,678606,2200581,2057082,3000599,2312114,2690984,2838142,3748341,4540561
04/1972,2061473,1170923,1486986,4797845,3591423,2212789,4751672,2898806,4952824,5006095
05/1972,6057054,4264482,10998407,8378558,16617037,14509908,26597943,32847474,34346867,89030184
06/1972,10306589,10021002,23801347,18734960,30924143,26940058,51210040,58320761,90824367,137220239
07/1972,10506850,9882737,16900368,26178899,23052516,58025251,55961903,60741260,92553294,149247006
08/1972,6184644,7540303,9177525,14372825,40453522,18715839,29961217,26284759,30146400,93262098
09/1972,1864468,2092228,2178735,2453956,3103728,5913900,9182612,21871224,10683475,15036366
10/1972,584797,402189,427218,1155057,2857626,3669547,671248,2954040,3023668,3893173
11/1972,804558,333881,984960,1432419,3244169,464987,3352766,1786907,3165883,4069676
12/1972,1029270,1119196,1834311,1977383,1264138,3224403,4394292,2529830,4527668,13634561
01/1973,643842,1367105,1096638,3261960,1451969,4370604,2702070,4415788,4249095,14419655
02/1973,2077918,1030647,2616933,3148002,1964869,2778321,3721813,6426913,11391508,6943786
03/1973,1107437,1919847,4351898,3499634,1539187,2319001,2948589,6625503,1782788,7686637
04/1973,2205870,1038261,4791484,3569008,2331243,2898275,3018004,4088157,5128401,7256256
05/1973,4903671,8199166,7228566,12271624,19318998,22903774,18218445,33136064,36134504,120268479
06/1973,6874967,14549187,14609740,31127093,26136349,37890240,50318055,41338864,65011428,185985580
07/1973,6558079,12359199,17607303,22224556,51800008,35938984,50735650,48747033,68123159,197798966
08/1973,4223268,6395577,12902501,34188006,17837956,29833127,17989307,23902147,36896388,89041085
09/1973,1033542,1254179,2412929,2217624,5359964,5094175,18383421,2283457,10667286,15299354
10/1973,1121752,726496,1145469,748635,5067411,1359659,3241285,2402391,2793329,3018883
11/1973,414043,411272,804723,1769291,3081700,2831293,2323135,1837095,3747940,2337613
12/1973,592168,915050,958736,2792857,1043146,2188545,3445674,2429517,11687845,2475846
01/1974,406836,834274,943345,2286892,1328518,1473332,3472289,3189649,3693696,11290415
02/1974,544470,1001246,1735073,878917,1307250,3040859,3738069,3233617,9810401,4435782
03/1974,871322,468628,3573527,1398350,1501954,3314029,4671356,2921628,3514806,7313597
04/1974,768508,812154,3077092,2995559,1559041,3846838,4706571,3449207,4882304,6457545
05/1974,24116737,25508350,10443913,12455390,19345840,21295304,19422021,28667762,56012781,91425665
06/1974,26711655,27830850,19371649,27807099,24899108,34309682,34704033,47339081,91447827,123748648
07/1974,22460426,14477228,30770909,30008040,42375360,33872627,35882346,48196968,90110519,131758058
08/1974,17386904,12876821,14237946,17817159,27182546,14573169,13180922,22876631,51431654,43723431
09/1974,6824619,15719109,2380762,6325555,4574493,5561632,7495882,15069065,9306597,9612223
10/1974,6012820,13412630,1767153,5062339,4360595,3665345,3175776,6410331,4322881,4187928
11/1974,5097317,14252865,4952759,2439222,3074680,4670120,5136547,3686699,7914735,4707085
12/1974,5439630,16830096,4448700,3173718,3510906,7421870,4296336,5685392,8388913,11076164
01/1975,4371940,15991039,4581404,3642711,3612933,6975629,4980545,4410101,7375710,11787058
02/1975,2443457,19108277,7027120,4908543,5867392,6950101,4979188,5292209,14283487,5112768
03/1975,3059453,20252873,5245814,5769323,7149075,8915312,6993507,7159617,9845606,8980758
04/1975,3068858,21717367,6248393,6221904,8771525,9679816,5981762,11305181,9613561,13411423
05/1975,5804297,23410048,22142540,13981086,17006309,27831447,35135714,25981947,57910958,70659276
06/1975,10339262,43873456,31733446,40117184,29075314,45285650,44141198,94238818,83327496,102690162
07/1975,11707996,34306791,62805138,42345318,69596389,54843954,49850159,93072401,89434208,110783038
08/1975,7391119,39381406,30423304,29018525,68186369,45588785,38099271,85375802,55374571,120846889
09/1975,6723807,29559355,24616268,28927881,74230613,28040404,43724517,80814861,46654955,112928996
10/1975,7306597,31099414,18602788,28039804,71186199,30418340,38504168,79529483,47611991,102302628
11/1975,10576012,29783812,16771406,41614280,65125788,38673885,61336636,58652951,49552221,104185945
12/1975,12940279,33449005,21775724,25773729,77347439,47611893,63211991,61933837,64642847,106216124
01/1976,12410855,35415711,18905515,56381864,49933034,47508032,62979244,62610176,61354781,108776956
02/1976,8327850,26412007,18722108,51661715,37072647,46791767,34379140,60105439,36747626,78369906
03/1976,19866610,26997570,27394635,64687952,35336568,62506878,46528500,75549438,77712517,101988120
04/1976,12156060,36256234,31896559,70867039,40164273,59979400,59745885,94429005,78224936,120463849
05/1976,16979432,26165188,27321429,64825503,35270087,38851292,44940477,77021583,35243987,87864186
06/1976,21291269,37258900,38529543,70446851,46049948,52928275,73959474,117477655,68674079,130268980
07/1976,21809557,35436512,52962924,49365593,86663651,62978429,85089543,120809618,81477836,142911998
08/1976,33634038,32834255,49680888,77262383,48098181,83520983,58676297,78316537,115591751,132436188
09/1976,35069213,36465546,41680942,98016347,45338418,81717224,60119764,96558801,105714415,144244389
10/1976,36285201,38603207,44992389,63700312,83965109,87495470,62031551,98379323,109528972,149052403
11/1976,34341030,32532773,36895780,53293235,76631689,92410489,82233220,73653457,89535977,126254669
12/1976,34977459,41626159,37544095,50661855,99662694,89033108,91916812,82169412,83290634,136690908
01/1977,37780000,44435763,44901792,48835137,108279764,96361771,82921221,97069929,95832262,143477114
02/1977,26791038,30441613,26273567,37214759,93584042,51637471,73571024,53534677,56780992,100236437
03/1977,33118125,39514214,38423142,54515573,110277877,66466647,80356746,65853059,81306248,134615647
04/1977,25897096,45392961,42397346,88741808,77608442,71974037,89114983,75259515,91466966,135716299
05/1977,21219461,39595743,25096779,23448811,96433351,60910934,85394561,56542775,102552848,44734885
06/1977,26243307,49557895,32382899,82587172,79095645,57379255,105301244,74842580,69899674,122244798
07/1977,30585553,51090866,36547351,47419643,135291881,59643249,117450234,86893214,76281380,137771597
08/1977,38260128,35302979,53317684,44834022,105459532,85956072,60294716,103444386,67936903,131844499
09/1977,39645518,36220714,58789684,40435713,100927911,101353423,51471660,124614862,58252715,140874550
10/1977,38236846,34720766,61684002,41397455,104301161,90934996,58828891,123301280,57204658,139470682
11/1977,33501461,36970995,39065937,41903658,110578081,98819658,58711067,81930126,58104842,116026437
12/1977,32501228,48088180,37366279,69072547,116160909,93569576,74912325,74836842,62502161,130472918
01/1978,31325161,48567579,38351789,68464353,124640567,91013433,89040627,63060788,61515070,132704024
