date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,4579769,16923260,22304069,20573540,17594213,51524067,23462851,38941172,46776202,88056452
08/1963,4494867,16776303,22266888,20434317,17485820,51459917,23111614,39310635,46822202,88450191
09/1963,4726348,17734171,23349139,21434419,18293292,53661116,24592507,40755885,49539162,92581167
10/1963,4544700,17439129,22924538,21027345,17845098,53832320,24694657,39299452,49112011,91359471
11/1963,4656909,17653440,22900394,21373320,18349597,55216262,25195308,39969968,50444084,96732882
12/1963,4577343,17768887,22415597,20965392,18103166,56344786,24954421,39497203,49794969,92426292
01/1964,4695773,18379324,22982229,21372391,18546466,57495102,25548286,41280252,51602325,93133308
02/1964,4712714,18856571,23373274,21554485,18840206,58970541,25678185,43193772,53042009,97692144
03/1964,4992659,18994305,23711166,21922295,18949258,60004878,26376241,43700660,53333277,99755811
04/1964,5166060,19825632,24293270,22090649,19313261,59777005,26993661,44864311,54466264,100872980
05/1964,5098916,19227113,24123830,22135444,19073409,60869181,27056067,45216490,54843747,101744219
06/1964,5144005,19493797,24436418,22233440,19044612,60941250,27348010,45806593,55457064,103291307
07/1964,8176432,12594803,26498757,24917759,58710155,30839667,26347739,37118178,67492723,105511138
08/1964,8142815,12940562,26818993,26015406,58422184,31519252,27102348,37758784,68581872,108426458
09/1964,7909142,12783909,26558536,25900872,57623310,30848793,27003777,37548677,66537302,106720025
10/1964,8100812,13334007,27563800,26581841,57412213,32023813,28185825,39242349,68828742,109476209
11/1964,8298613,13533200,27933927,26457101,57265698,32275758,28516804,39659182,69684496,109988098
12/1964,8060113,13541039,27847469,26465664,55856989,32719902,28073058,39954346,70922356,107099819
01/1965,7900732,13732792,28344436,26331530,57956917,33396918,28249068,40074562,72219207,108348222
02/1965,8331594,14428699,29610282,27456115,58603415,34485609,29563952,41300287,73722148,113913712
03/1965,8513586,14819810,30146274,27683305,58911317,34138453,30097297,41433626,73237562,113218228
04/1965,8507587,14682670,30067924,27418597,58001282,34009013,30201276,40444197,71336054,111885118
05/1965,8764048,15355761,31090204,27650609,59423717,34888984,31122775,42953515,73262028,117049167
06/1965,8662322,15395902,30688557,27470462,60205236,35140394,30657982,42194618,73107516,114839652
07/1965,7447414,17577495,30730370,28942111,59531774,27532954,53929970,57205091,43297816,101370148
08/1965,7613818,18106828,31324974,29439715,59804559,28237776,54522676,57340040,44068108,103594747
09/1965,8107585,18727071,31750652,30026121,60125915,28738689,56043295,58689877,44792279,107586025
10/1965,8324267,19112248,32311216,30819700,61009818,29463774,58548998,61162996,46153271,111738241
11/1965,8706623,19952199,33255981,31711722,60383924,30311000,59809266,63022185,46722037,117177838
12/1965,9119520,20064553,33150584,31773164,58223782,30650690,59894206,62747313,47589790,115148939
01/1966,9659394,20708881,33760524,32227454,59018081,31470228,61848214,63656260,48707065,116431411
02/1966,10099363,21497143,33316841,32644163,58671453,32374364,61362167,64025439,49707553,117536768
03/1966,10423325,21439928,32298889,31573781,58636269,32003061,60540457,62038390,48857929,116057886
04/1966,10010845,21111980,31516220,31117836,56410325,31743378,58994628,60456834,47614854,114457453
