date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,,,,,,104148
09/1971,,,,,40878,,,,,100893
10/1971,170198,665345,1930480,1280106,24127101,779392,682288,1145817,2369951,1349266
11/1971,11048625,13587068,26097269,70798624,35121139,59022914,27279316,74017132,69631515,40634713
12/1971,11389575,16409991,29877543,50393096,56912254,69322734,50508210,84023922,84318813,59943872
01/1972,14879163,17569329,30968465,79148241,39522239,78488312,60340228,90065640,94365857,68885724
02/1972,9907786,12343438,17408120,55508947,22617985,42460449,57785560,77020774,55680352,42900135
03/1972,16044517,23674369,67467671,23098605,48846772,71621072,37458746,162540760,57378978,36973950
04/1972,13350065,21805661,43142913,54527105,52732108,80397908,49181641,189903893,74730486,30933842
05/1972,12944745,17462395,31858178,56991864,36701804,77891634,109863063,47270691,56952266,173642526
06/1972,14776318,18570832,70264075,51765712,39941310,29231808,49392575,56835642,125514951,182863267
07/1972,12128097,49202931,34202168,42578007,21131524,34525753,61599439,76412061,110824279,191203723
08/1972,14367236,71616954,70101404,47079688,119822385,25808558,28596006,56772753,46212096,131052985
09/1972,14121168,41156257,69599291,76626422,47451346,59314691,136231950,105890965,32429617,63883663
10/1972,12882876,27019321,34669853,104845480,46629326,42682519,90606256,145548111,104924578,32109878
11/1972,10567157,47831738,34669183,79044489,73694118,41318672,65511060,141730879,108263010,34723280
12/1972,13027395,50481204,47338632,77487022,80056179,46307672,77700995,144919247,107279314,35257009
01/1973,12066412,50927057,47819227,82790617,77211378,49506655,81109419,154869147,110219317,37653357
02/1973,9166199,20939584,28551923,57060606,57848348,63677791,118154305,63961406,26293200,31966324
03/1973,12769656,37523453,55469012,50688747,64481727,63839571,110674048,123544922,56718828,27701576
04/1973,13239992,25488719,63785412,41652172,81260812,70842521,132149601,110423954,83384098,30396512
05/1973,10893209,20496501,53737870,36952755,46380691,81432671,88502047,30470712,77098933,177772944
06/1973,9749880,41958818,41314977,52884034,17298669,38567989,45360065,77571055,84743466,215396897
