date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,4441964,13330002,14570302,53434524,24591544,44769926,32131269,20097463,44213627,74678404
08/1963,4355555,12963543,14581448,53091339,24978185,45178614,32130474,19789079,44253313,74915002
09/1963,4662132,13939518,15361076,55465989,26010360,46939273,33633604,20720002,46435180,78794078
10/1963,4426017,13961024,15404352,56071327,25722040,45418927,33232448,20146111,44915671,78210793
11/1963,4550311,14228072,15570037,57565426,26133595,46228413,33658836,20187926,45495377,84259120
12/1963,4620206,13934310,15428471,58478333,25688410,45797703,32999949,20079349,45140133,80135467
01/1964,4718920,13926493,16073523,59523380,26408549,48097810,33998956,20325129,47024021,80245172
02/1964,4872256,14346004,16366918,60921511,27023523,49723583,35193750,20513837,47707625,84539860
03/1964,5152805,14764057,16423099,62239201,27776097,50002328,35304446,20990892,47997664,86438406
04/1964,5369156,15729253,17097950,62218218,28633831,50593590,35757527,21091980,48778260,87550678
05/1964,5254892,15012559,17238000,63314093,28508213,51361550,36300470,21140692,48353674,88069240
06/1964,5431100,15208541,17478836,63144655,28992400,52029415,36499015,21247868,48154700,90178683
07/1964,5775252,12458897,23560835,61853147,24504890,55969024,41328262,32357005,51267907,85331933
08/1964,5764512,12799421,23848871,61388071,25190316,57455038,42148636,33006384,52858869,87491295
09/1964,5594968,12629708,23599123,60218035,25080443,55932680,42085007,32221784,52249666,86113981
10/1964,5765748,13299069,24606170,60448516,26111254,57564718,42972123,33455322,54046389,88557721
11/1964,6014398,13424518,24741999,60556379,26139968,58683850,43557933,33902287,54698924,88010997
12/1964,5812496,13045050,24365806,59223193,26453949,58731880,44701129,33863892,55912135,84492595
01/1965,5676583,13002019,23959719,61671659,26797371,59072719,45456878,34705279,56279318,85968820
02/1965,6092413,13936590,24852291,62226578,27811845,60051375,46871925,35809017,58340550,91124167
03/1965,6274689,14482610,24847360,62227854,28206304,58957935,47535203,36044689,58048103,91234453
04/1965,6164831,14509223,24658046,61381156,28031884,57903034,46535996,35671427,56943180,90430422
05/1965,6396387,15332895,25413951,62978114,28682071,58517882,48411609,36877235,59464171,95003555
06/1965,6300246,15337668,25169364,63874839,28375156,57991348,48096359,36289625,59012618,93417200
07/1965,6574641,18202881,61107149,27584472,31156404,78184612,29989147,46359337,24173871,98560543
08/1965,6986224,18801713,61612870,28077033,31116410,78612793,30305663,47132363,24746202,100818070
09/1965,7295089,18928478,62564930,28729159,31943738,79013555,31398686,48114585,25729755,104787645
10/1965,7783749,19250866,63519333,29360643,32745055,82177285,31907737,50105134,26309441,109249265
11/1965,8283182,20155767,63621325,30320043,33413349,82859975,32638016,51280729,27661593,114302056
12/1965,8659598,20150476,61553452,30174875,33329336,82347582,32681695,51531603,28683221,112559679
01/1966,9046896,21231465,62255693,31088087,33799427,84033956,33564062,51752273,29022977,114793341
02/1966,9774217,21839412,62843453,31284467,33515692,82321029,33859304,52602746,30131035,115756613
03/1966,9906359,21877769,62369476,31108463,32223113,79487205,33213759,51411068,30350050,114511411
04/1966,9441441,21236869,60000739,30315074,31924261,77557376,32605366,50165795,29835586,113211013
05/1966,9799372,21936568,60500145,30740710,33264648,79647652,33112857,51350096,30575998,115344685
06/1966,8726367,20116807,57677798,29154565,31198658,75608688,31603009,48462771,28408123,109994884
07/1966,8742348,21288153,62221045,41225497,44455088,47643881,25876632,54722028,47677811,88365839
08/1966,8572607,20912426,61850275,40769789,44317650,46530787,25454536,53605935,47170092,87194478
09/1966,7750225,19149891,57951196,37657433,40666699,43359757,23739691,48424118,43901956,79402965
10/1966,7658586,19113260,57425305,38792043,40141138,43108548,23487857,48477917,43059241,77924496
11/1966,7392761,20355103,61912193,41138566,43082218,44657115,24224145,51944634,44040874,78583333
12/1966,7617111,20194121,60523593,41631750,41390853,45025855,24249292,52129600,48089453,80327463
01/1967,7830250,20227994,62573977,42572323,42082715,45257168,24877105,51450707,48782250,80798934
02/1967,9088707,22841101,66423063,45625137,43841161,48428864,27196941,55060705,53087489,88461570
03/1967,9272669,22215385,66559798,45766923,42998432,48277408,27138699,54985172,55252267,89936986
04/1967,9592489,23045450,69446571,47033901,44962505,49761991,28244207,56644826,58440399,94399224
05/1967,9819626,23692822,69670834,49377893,45653820,52011034,29209929,59231833,62057511,101119464
06/1967,9625572,22830307,66080802,46782582,43904478,49654117,28259006,56004643,59343933,95038098
07/1967,11896011,58171122,38960782,66314588,38415590,34131433,52282404,66393712,65559639,65405426
08/1967,13115271,57393993,41401275,69986882,39492624,35664909,56366835,69072637,70102547,67385221
09/1967,13300593,56318322,40997910,68959860,38894885,35338430,55980829,67887368,69380471,66567689
10/1967,13917350,57150676,41939682,71339368,39555485,36732421,56041983,72921722,73061070,68135589
11/1967,13716261,55153766,39850195,69668130,37333904,34428253,54438668,74406526,70110922,68183230
12/1967,13845531,54597351,39233911,70193823,38187804,34760348,54107368,74960321,68705086,69419155
01/1968,14648539,56589185,41665707,73258030,40658075,36830865,56295960,78903328,71067206,74677745
02/1968,14413511,56822171,39927093,71229021,39201723,35560941,54209156,74925092,67634326,67493518
03/1968,13528433,54804957,38382671,69094917,37984459,33995340,52726239,72594288,65173903,64445465
04/1968,13766783,54264049,38072711,68941446,37175154,34277119,52912876,74137948,65397962,66550889
05/1968,15847702,56747153,41226469,72850379,40664043,37060272,57618409,81408977,72801190,74416430
06/1968,16833668,56509236,41856772,71884016,40829277,37532016,57677215,85720451,73363419,77631239
07/1968,20767926,28287133,73597159,53657042,48417949,48862808,57647429,93374467,80324383,67113863
08/1968,20214247,27187934,74193132,52565043,49626620,48268103,55506616,91076682,76689598,63791079
09/1968,20468233,27768168,75512166,53822675,49866321,48605082,56075225,90698338,77896936,64816574
10/1968,22139932,29579085,79210169,56566608,50912281,50398244,58787923,93045795,81564202,66403505
11/1968,22472682,30237762,80976084,57192926,51902095,50986003,58850218,91343888,82566459,66341258
12/1968,23292240,32031530,85644270,59733852,54481572,54986086,61205469,97257121,84296019,70839798
01/1969,23481068,32540818,82997832,59148475,53405765,55418152,59897355,94179124,82343075,71591611
02/1969,23478834,32440706,82798729,58607651,53373867,55186099,60302622,91478306,80911787,70445000
03/1969,21357980,29901857,78120645,54778877,50601226,51632315,57257996,88354931,77351276,65989216
04/1969,21703266,31047887,81023877,56422908,52219818,53109600,58862046,92688151,79457599,67517564
05/1969,22048760,31408000,84736245,56442108,52067267,53489103,59658819,95201405,81629918,69175268
06/1969,21970112,31350774,85060759,56735082,52852905,52932640,58983139,93784231,81334881,70071443
07/1969,18735267,35695996,67824068,43214846,48417181,65357930,68958755,53603675,113503838,66861832
08/1969,16704608,33058201,64245362,40216146,44501881,60498983,63998423,51250503,107229941,63292805
09/1969,17320448,34746834,65637709,41922523,46136268,62337863,66937165,54414277,112241486,67543104
10/1969,16865669,32790566,62765371,40213791,44986156,59383092,65288910,52824525,111912943,67166819
11/1969,17950337,34684494,65195924,41665739,47577679,61402636,68573976,56517097,117646205,72410739
