date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/1971,,,,,53600,,,,,104148
09/1971,,,,100893,,,62310,,,40878
10/1971,235834,1457795,1083928,1185027,2285997,2738749,791619,23861593,685186,920342
11/1971,14782135,83804361,84887883,41997250,42882971,23960614,25678410,75336739,25828262,10905975
12/1971,11444961,63780808,145050851,54914878,51881487,28306262,35136384,67941380,40477883,17777476
01/1972,14289555,107992420,130959691,57169461,58039704,36639260,32047012,73009670,51796133,17522924
02/1972,9943262,49191917,108095109,41427269,24972952,24701451,23665591,39980225,58765896,16662159
03/1972,28843999,137043065,58695538,62359283,40522127,44540712,68545564,46298655,43468473,20456492
04/1972,15006643,83579160,140523162,48743236,86272528,44829654,32444670,74362492,63060426,27972281
05/1972,25901109,86741315,120323698,74793618,64337514,42370017,40190987,51612882,92722872,31475382
06/1972,27206285,122443494,110531364,85885180,47933833,40259056,27681941,64242607,70339912,51407083
07/1972,26315405,118769626,114054623,83942692,47608954,31798031,36739079,35070985,79767440,62469384
08/1972,51178800,174651165,67000369,39747891,43043190,39830974,54024568,46681676,53827424,43824063
09/1972,62421547,186553397,60994237,46754269,45897978,64405837,43038180,43368897,77114671,20333948
10/1972,88500559,165375681,55983012,43809850,46534443,63121343,49013446,37529933,76812006,20165393
11/1972,62752898,193775754,56512044,75184954,36841982,37293368,72503656,33663519,60264281,14165207
12/1972,52888016,185275654,98079922,73785485,42910774,58725842,68029814,40085187,51333799,15497190
01/1973,64779264,208824496,80967950,77815296,45817943,78103548,46118600,67183381,27430226,15194815
02/1973,21796371,160862520,56739884,48581005,30418122,24450987,55662801,50470304,16976257,17316540
03/1973,60722592,163400129,72526761,66077817,38089392,41766257,72766473,55451787,18622571,22613436
04/1973,89613010,159707025,75748328,89495743,41345243,42020127,74515291,62359111,23256921,17879745
05/1973,105705336,131009595,67583369,70329320,38362907,46234267,92086085,30854382,37424195,20001159
06/1973,105531948,163419367,63276269,48082379,38952638,40744437,89366891,31619849,34510700,18122211
