date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,26217945,16891731,46649528,14189682,35729569,46808356,33489695,30346263,13214564,4458070
08/1963,26470090,16666937,46931894,14303521,35760396,46714903,33279595,30557297,13108523,4305051
09/1963,28140651,17618177,49012854,15161969,37564606,48492960,35293769,32016817,13822595,4548621
10/1963,27878259,17044133,48294357,14719783,36503269,49110324,34805589,31943710,13746736,4399437
11/1963,31589293,17138075,51308920,14797089,36840928,50630324,35241920,31849589,13730941,4406997
12/1963,29010067,17029129,50814389,14692997,36348215,52003430,34464398,31095772,13597879,4380384
01/1964,29230926,18001309,51661523,14974586,38031609,52983315,35089188,31924864,13622920,4440208
02/1964,29525458,18208255,56304753,15216123,38856948,54723735,35766889,33019727,13838999,4496366
03/1964,29672236,18760256,57434698,15666373,39310302,56002219,35685374,33388518,14174951,4562415
04/1964,29855015,18982267,59051449,15894561,39739640,55805963,36582647,34284247,14633833,4704864
05/1964,31032839,19252474,58632195,15806389,39616735,56326673,37202050,34303833,14664914,4762337
06/1964,31608051,19448835,59810201,16164213,39761236,55917771,37059552,35032690,14832299,4780761
07/1964,15704607,42466677,35186315,59671286,92569897,43851311,38196911,37745290,12447500,5303906
08/1964,15850026,44878348,35982788,60968985,91944138,44942451,39283984,38493601,12700075,5359428
09/1964,15819307,45070320,34793084,59844865,90049707,44101407,38895377,37918109,12669470,5321443
10/1964,16915579,46523824,36046007,61667264,90531089,45978319,39742718,39335961,13044546,5557743
11/1964,16768435,47032116,36740781,62742284,89638715,46464032,40509309,39149586,13221449,5612139
12/1964,16401795,46077224,36919772,63342915,86236107,46799026,40853711,39679263,13202041,5572877
01/1965,17020579,47485661,37499514,64010391,88647392,46619346,40856354,40108185,12901679,5435029
02/1965,18086665,49504964,39623783,64871360,91604949,48822484,41515230,41385932,13595056,5760782
03/1965,18614679,49583656,39500175,64304983,91963763,49041702,41041718,41551746,13785925,6002579
04/1965,18157559,49708809,39226595,63103718,90434585,48067938,40489402,40921988,13694443,6057564
05/1965,19327552,53294726,40079659,65383364,93082628,49542007,40983096,42095129,14357837,6292766
06/1965,19517286,51205582,40090705,64635431,93740962,49073656,40780309,41898478,14383630,6181391
07/1965,35014566,21566509,29799157,44572919,29360783,83393240,47978683,78636833,25828431,13749252
08/1965,36461059,21924013,30351467,45449775,29973911,83388286,47396660,80654363,26475154,14116222
09/1965,38105130,23077425,30792905,47182345,31179099,84593690,47395247,81186902,27561861,14834389
10/1965,39297906,24195501,31433426,48835658,31452344,86608466,48775513,84290649,29417325,15346982
11/1965,40871751,25587087,32351442,51154826,32372625,86772902,49668549,86923646,30064945,15890601
12/1965,41726706,26477722,32467883,51826056,32303271,84379424,49279741,84116218,29714859,16407519
01/1966,42272891,27368009,34241899,53844542,33141516,85152365,49590735,84460554,30466080,16624334
02/1966,43282621,28325084,34372922,54220023,34136913,84445639,48941534,84319961,30876970,17377232
03/1966,44340177,28293437,34300209,53757374,33236357,82860259,47187441,81410052,30287357,17322362
