date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
01/1973,2484544,6233361,5901432,8943863,18539243,16254682,20865817,19581313,66184408,44776921
02/1973,4158368,12198343,5392643,12765815,24331165,25452398,26881117,30897127,100097589,67370915
03/1973,4139502,11644014,9189571,11572395,20335661,25883006,33305927,29252413,71732185,183464681
04/1973,3741579,12325928,8568229,13296536,26138293,23936314,29215064,36174396,144197922,112041334
05/1973,3195411,14337808,6708632,11277138,23878367,34218166,23865306,32101745,140362435,122620305
06/1973,3135176,13697516,7509153,17195188,17216614,34717784,25494641,34003172,121447447,137145339
07/1973,3861721,15767264,8959567,8338477,38021141,28225640,19457801,36062210,134226464,131652180
08/1973,6779175,14996868,9455567,19557113,32980329,28149218,29282434,68584503,143363731,82690142
09/1973,6148622,13074395,11667218,16085042,14168446,40942468,35755628,43160924,102540621,121055613
10/1973,8745378,9639701,14856716,26562454,28046444,21907337,33976428,33134828,139427232,112304644
11/1973,8191470,11011723,12792775,36522325,16209758,28410881,39251719,54593417,121909997,107077407
12/1973,6396434,8296762,17266678,18058085,29965352,28865990,22592630,73793206,89139503,90437396
01/1974,5947289,9006485,16045885,11081994,21565001,36980557,25720458,39587856,95990699,108174690
02/1974,22147604,33376472,34685260,48924205,30782840,76023063,33447908,95532646,74102067,40871119
03/1974,20291493,21173331,32646145,46942967,35089445,77730485,49747798,80639308,77885638,33137899
04/1974,19375639,25541492,37184262,37604967,48334939,32908160,66656292,97323731,66478438,37966444
05/1974,19886780,19659288,37047791,50095164,19977157,47253361,34809473,101200913,69964974,50555942
06/1974,24773999,29348656,37196555,72705348,45958339,57774238,41345605,56081015,35184213,60326416
07/1974,18111274,17621950,35194829,48193081,44971663,51545976,26383810,63759844,68867100,53813518
08/1974,15767065,12800285,36330658,49698155,31829491,66033076,33298991,55031064,55254696,36311532
09/1974,24565637,16249806,32904773,32982188,54714760,20250056,36955449,65652313,44160902,48009550
10/1974,11350177,22156624,26474667,28421429,37813351,39557382,24869841,21922212,53337022,44925933
11/1974,16857711,42594538,20991582,63057578,57882591,24933103,24184812,51255061,44445042,33324807
12/1974,15971062,28965894,28686473,35727082,46256525,45713764,30905421,27683241,62015890,30555214
01/1975,14484791,35128954,24010502,49626634,28846851,42905689,23735502,57973801,45597382,25141004
02/1975,23156408,31045763,44115010,55574668,43490980,26896230,32653350,46822711,68866934,25154179
03/1975,23201322,29688704,57250260,65047928,42183070,49324495,44026633,19999003,70739697,27005466
04/1975,22212465,32514677,61364858,29627007,66541966,35377622,51198019,38595264,68147074,34367598
05/1975,31586747,32582344,30993142,65144783,38722726,33819990,69321350,56986271,39908820,62161091
06/1975,33180011,21316121,41986905,83140703,42692551,64315754,30703122,55375239,26409621,83139621
07/1975,25927113,27072692,52933531,54846873,48609763,51496834,53400757,74547321,43774428,72370961
08/1975,32130790,17937473,36436190,58299962,53888166,27627628,65260952,66993706,42753860,65455147
09/1975,29861247,18143072,23378398,42792135,62054470,36763634,26665226,72346824,55728863,68292696
10/1975,35940716,21571300,21824916,65886751,50332270,46708420,34937636,58321015,24372232,69048031
11/1975,32213454,25375419,39498712,57695415,79611429,26577146,77336001,32330835,64798885,38646342
12/1975,38039995,26723693,46955619,63613333,34725670,78747691,37354210,49311012,39321293,76242916
01/1976,33595243,26846786,60683417,51666043,77456353,48415512,27865535,91095241,36069260,28727692
02/1976,26301290,35403912,30454191,43614890,62539521,53571811,125020276,43748007,60333990,60158277
03/1976,23949918,28028806,29114758,42148872,49930976,70446763,117339399,51652662,57014543,59043973
04/1976,23560919,30713504,31791228,49459791,36165337,76658490,28389556,109542636,102673528,49223122
05/1976,21494280,30759807,33784087,27245585,56965857,35452928,81847625,117965312,60169862,62007356
06/1976,18954271,38027233,27611850,27046160,62455876,69718260,62865037,75483349,72821526,65198523
07/1976,22316859,33340356,36533818,36697409,54238229,55780376,81479770,111995672,76236479,41203949
08/1976,24858498,29174293,37601203,43166922,50570041,64413879,104798590,83447962,71308194,38527266
09/1976,21653606,36069884,27998483,28269394,52614534,64197108,45121356,150687612,89339182,34681158
10/1976,27069170,45888510,20393024,41099877,60899186,53331628,97527408,93728387,54848362,77105681
11/1976,29955219,31549333,40219816,34584596,32507189,44227251,83223000,96328862,130134115,38500657
12/1976,21911747,39468255,42561426,28166171,39328887,73209942,69023901,144198346,55127808,59767299
01/1977,24498205,33108399,60989379,18346823,41738121,92551013,57171710,104575542,90949778,85790263
02/1977,19217317,36895512,26710190,38403334,44044550,73669388,86602456,81190115,53708584,117622826
03/1977,17456422,24330484,34782160,26846183,48134106,69508883,95868511,70294166,89469728,82689646
04/1977,16365330,31637202,28560474,32429387,55828670,108653305,42807089,64084262,84156032,83299432
05/1977,20898731,31246141,25533469,42817566,61594827,52200594,69911696,73963515,122235166,53624921
06/1977,20503955,29660822,36756187,45301704,58794987,100376698,41553861,70183473,70096495,74252296
07/1977,23548069,25981827,31986964,41442131,113361142,74059856,41796887,96385776,48018932,84264329
08/1977,21066685,29624895,35173049,34681533,53040412,134210242,40555448,65247338,67608430,89339576
09/1977,20508655,29414635,29989393,41984024,49779807,113534051,47012610,56823999,85742912,87966125
10/1977,22438589,32269227,35349519,52317540,91819412,52188220,47316417,57742087,103124803,75020740
11/1977,20175898,31052251,40812725,80750816,52040816,56894803,43681112,56525691,46664865,116357764
12/1977,21639160,24739660,39150503,62222016,78084254,47476303,40941504,47485525,76371289,114881073
01/1978,20113783,34988731,72182398,61507555,45247357,46942273,45431164,64666986,87145222,78715492
02/1978,19383798,22881882,24559994,35389908,52613348,79351682,62349492,45760163,124421763,46637340
03/1978,19890551,22622364,28478786,85497956,36725893,45896727,56814516,53717433,94092949,60882830
04/1978,23410262,23763208,55467702,65885380,36196840,36493060,66626732,83401485,78637486,48251735
05/1978,25938557,24522067,78705257,31656687,71734578,30384029,55067773,111976159,56484849,85050464
06/1978,19264638,24167597,68016140,57213246,72660361,40816656,41418108,83658163,51484650,115640207
07/1978,18428896,22837884,74407831,42048552,59040950,74638262,48325935,57562237,40004224,130255689
08/1978,22575426,30968224,73065783,54893172,57277467,49326016,75747806,63053910,75228177,102963155
09/1978,22436898,29412209,73728498,36333096,55994029,79799379,62513275,65499008,81700427,111314598
10/1978,17621776,29198581,40376488,78816675,68143619,64336347,87411397,55318308,121288494,59750264
11/1978,19693531,33805955,21681513,67999250,46646369,47750571,71754575,59798051,97599964,98215259
12/1978,24530981,29193635,23690308,74230382,76036840,51909552,51295353,51190140,131759543,65282329
01/1979,25705323,37064122,82578113,62026932,59869183,44348902,46949668,116057247,59753753,53366955
02/1979,25856952,35769513,25909032,70687339,87657413,57542812,65120686,87023756,60753314,85523915
03/1979,19119072,38448492,73321572,67644947,35114534,80134086,45835142,58149544,59823471,97116293
04/1979,27947728,36722146,38868346,125212673,43530148,87790835,63451453,50877468,56698741,83205476
05/1979,24373539,41979753,31166111,104268237,52995148,65105217,51175497,85945394,55478415,98263186
06/1979,21052761,39297592,79795795,64315978,54071188,48507119,63293307,76132301,77452867,82568994
07/1979,26437282,44595485,34037569,60420194,93749208,73340423,90241737,61946618,56335910,90694947
08/1979,26563671,40411135,34927003,72967687,74277496,95269857,90670843,62111503,68963012,79129240
09/1979,28468009,44534773,40091542,68739139,51242824,57858834,139754135,85540268,67322186,85530826
10/1979,23191694,51062151,52664072,69236776,70484444,99143107,79326448,61293597,80377826,83648554
11/1979,24607544,38869605,54011973,33094930,84519607,66352790,91797611,66806463,96627209,77778991
12/1979,26279909,37347732,43111016,64316754,72872615,97481934,62283295,68611595,137452785,54668557
01/1980,33651732,32839364,50018609,50879638,60485174,58727711,148611076,46010925,145563460,45219153
02/1980,27044678,42512004,32685538,63437420,56024646,155800682,68234544,108382559,49055449,89562646
03/1980,25198606,43896714,36783536,48139698,79289778,90139291,124911721,98457165,65213954,82635951
04/1980,21481822,31290144,48639249,40004685,79158408,90739716,104117645,83607855,48894051,69357603
05/1980,18427736,39682694,61060565,51640133,85340423,58009690,100317949,93743682,98229957,43546838
06/1980,31969506,44432846,32927842,72563504,70736709,116312750,136418807,80891792,46169739,43813321
07/1980,35586349,48981067,61322976,60246918,125549907,49761902,103895799,50084500,94271737,45941822
08/1980,38394801,57549075,64975758,61588406,129111822,85701058,100044181,116898264,62894787,42196304
09/1980,37299354,55252601,71722635,65067461,100622439,94405410,95273359,145709411,54863165,50420693
10/1980,41100236,43480367,69027092,98364548,88175867,145493304,90444708,50967295,132170877,52606942
11/1980,35918707,55022977,54538287,72203749,109102952,136282730,156242075,94499310,60320243,53102341
12/1980,43153639,61597311,55595277,132425986,102097353,93999404,170712059,108634593,103089467,52904910
01/1981,54953590,70311012,78419695,105876133,99816716,130560425,149906399,70364504,98140055,45787124
02/1981,52024750,70494792,66445019,78289516,84025572,115571258,146608413,75702363,100709365,61912409
03/1981,61421460,73681609,67542460,104537991,73028150,108818439,78426487,126707578,106110311,54850077
04/1981,66684471,64671470,65401304,97032289,73495294,97927010,106004385,161744462,95198279,53730292
05/1981,49102876,57194213,55030229,91048587,105074559,83739676,108225151,142102805,84712189,91699668
06/1981,53996973,59929870,55984959,104133342,89173859,84314534,70998515,128037356,159167455,54778663
07/1981,47705160,51057721,47118788,84773718,72751475,106473287,82645277,150814387,131801141,80923761
08/1981,47243852,50744160,52973202,76565062,64228525,91925732,107814770,144302136,160063949,57190912
09/1981,44414857,58237539,43193351,87351928,58311555,116153127,63354234,147552172,125762827,53110597
10/1981,45789531,52728745,56670014,89038875,66401510,90166460,146623897,78441593,78430878,57033778
11/1981,51125223,53068680,70153873,73248016,85877847,84372250,128895823,99699173,111889589,52812434
12/1981,48111276,87733639,68699763,88940639,66269416,134016452,139569091,60451510,87771376,62447158
01/1982,54660214,77698206,89769557,124771618,56156006,122907045,80531029,92340264,72494543,48492516
02/1982,59189213,69773766,108784858,113855990,62584214,70541232,51664382,123371387,92897590,51734441
03/1982,56151763,71299052,89656762,86021618,70394452,61445075,88573439,90128042,63781659,79566933
04/1982,69338056,47494340,64138603,102463414,77814043,67549813,115276504,76807150,49393373,69798516
05/1982,71285986,62102520,104531032,98749929,66472590,74089817,84501728,47015958,94733045,67510414
06/1982,56906390,63233807,78410600,99993492,80868072,65100127,69623994,67366622,90924306,66120296
07/1982,43227852,69897297,77379606,126438885,51175593,53913989,78140745,109426622,53267346,69379121
08/1982,53101029,74565743,78257904,120021382,60061736,61329824,62096639,46375727,116468727,48225477
09/1982,61079417,93369187,165449805,75906732,75150115,50481066,108157881,50062036,89739630,54946072
10/1982,55596062,119109147,160979850,98953476,83573300,48505518,100506034,52085874,75023868,50426158
11/1982,65741417,100590418,166348100,118586932,87228859,67828319,85607203,62196899,122077117,66785185
12/1982,72374544,101473085,111225459,169797427,86719629,63596073,78166139,74724199,99975720,127517019
01/1983,88154671,91475457,111528024,211395207,62002887,87753726,115257220,107985985,58833774,74123399
02/1983,75465090,90683397,85773587,134242681,94455523,108967333,109479232,128621169,115859571,78345782
03/1983,89148273,105754558,92243194,140759960,202999019,77187082,54479301,89123790,113989460,69815652
04/1983,74988746,107656361,95938202,203439663,109323635,126962160,110611279,106734832,61094339,75035334
05/1983,70073620,101730923,105542645,129809323,131990357,211480052,112420816,81182881,65451754,75461102
06/1983,58143830,95222014,109157329,96735240,124409246,141574159,176832222,110244582,152733363,71814483
07/1983,62485598,93763236,127154038,116914189,147504341,118708341,209910203,116286888,86192808,140417970
08/1983,51991623,91577994,86557666,129928164,105431616,93142374,174842556,216682013,119684490,89061426
09/1983,64894298,82841415,83098854,114446261,144499835,122063693,196020340,131354155,142970824,94958463
10/1983,62846939,101182692,104262806,122922414,232445011,101680519,175242938,149357597,70931727,82854375
11/1983,61458067,79091003,109265889,125811805,155355191,208539764,178959347,120879637,66861532,75730037
12/1983,71159309,80442076,112599524,120171825,199305557,184403589,175471575,98589453,78710197,93344343
01/1984,61228154,88335339,159839637,163367264,163460970,144204971,193298944,70961702,79809115,71217961
02/1984,61342424,99362699,91317909,125594345,137754513,250487608,206152493,86497036,66007742,62699915
03/1984,49571907,82397811,110742248,132692456,133968844,124133000,226625235,67902403,62687189,78586624
04/1984,58024616,74963091,111707148,132510578,157973049,159792043,203091503,59261963,57382197,68666712
05/1984,61512017,76452303,108453185,149534567,208867602,209584753,87393130,67357532,57969103,71084688
06/1984,46802470,69777189,101531256,136997269,216104603,131504581,70536588,128659702,66804015,59926055
07/1984,45554262,85729435,101959352,166872688,212806937,168169819,78155652,75033989,55727444,60944433
08/1984,66785603,95879442,136737935,208757492,165426488,112089349,74686736,60465972,51424876,61813387
09/1984,62719329,100068322,131351286,205929737,199905849,153439890,81711515,58787152,73632137,66076391
10/1984,57733699,85939058,126556904,152265242,215477561,170090115,119396381,74614406,69516660,57720797
11/1984,56735163,92233748,116204031,100158605,336822017,111561701,96088300,88482162,64118126,67431975
12/1984,51171657,83151811,117101397,134083045,233892387,142587005,120846043,81305841,76736174,68408734
01/1985,61438621,73925360,123169982,249324560,153445158,119981846,146384954,72633804,70558528,60646952
02/1985,68490542,103537172,125921941,244346402,189208571,163944888,105349627,68904565,80113570,74908257
03/1985,56216588,118322347,127913480,138116213,222661383,242300281,118796091,54365656,78154739,74970378
04/1985,56673974,81193651,158183838,106265309,206378757,200036450,159983052,102153128,76516660,77458656
05/1985,50824401,99628565,137516908,129349156,133403648,278197177,115652715,124874159,76005404,75229999
06/1985,55971161,126402974,160475047,219489053,148709675,231728980,115910025,78337611,71214401,76464772
07/1985,57633586,110714565,144623610,151645877,285954021,147237158,126067436,164030849,88127296,83358868
08/1985,56022610,94168411,102960772,139400111,264830919,253253517,133550104,102242772,111232255,87934129
09/1985,50784961,89977780,102821187,223953424,209591331,183647772,165472255,108597377,95827390,89549922
10/1985,52564000,81234721,119602506,189231783,204307516,151861636,122641367,115653925,143901883,87633097
11/1985,61408845,114349962,239470424,201411423,219632839,159528179,123369245,71658103,81903390,65756074
12/1985,94046180,128543981,238699495,266347809,194906725,177120618,80553945,94132680,84360292,76615642
01/1986,82669340,116988527,205510145,308808641,271298141,111046207,133749504,89590333,96882842,92515401
02/1986,85650960,126130794,162966569,217995178,330403191,202950662,119352699,87459673,103326713,81426212
03/1986,88915710,132520340,210978714,231086186,292139796,247019794,119716232,115840868,84045382,101176320
04/1986,89063165,133501467,189573119,296419223,251226108,326746443,92712808,100444245,138061339,79738237
05/1986,77332061,145420500,229579953,305358088,227604077,305905323,124352479,81715309,90367733,103504117
06/1986,69969936,165103236,228756104,304206584,259650284,277183395,149154451,88783426,100059517,120757011
07/1986,63158356,165561996,201671282,216602589,269467155,285831618,128895669,221583088,109546229,133374686
