date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,97079269,40841148,44659753,72676747,23907212,18938658,9999586,7489413,10632051,5345578
08/1963,97136939,41483720,44703276,72950879,23807844,18478052,9856787,7367043,10381518,5298577
09/1963,101081600,43054615,46763263,76846380,25336487,19708892,10376957,7686905,11204846,5511562
10/1963,100801881,41716591,45543370,76431325,24879862,19384839,10298915,7498159,11088793,5312541
11/1963,104023174,41284005,46843901,80999196,25352434,20006611,10447583,7616653,11484558,5349335
12/1963,103875335,40538278,46173577,77680974,24946113,19746179,10390051,7681905,11375065,5317129
01/1964,105199237,41448249,47987808,79884442,26237776,20083185,10488053,7755894,11525116,5271312
02/1964,110427025,42660547,48593886,82632807,26514955,20630004,10710466,7840707,11536492,5276394
03/1964,113213059,42677457,48615655,83199411,27386811,20865747,10922011,7988761,12355196,5429269
04/1964,113135912,42406620,50015071,84941351,28105650,21868554,11468151,8444791,12672910,5541156
05/1964,112941184,43934187,49208652,86865711,28398733,21185797,11462532,8177443,12532339,5683919
06/1964,113939861,43934398,49410648,87862100,29216083,21276625,11646472,8272055,12720039,5924888
07/1964,115754891,55106762,80467629,55425864,29806516,19060755,12875022,10841380,9859998,7252614
08/1964,116390398,56622970,81885412,57920064,30252790,19283090,13231236,11026082,9990340,7401116
09/1964,113456780,55798744,80222332,57821903,29644193,19226045,12991855,11268336,9907413,7466374
10/1964,115171144,57226331,82414269,59743675,31013768,20078361,13487575,11708431,10484805,7766501
11/1964,114780332,57872293,83400690,60592897,30882543,20337482,13735563,11852309,10716916,7892227
12/1964,110844422,58834780,84884168,59440655,30721462,20243158,13690482,11897419,10482618,7927531
01/1965,113913666,59282696,85730233,60341733,30996335,20555424,13636329,12113214,10439581,7987663
02/1965,119100351,60367723,87857562,62740280,31880669,21599951,14448741,12531847,10955455,8318884
03/1965,119424006,60040968,87037103,62805314,31972734,22054999,14641100,12885560,11171804,8453371
04/1965,117361682,58839223,85301240,62182870,32080076,22199291,14551978,12777952,11236413,8346340
05/1965,121318495,59566328,88264950,65499069,32726997,23097811,15192444,13459509,11937584,8863775
06/1965,122019044,58772657,87572913,63874674,32603498,22909417,15221451,13227811,11739539,8826467
07/1965,131585380,46667346,116717007,37411565,26657367,23951839,16559969,8110148,11916794,7966780
08/1965,133401156,47544210,117547966,38075469,27223689,24339373,16801318,8458530,12392933,8248813
09/1965,136009541,48503881,119962000,39222268,28050553,25220218,17558112,8758352,12823201,8451413
10/1965,139781599,49139721,124578010,40446009,28930129,25968359,18140773,9231144,13635019,8770377
11/1965,141753058,49484649,128923882,41613547,29987756,26786910,18891403,9884599,14646108,9053631
12/1965,139022803,49682561,126075314,41929552,30660795,27086672,18945450,10310070,15165534,9465348
01/1966,140440128,50281513,126899889,42837809,31915472,28299526,19918917,10952096,16343241,9553163
02/1966,140115855,50535730,125130688,43976708,33007643,28678282,21137013,11472025,17000954,10164912
03/1966,138672941,48477565,121302767,43914260,32532636,28441602,21182549,11870269,17019905,10444165
04/1966,136162975,47286678,117839694,43634394,32112719,27793276,20467796,11439525,16473965,10210317
05/1966,140654427,47600280,118819491,44765500,32783248,28524866,21033332,11885086,17190659,10337746
06/1966,135198540,45741893,112152530,41838673,30491030,26863346,19297715,10964231,15726115,9358008
07/1966,97786782,83549860,66860025,81198988,35278369,26275770,19751644,15073241,11583218,11220673
08/1966,96701898,82714834,64607468,81215315,34922636,26086240,19426314,14699065,11255384,11081618
09/1966,88257744,76905273,60358609,74727116,31877929,23666959,17811542,13609235,10345508,10202411
10/1966,87878795,77217096,59285175,75456315,31641976,22768086,17617047,13114849,9920984,9951590
11/1966,91346069,83822607,61752145,78813284,32718244,23415798,18032611,13152147,10102396,9882244
12/1966,96451011,83358661,62584460,75420168,33529867,23796493,18083631,13679083,10282094,9810379
01/1967,98008784,85436329,61631721,75147132,34120411,24726614,18672365,14003803,10599102,10048168
02/1967,103608637,90307048,66186688,82114624,37074086,27174459,21214556,15529113,12001273,11600352
03/1967,106904286,90294995,65565711,80873254,37120156,27673731,20933817,15726777,12173813,11834164
04/1967,110965934,93297009,68327986,84212679,38689618,29016440,22527093,16441562,12951885,12458610
05/1967,115974310,94952725,72601672,88970714,40531906,29869489,23415340,17155395,13126420,12840573
06/1967,110583468,89925145,67942308,84329388,38429780,28620615,22867423,16686654,12871188,12560158
07/1967,110793215,98651552,65023573,96266771,39125596,27204260,29130891,14657223,13181416,12804390
08/1967,113590831,98284166,69210529,103659025,41628326,29183395,30800898,15888103,14474622,13334941
09/1967,111498999,97432028,67810110,102507933,41349932,29083047,30340541,15850153,14515952,13253667
10/1967,116454969,100679091,69085019,106080213,42941848,30181528,30792636,16409697,15090566,13483194
11/1967,117546346,97181703,66634302,102296047,41532437,28534801,29513020,15715365,14805041,13487067
12/1967,121452621,96750911,65589737,100168262,41677655,28302023,29816158,15606397,14839631,13672864
01/1968,126145714,100124799,68472703,103067621,45651137,30039815,33025035,16942169,16253237,15174404
02/1968,118423616,98161443,64770371,99310163,43841952,28140473,31344968,16465530,15990293,15097391
03/1968,114412979,94743956,62710091,96551928,41305643,26945809,29944986,15779485,15148420,14706938
04/1968,117287419,93178691,63415387,97098469,41247899,27081577,29765733,15617734,15471720,14705047
05/1968,128215718,98214667,68360512,105042108,45775217,30554117,32950090,17544875,17733722,16567072
06/1968,133123736,98049674,68744742,104054236,47048761,31255637,34105738,18519921,18517271,17372012
07/1968,130537756,104867433,56930337,60156479,89036557,37919038,34429519,28473924,23397106,17069865
08/1968,124241933,104051421,55909710,58383145,89526784,36868280,33621299,27496033,22586976,16506978
09/1968,124915941,104479953,57180667,59094436,89884300,37900837,34322768,28107709,23079680,17044096
10/1968,126546290,107706410,59712920,62140023,94209854,39710748,36419182,30123331,24577885,18107798
11/1968,122890946,109174248,60085761,63147630,96688580,40561541,37104886,30720049,24942424,18283911
12/1968,132129844,114775941,63307204,66292935,99855784,42261139,39487606,32320175,25988447,19044526
01/1969,128295521,111609282,61979739,65597158,99100921,42909618,39375375,32792416,25919658,19046350
02/1969,126656848,111450813,61781581,65385083,97332729,42126361,38641724,32996949,25351997,18562233
03/1969,120644084,106297994,58105113,61272881,92563971,39448755,35917822,30663928,23517453,17331740
04/1969,125394195,107367195,60262974,63769761,96205642,40526419,36214768,31840475,23939732,17759190
05/1969,130402793,110593697,61310238,65104398,97145778,40472727,36209283,32260030,24069493,17688669
06/1969,129919496,109995113,61182119,64791576,98226932,40245366,36394289,32292265,23673241,17359792
07/1969,128676762,105863139,43374510,58535929,67036216,77619689,36102989,28311678,21588281,22997782
08/1969,123509577,100235279,40604337,54159606,61570263,72786903,32911240,26315318,19598391,20427851
09/1969,131228147,103422374,42734832,56139122,65184108,74919581,34613856,26818166,20380733,21367419
10/1969,130595295,99198721,41110796,54297530,61971770,74092753,33685346,26376335,19725411,20515112
11/1969,138665045,104365425,43457330,57146277,64547342,76283000,36471039,28126333,20782651,21964059
12/1969,136160365,101967154,41685282,54555802,61157024,72567770,34939557,27050464,19422541,20560583
01/1970,140487045,102244003,41847393,53144714,60704044,70192202,34619006,26304262,19196542,19626226
02/1970,129246234,94977896,37798096,49052632,55884570,64356583,32037914,24451127,17842383,18140236
03/1970,132912794,102239547,40940503,51547645,58746824,67763604,34527246,25591039,18939082,19033625
04/1970,129987365,102073535,40435108,51301942,59504178,68620413,34068358,25621766,18998584,19035817
05/1970,114909934,93383367,35902321,45956111,53486284,62745380,30609764,22601218,16866569,16900004
06/1970,105427548,88652147,33261064,43640996,50837422,58730284,27779447,20723509,15406770,15744666
07/1970,111557980,69611441,57211554,43077922,70862758,37579036,19884075,15988059,9783830,13492839
08/1970,114369708,76572047,62189478,46275043,77812984,40531123,21344577,17141096,10418650,14469406
09/1970,119456552,78619626,64512236,48048564,82242257,42539033,22395110,17938736,11068085,15498909
10/1970,128357872,79610012,66286037,49244482,84818051,44398957,23477954,19124410,11789238,16632231
11/1970,127904192,77573398,65152790,48542739,83746890,43516704,22573756,18108835,11081351,15624253
12/1970,133393838,81352156,68502352,51415178,87832551,45193224,23356295,18553810,11493036,16189103
01/1971,141593812,87749727,73428201,55297397,93362183,49114633,26490472,20674648,12771109,17759766
02/1971,146920782,91982813,75217546,58373843,96877273,51322867,28380904,22392216,14311300,19509762
03/1971,148966627,90071715,75711019,59083810,98987643,52730314,29385730,22633278,14449808,20266145
04/1971,158654156,92138299,78411363,61306227,102458637,54807073,30544758,23751858,14826742,21246227
05/1971,162165667,91708676,81214351,64401119,107457849,58306080,31712112,25132075,15295755,22196283
06/1971,156426301,87209373,78181955,62018622,102408361,56059848,30162237,23860866,14738635,20993985
07/1971,167709705,99189462,97713615,92933439,53534224,49956884,28781882,21029540,20322966,14499580
08/1971,159524969,96667698,95201301,88876396,50784125,47379952,27340676,19537302,19090135,13472750
09/1971,165615375,96888956,99206404,92136564,53381725,49261781,28607705,21132682,20523599,14213887
10/1971,166459767,96766606,98083713,91139533,52626800,48767388,28202463,20668969,20349482,13949167
11/1971,162279337,94490458,93224639,87474570,49932994,45029938,26709100,19422079,19274735,13003123
12/1971,163240187,93599269,93114137,87850377,49212269,44166827,26284961,19029522,18825695,12501943
01/1972,181373209,103290491,101873235,96173701,55246752,50237552,29619341,21759231,21249965,14402343
02/1972,188068399,104499608,102967970,96454407,56305413,51515009,30532821,22852599,22738718,15887804
03/1972,196242271,105696326,106136250,98010002,58770947,52650709,31334447,23775143,22838164,16023868
04/1972,200510483,105732101,108153969,96810468,58844143,51878333,31684034,23448552,23063131,15744713
05/1972,202141838,105343413,106937550,98139492,59923618,52352821,32222412,23389379,23132102,15758192
06/1972,209045354,106275307,107113026,100128931,60571247,51876306,31944620,22801496,22175978,15545775
07/1972,210425187,102555624,96876114,82518967,89990430,46021923,37303549,26949947,23823018,13354799
08/1972,214955831,102171541,96583607,80688410,87805480,45691422,36112889,26207596,23474420,13162390
09/1972,215709728,104407628,100620846,84878595,92631044,47481891,37767980,27627402,24589942,13282987
10/1972,216538705,103533038,101306372,83587379,90964222,46468112,36597272,26624545,23823301,12815582
11/1972,218120968,106001647,102791288,84187425,90820907,47393560,36533541,25941746,23703289,12726400
12/1972,218775911,109941531,107857487,89616028,97196450,50773882,39364140,28036554,25911679,14049806
01/1973,229404814,113387560,112115433,92829317,97277826,52190687,40350775,27974611,26149321,14175648
02/1973,226762422,110081864,110048678,91428294,94821311,50207834,37103347,26168945,24769757,13299194
03/1973,222422818,105835665,104045807,85791279,89777578,46141021,34955432,24468377,22875963,12438244
04/1973,222510355,103426996,103796199,85523267,89793683,45909696,33842045,24130174,22623906,12120172
05/1973,209162819,99311383,100807148,81361364,87958477,43584025,31344245,22724723,21600653,11249936
06/1973,208318069,98296178,97568322,78973373,84645802,41623372,29641361,21579453,20236950,10417812
07/1973,248638509,112686448,115005783,89635669,70423093,36964529,23886127,20066605,21713118,9040628
08/1973,260123431,120914390,117917287,93919259,73786379,39725740,26121353,21870531,23136480,9930983
09/1973,249748186,117779709,113500304,89094382,71577280,38568826,25230409,20880240,22637593,9694510
10/1973,247099783,125039659,123560660,95101746,77808189,42884788,27806571,23015079,24937857,10684246
11/1973,249118394,124739773,121771837,95280231,75850700,42974025,28103956,22917603,24221423,10678096
12/1973,221416794,108129150,110674363,83553793,63925883,36306172,23859590,18819366,19860203,9041531
01/1974,216070778,112949935,114760267,87389938,65371405,37820156,24104418,18913012,20090301,8786529
02/1974,210117064,113673064,113153893,85574496,66141039,39133311,25091554,20509559,22028852,10326727
03/1974,205238119,113999367,113714285,85555977,65252744,38795508,25558472,21150722,22653447,10558119
04/1974,202799796,109810118,109925446,83735551,63378762,37403985,24827023,20621091,22542886,10458141
05/1974,195031559,105806225,103176733,78994391,59269231,35712312,23886796,20142843,22133419,10124090
06/1974,191122334,101926735,97709392,74968613,56599719,32839275,21810019,19074566,21079254,9385811
07/1974,215884055,128485155,93748088,57837533,47218192,25913305,20867379,13374825,15884029,8229641
08/1974,192727505,117990396,89206099,55455332,43359632,24773981,19960602,12804868,15027455,7912458
09/1974,175294585,106237230,80365266,49372874,39608320,22491529,18447759,11827691,13813972,7218150
10/1974,147173213,97660161,71340182,45073073,35764631,20406532,16985513,10832396,12685160,6618758
11/1974,181359622,113124265,83943961,51765932,38291993,22559547,18373722,11819316,13244452,7105997
12/1974,173444592,108459746,80865519,49801597,36322830,21546606,17418186,11267087,12817620,6661564
01/1975,166711961,107568019,78981067,48830430,36359223,20895643,16813489,10745594,12536928,6067448
02/1975,180798330,120237562,90992919,57494464,43835902,25877489,20566048,13228867,15151130,7922963
03/1975,200977509,124250894,93748674,59723585,44551822,26688112,21067438,14058938,15122473,8167816
04/1975,205849793,128163185,95631265,61982690,47303442,29416929,22616654,14980382,16476244,8916698
05/1975,218411059,132394598,99737547,65576593,48347587,31708058,23854068,15407065,16959430,9187855
06/1975,230814863,137861397,105785661,68990817,51788358,32236765,24510654,16349098,18134431,9715494
07/1975,261948088,125342006,88321078,95222127,62748226,33904403,23106329,24920281,12892180,9579909
08/1975,239695398,117562151,83053687,90769545,59738266,32145762,21896054,24102551,12382072,9491194
09/1975,230510347,115110181,81633420,88963835,58411629,31278222,21075120,23272174,11964767,8875564
10/1975,220655032,109757636,78493860,87008499,56307280,30483178,20108223,22299592,11499904,8476445
11/1975,238317046,114323025,83256053,91431515,58002674,31756071,20923311,23455513,12004999,8533453
12/1975,245884880,117478742,84633188,92574846,59156275,33198626,21594138,24546222,12270847,8758900
01/1976,239601646,115586621,84573232,93042901,58877123,32803940,21275131,24621587,12225680,8670367
02/1976,266416114,126845003,95655350,102637950,68011130,38429882,25625682,28868545,14552339,10561746
03/1976,259199440,126577581,96716725,103416155,68828340,38979434,27385762,30347729,15609817,12225395
04/1976,267975971,129478419,97504306,106932587,70559911,40354264,27246863,31021911,16025670,12777768
05/1976,261392140,129167201,96942987,106537640,71159388,39686834,26691814,31178681,15610182,12454567
06/1976,255998119,127992099,96147849,106063601,70178097,39161451,26414113,30306237,15352383,11888224
07/1976,225247067,154611001,118649544,115828695,41041515,61693579,39193288,25778069,22195267,12607208
08/1976,222415805,153888358,118222182,114912902,41461515,60629772,39063373,24351872,21934702,12912733
09/1976,219966985,155755699,116831134,113677698,40522752,58632745,38595688,23643582,20951881,12109659
10/1976,225627429,158216409,120359071,118290284,41762982,60690025,40180507,24797818,21951302,12513956
11/1976,218666715,157906742,118333048,115872659,40874179,58602259,39098366,23582729,21272770,11940055
12/1976,213555295,159679748,119583134,116357056,42060566,59057404,39780324,24091917,22151037,12462700
01/1977,220468481,167237665,130069847,123576248,45256406,63764502,42967875,26203814,24313630,13654045
02/1977,204644111,161050842,122291015,118466464,43790547,63936051,42402458,26300427,24413095,13900242
03/1977,201091546,159043003,119365893,114566871,43098199,61779419,41777424,25573334,24037039,13663397
04/1977,197156645,157811515,118152203,112664298,43070132,61235092,42565571,25543057,23697063,13599108
05/1977,190680789,157438740,120966090,114694422,44115482,62818120,43921196,26085591,24872381,13746865
06/1977,185248193,156122786,118719139,111939973,43300009,62265662,43461536,25968833,25031781,13597292
07/1977,179951743,158378718,129934608,76013564,102778820,52593493,49716776,34547204,27461486,16570457
08/1977,178332573,157087787,127899696,75214402,100264110,52003297,48793679,33921748,26449959,16257307
09/1977,179600657,154025707,125228852,73627029,97018740,49612824,47215463,32489730,25782562,15656645
10/1977,177301869,156276460,123707567,73750399,97788615,49982889,47603990,32362803,25659159,15568920
11/1977,168952465,148407504,119605388,70958692,94175927,47869960,45895826,31531551,24560334,14678929
12/1977,174954695,152930075,123190906,74402884,96030073,50262348,47967821,33458695,25954017,15596376
01/1978,176641939,155480622,123565487,74591983,97039409,50337187,48307005,33268145,26560807,15484718
02/1978,167234883,147145212,114194761,69924491,90810914,47343336,45326863,31454221,25135600,15011582
03/1978,160450620,145867230,111223930,69335217,89964892,46315593,44520836,31865607,25375513,15077312
04/1978,161752337,149279088,114892741,71866272,93248571,48420430,45926519,32674055,26937458,16249158
05/1978,178652082,159024537,125530110,76662064,100580015,52353980,49138377,36103095,29598070,16980307
06/1978,181826919,160192603,126327643,77314473,99763300,52877778,49740685,37477471,30561322,18098397
07/1978,215919947,97746394,121139874,90594720,82012333,70353280,53692646,46058529,25129435,23879040
08/1978,228722123,103886878,127521839,94679488,85603763,74192477,56935457,48229075,26902911,25119277
09/1978,234605764,106846104,130804547,99172019,89706955,77122765,58397984,50554134,28237376,26203573
10/1978,230031881,105327340,129532585,98617417,90245354,76878566,58171302,50331093,28133392,26157318
11/1978,209665624,95091761,115744495,85836612,79671866,67731021,50208190,42906500,22697550,21229160
12/1978,216499816,97370406,117156695,88651791,81495096,68487963,51899036,44270246,23957361,22074922
01/1979,224714488,99066885,118163972,89517460,82031444,69508237,52139893,44891667,24160106,22284425
02/1979,232372509,103431900,123530616,93331849,85663575,73300179,54836969,47673283,25898043,23790139
03/1979,223281398,99267240,119752432,89944196,82085584,70167561,51858836,45171718,24942293,23188288
04/1979,232361477,103683708,127098876,95770365,87864536,75275120,56764203,47968959,26779475,25631818
05/1979,230958282,102313487,125262932,97463709,89118741,77212872,57317200,48709740,26998000,25800836
06/1979,225348383,101268912,123942009,95467918,85995814,74522167,55315105,47112796,26673925,24981560
07/1979,181094491,154977742,97208372,119403378,95424116,69679650,73987331,57935419,26616102,25646238
08/1979,179056333,156224477,99434194,122491562,97224451,70870560,74860597,58991148,27708886,25704552
09/1979,188882145,162674530,104583124,129743940,102931908,76141335,79479989,62940673,29326326,27375306
10/1979,185482528,160927578,103970590,130708926,104646398,75276098,80423535,63579961,28599855,27596164
11/1979,173102284,151518199,95689342,123384866,96340691,69017101,73434331,58271070,25301914,24447717
12/1979,183870263,159403162,101326276,131207822,100641056,73978457,75314858,61601153,26162647,24884026
01/1980,190008078,162746444,104366420,134913956,100940230,76064653,77468729,64743378,27195499,26605977
02/1980,195881022,166764203,109025567,144281158,108276322,81864182,84686811,69967043,29371445,27960300
03/1980,189067243,163153651,105308169,144858465,108887335,81903957,84719571,71397369,28132518,27084258
04/1980,169113490,150331396,93439753,129832911,94156557,70147132,72941964,61846156,23734117,20622668
05/1980,176058351,160804653,98964217,135653892,97412830,72996594,75004401,65492912,24911834,23066815
06/1980,184896522,168223801,104847393,140745895,103831421,78164424,78122921,68950704,27074611,24716696
07/1980,183660368,163543143,135900361,121351383,98977522,79150811,107023794,70407588,32441911,26196508
08/1980,202604602,172094047,145357528,126003637,104684324,84246273,113129124,74949636,35439528,29187165
09/1980,209465582,175000601,147008841,127408085,105352513,84411393,112805705,77346174,36392402,30314998
10/1980,219830388,177600887,154191641,134742850,107421336,85770908,114721634,76266483,36057597,30818491
11/1980,224934044,177875327,157879397,140097020,107352403,87937750,117154058,76103219,36230771,29986709
12/1980,246729494,185111468,179216582,158477823,116377120,100109666,130786165,82889599,37064222,30935307
01/1981,242768547,184553153,169898492,153925748,115816884,95626159,125464594,80959572,36195927,30268445
02/1981,228117738,182353084,158426033,145538989,111137212,92901859,120062848,77879075,36192887,30192152
03/1981,230852001,184473570,160973302,147505173,111790147,94375326,118004452,79842463,37151221,30837406
04/1981,241301097,193882241,168250295,150047814,117227725,97041652,119195393,82796105,40003869,34610987
05/1981,232851821,192243507,163368885,145752037,114224745,97960502,118732199,83896485,41799652,34495199
06/1981,238225974,194893989,161856206,144985173,115247151,96696846,116977839,83061478,43076741,34101967
07/1981,214313783,185645021,178794131,156761408,128445348,123217692,79891090,90609567,46045203,28281317
