date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
10/1973,,184219,23094,,1416266,36889,,1340469,50301,28793128
11/1973,3456219,8223719,8592289,12060013,6656620,6801862,46428457,25552628,34225919,88075416
12/1973,2870641,8516096,8382212,14940336,7221747,9444488,35817122,26253878,41311757,82101169
01/1974,2775650,5303299,10993916,14898526,7321048,9230479,39687020,28696306,41769020,83301167
02/1974,5754512,3708281,16189489,7090302,15147654,43137190,29267076,12234831,30723777,60947576
03/1974,5394551,5100157,15662047,10442563,15802524,56370552,39445849,18622858,11734592,80567273
04/1974,5291985,3453540,9457334,14764180,10368308,33592446,69401654,19389398,28903882,61467580
05/1974,7182470,7478423,3717195,15002424,8728160,29971528,61171439,53797123,13326738,27049249
06/1974,7720370,6583212,7601120,11207635,16579096,35282782,42090401,55610079,10750891,26978707
07/1974,7416461,6983131,7709890,10880536,7777817,43138979,40741380,55794483,11771938,28227744
08/1974,7640302,8826801,4500863,9309522,34845422,9363092,56695155,40202099,18613825,14129864
09/1974,6676465,8567768,3703465,12386063,29805807,10163820,35219584,53777821,17929535,12308592
10/1974,6028564,7600669,3262549,32817396,25438203,8258135,5910847,53417334,11300870,14295465
11/1974,2969752,8617184,9304307,10410109,42648012,35740699,48292363,12912823,16415629,8932069
12/1974,2681521,7709982,9226029,5992206,44272830,20045661,60879423,13409262,15458196,10085320
01/1975,2802045,7219842,8867463,6751245,21627712,43964621,59383947,13165437,14299634,12556855
02/1975,3922026,20895884,11687078,34995750,7111951,27090066,43531026,22096062,9789133,8202753
03/1975,5212403,23410570,11623161,43215678,34441301,33468652,41416818,32383394,8084425,13204329
04/1975,6527178,19401035,44683346,43753987,32290128,14210097,34922901,28865346,14487781,14660080
05/1975,14333014,14395134,38801797,18358417,29290827,41903106,16128103,12475570,24321387,9882714
06/1975,14969669,15689797,38009465,21609869,30730829,6719685,52808715,6740961,27453235,13353634
07/1975,15297993,19430535,7102938,50462997,31834691,6884719,53502414,11927486,24561437,13730363
08/1975,7775343,13709748,37499404,18088582,45083582,32301680,11389630,16803502,27580685,8051283
09/1975,8826057,14913690,37994130,17091368,71442357,4351592,15400349,11606111,19087315,17236429
10/1975,7840576,14404964,34725335,18330277,46444289,3822769,16618814,32476387,19564393,17183062
11/1975,9968595,16429298,40998707,15106151,6001881,18604209,40995059,49029358,11860804,16913540
12/1975,11092836,40635401,20753186,16013841,12839380,13015408,42624438,53746941,17756987,10669756
01/1976,14218606,38763008,20836943,15411167,13864856,40988119,13238040,51346553,15401843,11593690
02/1976,42490277,22087730,18967688,18894505,42072073,20744838,24415031,19993435,13603690,47593787
03/1976,45112233,29594296,17931057,25598502,45260624,26209317,38505864,17132729,20999090,49144332
04/1976,46404081,30908677,19608795,25451363,17702157,29025935,39397381,20596172,17183438,84575637
