date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,32968365,44751427,67163928,27361521,32482921,42238775,29546317,20029319,14690392,9954997
08/1963,49361752,42745962,54080643,38774777,38528753,39823221,20387583,17649009,9316358,10518805
09/1963,50955280,36454943,58114897,26928401,46672434,30933003,21374417,31771435,19420805,14148980
10/1963,32780089,47958790,52757513,39663384,29351262,41497865,34608587,16439858,21289466,16107886
11/1963,43273488,49888354,28387538,26641540,76796200,42199866,16666413,29261566,14221942,15446774
12/1963,37083704,47201960,43661581,20231423,26289343,90806408,29821618,13280873,17335469,10218369
01/1964,18633433,43068960,58447879,37461098,43919138,25515713,73844011,15129486,18089210,11197646
02/1964,15397280,33858386,45169309,58480940,54578472,19796886,71163819,27480823,13567732,16700154
03/1964,16565482,37114916,27270530,60961899,71932943,21671422,76146073,20743144,16463019,13033757
04/1964,15144894,42664879,47665131,57190425,53854824,23518941,56304981,40416512,19077163,11912160
05/1964,16610483,38957707,73788075,53044230,77800585,21128876,44997237,20046408,14219721,8808820
06/1964,28108057,53283507,37400397,72202581,57541403,34495356,19502857,41376927,18170118,11089340
07/1964,35580069,44985255,94311161,56336602,27459911,36450295,35037326,19307391,23738688,12838244
08/1964,37957598,52284535,76553104,69417581,33205128,43326541,25756887,27954529,16982065,10318505
09/1964,40530239,100980042,38267215,77314759,30320969,29477072,17853418,30502378,12073385,10398149
10/1964,75569765,34182327,73869000,53604669,57323639,22383079,33854532,20546592,16905572,10457272
11/1964,57218541,88335900,41596150,35096746,38574975,52677624,32937408,18180098,25416777,11654222
12/1964,54563143,92735657,51045487,58202148,41212343,24813561,25577043,16542654,24786141,9086497
01/1965,54469962,81751927,94429739,27760088,29180722,42816423,21448642,24403718,21353064,6840050
02/1965,93067077,35613010,45190480,94173877,28258629,44293113,23999169,22220610,23549669,8291458
03/1965,93614465,86191381,48672648,59265637,26870076,30643584,29653822,20344886,16487605,7555067
04/1965,118883094,70017460,59536497,39568218,35014752,36005876,19696362,15132685,13134787,6704056
05/1965,165820505,47989715,57810677,38871082,27190975,32130258,25770349,14538916,10706968,7566023
06/1965,84520375,87728477,68154320,64824572,39953430,28308538,15813443,16886668,11574680,7519846
07/1965,92188844,62470911,80990435,40270640,63275025,22902938,17996520,17272622,10732191,6900317
08/1965,105414774,40841855,60012562,98143778,27526761,20058265,23810447,21423007,16554865,7515046
09/1965,53047965,96717462,76958303,31293611,69626837,33471202,19458319,19278989,22986714,8506232
10/1965,55972697,69738049,79930102,49348910,70838211,32955779,31008397,18316132,27047568,10163064
11/1965,47569244,52174707,90031160,57559964,82710563,35896713,35739981,18312195,26759170,10759967
12/1965,48330013,80192590,55317712,103406426,41254514,26787217,32156358,29987074,24718443,12016741
01/1966,61402952,120445884,63287909,61231614,37273919,39543455,28945162,19636405,20197999,11395065
02/1966,78288814,118998349,75227707,45362343,43143418,30988955,26134843,21092087,16650637,10837009
03/1966,79503328,121374998,61252401,61162127,33159010,35790624,21888233,18244172,16098812,10849384
04/1966,78366711,98400192,102193094,38292962,37979268,26909857,25285873,18220564,13608992,9989434
05/1966,127059724,81908475,72599136,39160776,37516578,30126265,26018656,18517234,15669067,10829742
06/1966,96835516,100924096,59357327,47272786,45488877,25800326,17818460,15882387,16294873,8626454
07/1966,87543191,41840855,64747298,57078898,84099154,20881537,31598002,16903408,14542810,14491661
08/1966,84276142,49182605,52257932,67276425,35903302,56052763,31859896,18010457,22192758,11035500
09/1966,64091126,58596112,25790914,70833254,35940663,23808333,23623219,52724945,25453927,13579329
10/1966,63815701,27558094,56385468,43304862,35733373,34502449,21694591,57647370,26181931,24975959
11/1966,41602692,48356244,71404189,24329576,41482838,39030590,30376216,28016905,51252283,33324584
12/1966,33847982,36819585,81820369,29862044,27865422,48521520,41980075,21712431,51596204,38875522
01/1967,61067381,41989734,42090308,51852692,41326824,40235473,30338421,22658726,55048753,31086115
02/1967,78873702,36123979,56184495,46976181,30296095,57348003,27457367,25117283,58985844,33275148
03/1967,93468583,57952174,56133323,49802130,40165319,21514174,26399176,59109552,31521355,16876424
04/1967,89116534,66301191,40779548,84477620,34460565,60828665,31746625,31918182,20138846,12147876
05/1967,99453424,77425059,87763482,46896360,41512006,55032157,27911926,21911324,22477428,11730828
06/1967,81763453,96218054,49494902,101250563,39509449,22701597,27582794,21294711,15608421,12723672
07/1967,96798517,88811847,132217867,39226867,27468588,34728866,18182379,18496088,18274718,12940720
08/1967,94384137,65382047,139112432,72201901,35820464,28319782,26876838,17574084,15455893,14413618
09/1967,69066026,72922889,143852328,64044397,33653908,35681156,26351060,26919866,15533230,14828341
10/1967,70171578,110143894,78479949,100705600,39501471,36359800,28258704,21271590,19346021,15829620
11/1967,69722354,65721690,128051368,66410875,59839018,32533370,28358848,28577564,12173032,15403413
12/1967,67560099,79131641,61826339,122684370,44341854,45980293,31473393,28285744,10134415,16182437
01/1968,52447500,81284379,84136501,126886380,34052376,56739328,41398092,23193088,16796585,15839826
02/1968,45882265,78276617,90067827,99450478,33638602,60088672,44548554,24834845,17626938,15442668
03/1968,69827107,88679850,54985576,70624843,45767392,61195169,47484280,19554168,21545181,11724258
04/1968,57315580,68359909,76918715,81528048,42211809,31967148,61859422,43857012,20008331,10188834
05/1968,61194658,84915776,67836651,91463048,43230231,41194976,59937058,48458463,23679371,16337097
06/1968,67198407,71792824,136679129,50108877,71799266,51035682,40604040,20525480,16712021,20515690
07/1968,80699393,113444784,79030086,56367773,45802560,77018813,37087302,29853539,26022700,12371121
08/1968,64560019,111346989,77647361,51385803,48478496,54513308,60160690,37798012,29444346,10250297
09/1968,39273762,87451768,115895278,50089727,37293312,42678551,74190163,57069331,33296320,14132042
10/1968,59220779,123970001,77058168,48986979,41085595,40284441,77915599,52910920,34953891,17115715
11/1968,125243550,62200657,68874960,52863154,43781452,99904268,28162304,43167386,37859330,15229510
12/1968,125061983,60867862,53085272,76136828,39475678,53261205,61192316,71188510,39450271,27577144
01/1969,119624622,55394935,75322875,44187901,60135625,39505316,42580794,50390921,81961753,28975598
02/1969,122913797,53259766,77927115,53094544,52996653,30835897,70520148,58761111,43523899,28288517
03/1969,115739099,86063518,56537660,42608060,56238807,38568163,64549837,42840541,31202204,25595828
