date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,25513704,70236238,30877818,36960363,38821438,30937770,46247466,17924438,13604283,8388939
08/1963,28401831,70213757,33516435,30676954,52632097,45754730,22580392,15660284,10691404,9392388
09/1963,28104686,67528750,22822587,33717796,51906920,16350999,65215670,23987182,15448403,9928110
10/1963,24179295,65509551,23452441,31692495,46148660,31652013,52763267,28060468,16507401,10739906
11/1963,25630715,42646413,58788251,44538086,37087404,47308145,29300491,24128937,19772235,11884688
12/1963,36623913,36426970,26245078,69639851,46146098,23837980,47829095,24555824,13369594,9614063
01/1964,25261080,36651971,15195639,51634856,88460634,47403028,30504264,22595028,16936941,9025622
02/1964,25401895,36682456,15055439,29425951,65094598,82507433,54066673,23598377,13744131,8960413
03/1964,22776030,41207053,19478386,16872118,88124472,71995876,47110448,31959517,13203999,7501449
04/1964,28654081,25296454,33123209,13321467,115300891,57957347,33671269,34443004,16642433,7686026
05/1964,26908710,27830326,64517710,71468115,49772551,45227899,30928510,36241209,8846049,6027053
06/1964,28364879,19270837,98793901,48101291,35504974,70937317,28086996,21479647,14807809,6172928
07/1964,30833696,62025992,39086685,61727784,47746236,48566164,42351341,31436466,13694400,8031896
08/1964,30921750,39680392,76141624,40283408,85504418,34184281,46627767,17978302,12239144,9624279
09/1964,28155598,81707747,43787519,74809310,32258554,51843858,28747987,22418259,17144295,6309351
10/1964,31619087,86934810,78823876,31397353,33371391,39909019,56817155,10847871,21260650,7187196
11/1964,63313277,53454084,56822330,50032554,32685796,32564730,61800527,21070388,21279502,8151013
12/1964,62789279,49218874,63383681,55714950,33259351,65004100,26152339,18004846,17839317,6708693
01/1965,62747789,51027407,58963305,48713222,73566464,37108350,27486297,24618935,12901234,6845212
02/1965,68878131,52485599,58176548,37821850,41539425,88059080,22907368,22400799,18058779,7831896
03/1965,71655920,61159544,56132201,41318683,63611713,52893024,29623267,21683727,11843093,8891837
04/1965,75469519,61536056,84464535,47441517,44747162,34135651,25954025,19614907,12476690,7374623
05/1965,94538613,59906613,78036484,69189400,40258425,28005013,16689325,23314189,10494229,7476385
06/1965,57947140,96636208,51203607,66671424,26039731,57561411,26718610,24184928,10141693,7728606
07/1965,62373237,52959288,83275422,75665754,38626333,35770608,27731669,16072116,15191631,6966217
08/1965,59982735,44704592,116705762,47884560,31820899,34771297,42024103,19048019,16263179,7711704
09/1965,60863575,45363222,108212810,50008798,38429316,38131564,39853203,22638849,18650262,8804570
10/1965,36235205,61893256,91910427,71514291,47870278,34919882,43459789,27613943,21131478,8377038
11/1965,35011907,38493964,95682340,94354321,32381833,47393737,56307545,29742522,18776045,8967605
12/1965,36774842,82981483,56201221,88195650,38672261,58276292,35462015,32736707,12311997,12143841
01/1966,69694476,58150511,106797239,48911779,37156783,60518858,30727176,24114863,15447078,11447914
02/1966,50574356,112795130,88715900,69156656,32951660,37419213,25753867,23584176,12149508,13206954
03/1966,38509314,160878712,70155624,44252056,40083070,36662142,21833085,18623389,15792062,12101391
04/1966,39918269,161832000,53964682,64033963,32964338,27455475,27148926,15867882,13482849,12186305
