date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,29173287,82240167,74353316,40474041,33126030,18535186,14865210,11842653,7691716,7319771
08/1963,29398923,82169123,74586846,40601374,33208276,18330387,14644637,11697257,7737339,7251812
09/1963,30626477,84833667,78088379,42866351,35350835,19631300,15514286,12434820,8142102,7640691
10/1963,29633312,84523000,76677426,42309341,35312740,19406843,15120223,12334373,7965860,7547700
11/1963,29346404,86231566,82366539,44307853,35458429,19755594,15267949,12842201,8070058,7602632
12/1963,29017013,86189335,79483330,43901970,34860854,19406791,14963699,12477002,7975369,7574317
01/1964,29778395,88386369,80740798,45556206,35355183,19714475,15560118,12866443,8171729,7680275
02/1964,30271797,90887946,85230101,47295497,36635673,19927317,15619887,12880497,8115101,7802814
03/1964,30592887,92228698,85502737,48319180,37224469,20296249,16286237,13452604,8256519,8181292
04/1964,30182502,92257136,87432257,49934957,38103305,20869323,16639860,13707655,8676844,8405163
05/1964,30391107,93508781,88525761,49174451,37805179,20714321,16484481,14074916,8594437,8598534
06/1964,30445001,93154342,89404980,50047674,38869438,20891301,16767556,14717377,8758645,8580281
07/1964,30585689,87410810,100908794,63516314,35087879,22441460,19463566,8771413,11599311,6154736
08/1964,32308546,87253526,104342304,63830163,36040522,22885054,19885629,8804868,11794171,6318357
09/1964,32030369,85864469,102872779,62330288,35286173,22544858,19642537,8852398,11676239,6352108
10/1964,32615481,86960759,106724205,64055969,36684965,23131623,20356900,8980052,12353257,6558263
11/1964,32716774,88063153,108436184,62983009,36579382,23747425,20494133,9127781,12574345,6712723
12/1964,32849229,87599152,106376476,62549810,36389898,24001105,20320511,9167852,12404392,6670990
01/1965,33008668,90145022,108517265,63206375,36805697,24306420,20165399,8979816,12290541,6768230
02/1965,34320086,91270514,111641548,66092124,38873884,25403186,21223177,9497975,12957239,7094740
03/1965,34346692,91374462,110176821,66527850,39278159,25629829,21438499,9847468,13153721,7243559
04/1965,34029679,89787316,108304328,65395744,38715651,25551389,21525373,9656237,13281746,7181239
05/1965,34127698,91875774,113166433,69090271,40108012,26047817,22155209,9964837,14083353,7530417
06/1965,33817570,92437829,111464552,68268229,39413303,26457208,22028363,9799797,13853290,7551365
07/1965,46175713,94787856,107425069,44164709,51167255,27116788,14423993,10936543,10360249,8368790
08/1965,46829276,95013163,109265224,44466197,52731926,27889824,14890433,11064497,10652996,8416273
09/1965,46938239,95382642,112461504,46554981,54840289,28823395,15311457,11371247,10895415,8661733
10/1965,48233779,97883872,117671177,47719591,56049366,29494428,15977821,11855586,11331550,8978853
11/1965,48397359,98686400,122148920,49662514,57791501,30520943,16642981,12287500,11967233,9334780
12/1965,47722721,96134621,119538290,50479956,58872790,30527314,17059606,12531089,12049218,9546194
01/1966,47664053,96576462,123002462,51585474,58790939,31769577,17828770,13103387,12799273,10058050
02/1966,47374350,95866731,122707299,52604198,59411270,33002595,18824795,13276577,13216365,10212558
03/1966,45633588,93479040,120427776,51828197,58896580,32670648,18881086,13563189,13318304,10402919
04/1966,44651482,90102214,117522138,51395624,58797322,32156457,18415658,13201805,12963175,10069202
05/1966,45750163,91702553,119474134,52598633,60525433,33028360,19120298,13637888,12951383,10502496
06/1966,43577479,87490454,112019250,50050909,57926633,31067276,17651676,12698791,12101716,9637669
07/1966,33790976,44570836,119799443,83236637,49850097,29924291,33969870,15109928,14521185,8982076
08/1966,33255742,44359970,117507166,81584067,49147078,29905188,33779628,15221610,14550712,8904859
