date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,77487284,46609266,36214143,63189405,32334810,16016899,20108250,9558151,12570243,7208429
08/1963,76943372,46944549,36500000,63179619,32513944,15980165,20373494,9443489,12411379,7002554
09/1963,81139207,49643341,37848099,65615808,33661967,16809603,21394652,10108031,13298883,7377708
10/1963,80432933,49185082,36209815,65793206,32738933,16766178,21045506,10141903,13092128,7178550
11/1963,83538345,53407039,36486449,67067378,33485463,16644868,21126967,10609737,13402612,7182900
12/1963,82019022,50556015,36080711,67682188,33172290,16567909,20652935,10334732,13302625,7160369
01/1964,83226865,51507251,37247067,69024979,34560673,17141183,21292569,10447997,13639249,7359666
02/1964,87607956,52208783,38279540,70863508,36030298,17345212,21661384,10699956,14164272,7462156
03/1964,89207123,52632161,38658372,71828437,36369257,17524291,22238134,11157478,14502471,7896983
04/1964,90194494,53069362,39236368,71590487,37424778,18185655,23089405,11652979,15391754,8027448
05/1964,88516787,54221814,39891573,72878328,37536889,18058765,23635401,11605258,15105938,8055222
06/1964,90340231,55054747,39945377,72494401,37758930,17919422,24273922,11811064,15597327,8091133
07/1964,92297785,58696805,41757468,91679532,26317855,20980865,20506775,17398400,8636409,8219037
08/1964,92954972,61701862,43290121,91773433,26721791,22017154,20735809,17805876,8780198,8259088
09/1964,90679824,61490066,42873291,89660523,26447113,22001114,20305489,17652163,8755467,8126688
10/1964,93368293,63587326,43825696,90722606,27172038,23073153,21053078,18350264,9128837,8680263
11/1964,92734207,64022489,44882944,91936333,27424105,23274757,21221306,18416548,9157402,8884870
12/1964,91227514,63313885,45519560,90980951,27537067,23499401,21096727,18242526,8843718,8563244
01/1965,93198566,64344616,45426680,93931652,28279447,23177214,21365572,17996456,8571549,8382871
02/1965,99416308,66778724,46232253,94355134,29173921,24071642,22135236,18733398,9116310,8860486
03/1965,100461887,66472529,45873210,94041083,29321443,24188121,22132650,18807942,9290195,8915456
04/1965,98343167,66535045,45325695,92303416,28612518,23826664,21980695,18768204,9238388,8980258
05/1965,103239892,69768158,45930866,94377589,29207377,24986591,22555541,19342891,9652860,9580914
06/1965,103149223,67718916,45150158,95147972,29148285,24886674,22357880,19343949,9359178,9293980
07/1965,131178533,49096811,28573899,54593939,69697832,24294413,23002871,13855028,11706631,9295180
08/1965,133929832,49298759,28810332,55052322,69991592,24652059,23666701,14493462,12019087,9690172
09/1965,138298410,50402763,29305862,55742838,71119027,25723265,24263598,14535898,12389235,9849472
10/1965,143714272,52467361,30087786,57519564,72613378,26173561,24856053,15167632,12622653,10367086
11/1965,149190732,53394494,30628055,58608809,72869397,27162489,25747108,15753413,13396564,11090918
12/1965,148032336,52924158,30713321,58200784,71372540,27279775,26005360,16051927,13252205,11040173
01/1966,150342728,54180550,31022663,58320755,72350857,27984381,26942809,16465811,14247531,11725897
02/1966,150054512,53990705,31096442,58801157,72267194,28636040,28048958,16871321,14816488,12330663
03/1966,148222685,53091298,30052492,56763521,71673602,28210271,27547781,17016595,14755618,12199710
04/1966,146681470,52038418,29357064,55156992,68753860,28090557,27073587,16563440,14217019,11734930
05/1966,150068892,53249848,30022610,56831336,69629942,28852421,27409711,17262961,14487531,11851095
06/1966,142771641,50440741,28795301,53697834,66177818,26608745,25895614,15956215,13230521,10995118
07/1966,103828559,67108714,50132775,34815259,45297950,24180001,56661455,26578277,12675911,12840059
08/1966,101629721,66422018,49392478,34203328,45049352,24143674,55753722,26926197,12469751,12554026
09/1966,93674493,61307574,44707862,31363901,41094457,22101695,52883864,24715595,11491209,11531674
10/1966,90906069,61480047,44709654,32019029,40750346,21851226,52862990,25392389,11058810,11224369
11/1966,93357137,62261784,47327788,33244739,43734067,22874419,56933326,26774785,11549805,11565649
12/1966,100845066,61296821,47531271,33322323,43215169,22572187,55396369,26549873,11397658,11183269
01/1967,100279137,61007848,49231676,33904098,43779745,23293749,57049480,26661280,11439634,11360118
02/1967,108240117,66678106,52520624,36491579,45472621,25546142,60943923,28984460,12725053,13319331
03/1967,112546571,66276646,52941266,36330207,44829699,25208957,60897288,28323288,12679445,13211757
04/1967,117675816,69197034,55262991,37210231,46578734,25963789,63458336,29681790,13238638,13969635
05/1967,125987818,74779589,56683351,38301068,47063628,26466562,64234598,30899129,13541157,14427057
06/1967,118888494,70143743,54681675,36613278,45124997,25196106,61149689,29531687,13122963,13918029
07/1967,119477409,58090012,80728675,38373662,31412971,77159766,35395246,16445880,15905337,15349696
08/1967,124825491,60854903,84631801,40249966,33252112,77429329,37415692,17483596,17295172,16532768
09/1967,123303690,60539544,83384680,39278898,33285169,75625143,36546576,17309890,17451535,16782040
10/1967,129606939,62295160,86827560,39459668,34069910,78528374,36575359,17810822,17941099,17272163
11/1967,131710325,59674709,83590237,37770303,32170033,76986035,34888865,16979528,17060928,16365106
12/1967,133581639,59955052,83096251,38186395,32245675,76336673,34565730,16687479,16780377,16398150
01/1968,138594476,63715132,87773760,40383611,34205961,78615684,36956016,18259715,17791456,17181007
02/1968,126036549,61286818,83977124,38860915,32792815,78823155,35873511,18163132,17425166,16957145
03/1968,121423871,59274698,80425548,37405549,32086860,76361689,34566634,17346735,16576141,16325973
04/1968,125800885,59875804,79849511,36967455,31772656,76353564,33826856,17192183,16736123,16011212
05/1968,140899990,66726475,86040001,39770675,34209640,78738936,36150981,19159446,18589447,18117417
06/1968,145910837,67268224,86970313,40395971,34847446,77619208,36360513,19493961,19283422,18883184
07/1968,134284566,71255550,41113452,66140681,38497286,45171592,48466920,40933987,48724741,23677697
08/1968,127037283,67400249,40381545,65447570,37044320,44368836,50051764,41032791,49747423,23135386
09/1968,128395073,67865234,41111328,65111070,37266829,45325504,50679783,41636309,50728210,23438087
10/1968,130528733,71002059,43501623,68527262,38326310,47380160,52441404,43290965,53147386,25416731
11/1968,126318864,71533864,43960045,70195478,39038904,47864527,53406331,44934408,53960783,26125436
12/1968,135648670,75072108,46716563,70935432,41207392,50871668,56233009,46730703,57384865,26539609
01/1969,132877309,73720187,47109894,68794393,41077331,50563332,55209254,47019672,55170019,26669816
02/1969,129204378,72633319,46684100,68568171,40939908,50695957,55519399,45987192,55215271,26738176
03/1969,123427332,68694436,43584309,65821391,38381981,47570970,52098762,43287583,52353388,24790724
04/1969,128490606,71487652,44702774,67791129,38833201,49214513,54019107,44565212,53494307,25552433
05/1969,133310591,73662186,45874956,67443947,39287067,49778559,53951433,44352510,56537752,25297031
06/1969,132724032,72339312,46137445,67136468,39558862,49206880,54687216,45121361,56875204,25108453
07/1969,128734586,40777623,61612022,37178453,50843598,40098479,52330568,49222984,78135882,24818348
08/1969,123288198,37921115,58184534,34159155,47629098,37219986,47751600,45855316,72905305,23244605
09/1969,132098255,41004467,60585836,35716291,48421540,38766193,49294796,46878249,74675677,23422459
10/1969,131405184,40516735,60411778,34621484,47673327,37102739,46357460,44948181,70757938,22500501
11/1969,139980294,43373426,63780181,36613989,49899917,39941504,47550093,46134273,72938442,23565772
12/1969,137757007,42081435,60887609,35257925,47915416,37600818,46093625,43348425,70657016,22062024
01/1970,142589661,42849178,59802855,34989362,47768845,37114416,45344022,42766166,67275032,21480647
02/1970,129678797,39889394,55746223,32076038,44319735,34488579,40244222,39535380,63098968,20639926
03/1970,133660991,41679265,57491867,34486946,47261890,37250876,43202331,41671261,67335301,22232339
04/1970,129596109,40265154,57848830,34033823,48849354,37552034,43165150,42511191,67924586,22595229
05/1970,114840087,34576393,52933276,29879885,44268586,33622525,39203343,39415732,62124056,20739176
06/1970,105191358,30900577,49732200,27262503,41005588,31295260,38201444,38012372,59819342,19353317
07/1970,106091770,53075976,29582910,45850165,30594840,25944350,44334972,56423567,15943157,17363224
08/1970,108293393,58015249,31764605,49861252,32652372,28355822,49245013,61561904,17331569,18309683
09/1970,113070932,59942214,32941743,53099983,33757131,29504051,51886345,63560905,18290076,19379154
10/1970,122693481,64018078,34689640,53490381,34522134,30128059,52295512,64151183,18946822,20683566
11/1970,122158867,62965214,34013185,52311689,33515535,28740411,53183698,62461686,18269577,19651200
12/1970,127360900,66106840,35779605,54981902,34893078,30100775,55452805,65963841,18957693,20332148
01/1971,135396833,71000447,39095768,58868138,38837547,33229889,58607245,70184578,20602202,22052296
02/1971,140983778,74411906,41724638,61678892,41049619,34782308,59153905,74533435,21849486,23949092
03/1971,143965049,76368038,42345079,61788283,41241860,34658214,60935798,72936284,22176902,24164163
04/1971,153609132,79805162,45112766,63630563,42558394,35973078,62529310,73174333,22885209,24917697
05/1971,158079119,83282334,47561356,66450872,44176890,35954239,64766473,74446885,23849918,26673980
06/1971,152932051,81310630,45982025,63370311,41929524,34149983,61712297,70057419,22699808,25275193
07/1971,167654193,115485506,50348657,40075526,57982132,51306024,56435279,34831335,19384577,19458588
08/1971,159727502,111624456,47778386,38064145,56452533,48804039,53719828,33663083,18370069,18032203
09/1971,166362432,119052298,49672732,40049102,55504330,48119338,54301388,34726392,19912117,19999031
10/1971,167764651,118633940,49487840,39572443,54849627,47025994,53720462,34233701,19460360,19174912
11/1971,162675802,113091310,46860263,36929759,52814726,45032745,52004040,32683834,18484553,18054566
12/1971,164126026,113289644,46478867,36098001,51803006,44902367,50758693,32348896,18139448,17456612
01/1972,183548493,123626340,52357158,40941981,57606665,49763592,55446050,35286784,20581363,19681764
02/1972,191330029,125107060,53597761,41494870,58177020,49703490,56268007,36141018,21956663,21224477
