date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,76273039,54025281,31270052,57446909,38471355,21044473,15329888,8273862,12085183,7082479
08/1963,77487373,59373059,26631050,75857400,18949055,21498611,15008151,10412333,9431814,6768802
09/1963,80929293,61564848,27135348,76172475,24930564,23655338,15473415,9532757,10170848,7336629
10/1963,81348688,58536365,27474495,63131843,39024009,20249381,17016856,9264342,12028635,4525188
11/1963,110374462,29393179,34939300,78791612,26611716,18644262,14365415,12927517,9763683,7354252
12/1963,108163328,28596154,33563622,82383161,23245502,18509029,12670581,13981246,9444417,7018853
01/1964,108713090,30484599,35874457,81819197,24864894,18071732,18061152,14063994,9184948,4337407
02/1964,89641485,61817807,27270255,86153332,25531988,19544810,13462934,17603184,10943980,4381037
03/1964,90135125,63155642,28135268,84829243,28643233,20349880,14463419,14672422,13087923,4592952
04/1964,92074735,58644931,31932648,86604432,25033072,25801244,14898457,15806049,12723194,4547532
05/1964,92318876,70578373,21374347,85545310,36191259,15658089,18299983,11309317,13629877,4600545
06/1964,118214024,44598534,27552698,81393525,38668498,16729734,17452592,16552078,9608540,4627345
07/1964,122689619,32587352,40082820,86455247,30317526,23204347,20185335,18642638,6509152,7666802
08/1964,123821072,45624125,31353169,82430160,40979494,16812753,20004760,20016588,7075838,7809678
09/1964,118962808,47810692,29843042,84788259,28712880,26832579,19298894,19338661,6551126,7494186
10/1964,124652374,49733661,27547802,85473926,39996520,18766033,20161130,18784423,7487902,7951028
11/1964,122029325,45638521,34576594,53678618,64670500,27041948,20498767,17006532,9785621,8580940
12/1964,121159114,44667427,38489605,52123596,68209050,19668255,22429197,13963417,11368825,8261243
01/1965,124303916,47491444,33372972,89391353,31246997,25207295,22097977,13918413,10988680,8164894
02/1965,128479450,37492410,48883192,37285856,84004983,26510209,22789115,14847818,11386732,8776071
03/1965,98511091,64705076,49916570,37342079,85606286,19990256,24808436,20201495,11343030,8837721
04/1965,123866664,38136882,47136533,35675638,84076510,20593735,25048944,20407736,11180204,9419399
05/1965,131535025,39992163,44230941,41368355,59644161,45063189,24392017,22259126,12028885,9690448
06/1965,102100621,65525460,42488514,40456834,65038973,45457675,20807817,23738642,11743882,9796623
07/1965,127960846,40295628,43961489,30898938,86242254,26542750,25399146,13422032,10738931,10060569
08/1965,128812889,31663017,55203531,31392519,81805937,25756755,33564190,11580056,11473963,10359365
09/1965,108290810,60747784,48751495,37622915,83883482,29765028,22760676,18093577,12267755,9557905
10/1965,108746034,64784446,57585384,30820016,50733734,67078701,21803292,21699237,11839647,10550604
11/1965,142938998,36883235,52122174,36178403,50961157,68497705,21642776,23954831,10465983,14223644
12/1965,101718173,77964070,45335006,40796306,51830618,57601484,33722879,21418074,11148287,13483138
01/1966,103562743,70670197,54547784,38992614,36933829,46515500,57707296,27857871,12541603,14267167
02/1966,105320507,69354629,47836613,43875478,36104306,47084156,52670042,33773707,17133102,13884432
03/1966,101378061,72668310,34976238,45943493,39134521,46493968,57988295,29787181,16316322,14855252
04/1966,101615513,70447091,36567713,44862034,34306126,49614478,51056071,30266625,16395156,14625178
05/1966,97712902,78847234,36512057,48105835,36206423,45788471,59596961,26262634,17633321,13054343
06/1966,91455950,76047486,37848655,49950536,34300298,37456419,50925621,27795527,16329150,12459905
07/1966,102563247,46300490,64417899,41983623,29227156,41153419,49425470,31983576,14577267,13102143
08/1966,91727870,77412464,40438419,42548985,29019466,41950833,52570075,24019229,16206563,13253632
09/1966,85132453,72760407,36062185,40084863,24258095,37750307,52347518,23799421,11293989,11899018
10/1966,74619289,80504447,47174626,29987789,39238416,56061564,26204144,14160716,13343115,11500845
11/1966,85565366,53948469,68306758,35393181,46042368,58613666,25760008,11634889,13585051,11445541
12/1966,94078215,53224278,63866038,35909883,28607236,78263939,22350717,13171627,13644315,10774926
01/1967,84972075,55011149,70211573,36861800,30546222,73251658,27805058,15583492,13331669,11082969
02/1967,87341668,57694702,67641008,46091023,32240310,25087572,84796502,21849520,16164867,12702456
03/1967,92934234,56378458,65212278,47844002,30631495,32338183,74095685,25933533,15928391,12684328
04/1967,97214374,59466881,68414877,46323866,33442534,27918093,81747519,27907677,17126572,14016828
05/1967,104446172,71238365,62950167,48506050,33210067,33242880,84149109,24960369,16379322,14072310
06/1967,97993326,56235577,71712927,45266955,29441774,28680190,84370428,19091592,23605332,12777841
07/1967,106129558,64098766,62321439,33294898,41870944,32986638,83559028,24387649,22760185,17202823
08/1967,109370527,60657031,72653223,38428726,41498083,45686372,43058349,56845717,23348199,18618467
09/1967,108162783,65358674,64370199,40140428,41888475,40820115,31049421,71581689,21594571,18605319
10/1967,115086957,66650806,62518547,45844686,36194579,46304276,40748897,65001086,21105948,21309195
11/1967,119915901,65183935,58595104,35916246,42374974,38920109,42343119,64704537,19275647,20304295
12/1967,119318194,58735987,68425383,40134436,32577688,45425513,45590886,62864661,15696367,19349965
01/1968,126388154,57860020,48798166,66093419,37195808,48493231,44748810,65584412,17501004,21231875
02/1968,114033323,44287335,52414910,70891613,33762905,41962408,39770508,72925978,18307517,22132587
03/1968,109662240,52465434,45720984,63318463,33142581,42991260,36768013,70004817,17494256,20325290
04/1968,114845764,47165685,52433308,60895207,34897505,53633653,31132045,60752509,18073637,20690918
05/1968,126360416,57970203,47096255,61264109,48281080,45388826,40404764,36220275,52141761,23306820
06/1968,130720752,53747266,51974456,61093406,50671901,29771946,55977414,30307791,58690863,24317955
07/1968,131849572,53494296,55996395,59299486,48019054,31992819,40401576,44531285,68669523,24455486
08/1968,127104456,51347640,55710579,57364385,41790741,59691974,28983132,45769307,53932556,24381029
09/1968,127859062,49649194,60876897,53243161,42078369,63336462,30362967,41887759,57780966,24536450
10/1968,129088231,50279295,65343866,56107681,45995895,42863347,50273572,45054407,61427609,27159978
11/1968,122215823,51347329,66157404,57370331,48416489,43848049,53132538,47984097,58325399,28635393
12/1968,133324633,50187495,65141260,36684310,74414354,36597354,67722074,50706089,64034187,28883038
01/1969,128572816,42339360,65423895,40551735,63046735,51494970,62513680,48058970,69332148,27049853
02/1969,126826062,39103558,67185473,40005387,62788475,56726403,57210372,37544222,78849900,26231207
03/1969,122286996,46008203,61539461,30241240,68564232,47987917,49297822,40037090,68083819,26658972
04/1969,127481032,47853727,56922816,56976963,54208635,46686320,63304670,37722814,61213414,26070941
05/1969,135128724,46163718,54504408,40586581,73194515,52527634,60675245,38278615,64480136,24068186
06/1969,135220382,48083574,54831559,60056664,53122621,66300454,47258781,39004826,61567355,24181039
07/1969,139581663,63416051,46660815,49352449,36644497,70708775,46391865,62456214,25777017,23389318
08/1969,134202392,64094604,40052169,50058903,32780253,48237998,49935450,67281574,20050386,22618501
09/1969,143168182,67997441,41036094,50920122,35045153,76133869,30486484,62203027,20885696,23211964
10/1969,143480008,67166300,36737426,52526970,34890776,35171187,60546300,63075027,22644749,20609459
11/1969,153073858,57329829,51656599,54004202,35164560,37321024,57135115,73005098,21874554,23306183
12/1969,147421766,61598707,46872712,55978463,31560440,34577049,56286157,67700354,20381837,21369577
01/1970,152231213,60990045,47146259,56310961,33623725,35319516,49875920,65290874,19862440,21399693
02/1970,137246786,58879609,45327284,47803909,31121181,32905675,40836613,50586873,34600932,20703740
03/1970,144394954,61846167,46319901,52791044,32540092,33192604,60829385,44980943,26697326,23035737
04/1970,139755182,62524900,69102988,35160803,31017157,30013525,76406775,33036081,24777392,22766153
05/1970,129588487,58535962,62235804,28910675,26209026,27107965,66718764,31357782,20500805,20551933
06/1970,120132701,56924920,57365758,25170033,24539906,48185714,53807174,22710658,15072425,16929131
07/1970,114500484,62356764,50417754,29529245,37822195,35522118,50722458,16353029,14886475,13185899
08/1970,121803400,63259452,57908106,27953871,53113200,63833656,25935109,13613350,14695487,13477101
09/1970,120758521,67838725,60539334,32169239,56778647,34417914,51378498,22402332,13819935,15462947
10/1970,130998351,65749757,62579843,27892371,45507603,48365769,53501164,26506293,18313522,16255317
11/1970,131473379,62734172,64471350,45757344,41704581,38347837,49920408,22931632,15117195,14992848
12/1970,142041937,63208010,64200860,35091930,62195568,37336100,59681481,15731440,17017169,13509582
01/1971,145770815,73991872,67135951,41011397,47601967,54224077,61341954,23864092,17860901,15825223
02/1971,146212833,80307895,66756064,44124586,33189203,61781573,71103984,33505022,19988351,17333465
03/1971,148069140,79578298,76250510,33313303,34104885,66195172,44522292,60001511,20975054,17920119
04/1971,151772484,87903737,78468274,34467414,50962629,52741189,32395555,73374500,22101841,20206892
